"","X","X.1","BEARID","FREQ","FIX","FIX_DATE_T","LMT_DATE","LMT_TIME","LATITUDE","LONGITUDE","ELEV","TIME","TEMP","FIX_STATUS","SATS_USED","PDOP","NAV","plot","Year","Init48","Trans","UTMe","UTMn","Day","Week","Season","subsample"
"1",1,1,5,580,0,38546.41238,"7/13/2005","09:53",39.1412992,-106.7723683,2474,104,20,"""3D Fix-F1""",6,4.3,"3D","yes",2005,"yes","no",346828.219797,4333952.61017,194,28,"Pre-Hyperphagia","yes"
"2",2,2,5,580,1,38546.41689,"7/13/2005","10:00",39.1413331,-106.7722064,2454,18,22.5,"""3D Fix-F1""",5,4.4,"3D","yes",2005,"yes","no",346842.285933,4333956.09925,194,28,"Pre-Hyperphagia","yes"
"4",4,4,5,580,3,38546.43778,"7/13/2005","10:30",39.1412711,-106.7723203,2479,18,24.5,"""3D Fix-F1""",6,3.2,"3D","yes",2005,"yes","no",346832.307415,4333949.41047,194,28,"Pre-Hyperphagia","yes"
"6",6,6,5,580,5,38546.45875,"7/13/2005","11:00",39.1411961,-106.7722947,2478,28,29,"""3D Fix-F1""",5,2.8,"3D","yes",2005,"yes","no",346834.357386,4333941.0434,194,28,"Pre-Hyperphagia","yes"
"7",7,7,5,580,7,38546.47972,"7/13/2005","11:30",39.1414325,-106.7722908,2467,39,28.5,"""3D Fix-F0""",5,3.8,"3D","yes",2005,"yes","no",346835.206908,4333967.27359,194,28,"Pre-Hyperphagia","yes"
"9",9,9,5,580,9,38546.50036,"7/13/2005","12:00",39.1431736,-106.7751161,2421,34,28.5,"""2D Fix-F1""",4,1.7,"2D","yes",2005,"yes","no",346594.803347,4334165.28228,194,28,"Pre-Hyperphagia","yes"
"11",11,11,5,580,11,38546.52112,"7/13/2005","12:30",39.1435411,-106.77475,2494,19,27,"""3D Fix-F6""",5,3.6,"3D","yes",2005,"yes","no",346627.241501,4334205.45023,194,28,"Pre-Hyperphagia","yes"
"13",13,13,5,580,13,38546.54198,"7/13/2005","13:00",39.1433106,-106.7751856,2472,18,28,"""3D Fix-F1""",5,3,"3D","yes",2005,"yes","no",346589.094254,4334180.6047,194,28,"Pre-Hyperphagia","yes"
"15",15,15,5,580,15,38546.56306,"7/13/2005","13:30",39.1436167,-106.7758694,2482,39,27,"""3D Fix-F2""",6,2.5,"3D","yes",2005,"yes","no",346530.661534,4334215.73358,194,28,"Pre-Hyperphagia","yes"
"17",17,17,5,580,17,38546.58353,"7/13/2005","14:00",39.1446506,-106.77591,2477,18,20.5,"""3D Fix-F0""",4,7.5,"3D","yes",2005,"yes","no",346529.39862,4334330.5494,194,28,"Pre-Hyperphagia","yes"
"18",18,18,5,580,21,38546.62521,"7/13/2005","15:00",39.143945,-106.7761747,2439,18,25,"""3D Fix-F1""",5,4.4,"3D","yes",2005,"yes","no",346504.989263,4334252.68634,194,28,"Pre-Hyperphagia","yes"
"20",20,20,5,580,23,38546.64613,"7/13/2005","15:30",39.144,-106.7761339,2459,18,27.5,"""3D Fix-F2""",5,9,"3D","yes",2005,"yes","no",346508.634876,4334258.72148,194,28,"Pre-Hyperphagia","yes"
"22",22,22,5,580,25,38546.66686,"7/13/2005","16:00",39.1441006,-106.7760658,2446,18,28,"""3D Fix-F0""",4,4.9,"3D","yes",2005,"yes","no",346514.738935,4334269.77134,194,28,"Pre-Hyperphagia","yes"
"24",24,24,5,580,27,38546.68822,"7/13/2005","16:31",39.1440614,-106.7761375,2450,53,27.5,"""2D Fix-F0""",3,2.5,"2D","yes",2005,"yes","no",346508.457144,4334265.54204,194,28,"Pre-Hyperphagia","yes"
"26",26,26,5,580,29,38546.7091,"7/13/2005","17:01",39.1439239,-106.7759158,2448,58,28.5,"""2D Fix-F0""",3,4.4,"2D","yes",2005,"yes","no",346527.318744,4334249.90658,194,28,"Pre-Hyperphagia","yes"
"28",28,28,5,580,31,38546.72944,"7/13/2005","17:30",39.1440383,-106.7761058,2461,18,29.5,"""3D Fix-F1""",5,2.8,"3D","yes",2005,"yes","no",346511.146612,4334262.92466,194,28,"Pre-Hyperphagia","yes"
"30",30,30,5,580,35,38546.77175,"7/13/2005","18:31",39.1440008,-106.7761414,2474,71,31,"""2D Fix-F0""",3,5,"2D","yes",2005,"yes","no",346507.98843,4334258.82296,194,28,"Pre-Hyperphagia","yes"
"32",32,32,5,580,37,38546.79192,"7/13/2005","19:00",39.1441097,-106.7760339,2479,18,30.5,"""3D Fix-F1""",6,3,"3D","yes",2005,"yes","no",346517.515641,4334270.72733,194,28,"Pre-Hyperphagia","yes"
"34",34,34,5,580,39,38546.81287,"7/13/2005","19:30",39.1441969,-106.7754919,2377,28,28.5,"""2D Fix-F11""",5,3.3,"2D","yes",2005,"yes","no",346564.547016,4334279.48845,194,28,"Pre-Hyperphagia","yes"
"36",36,36,5,580,41,38546.83352,"7/13/2005","20:00",39.1441719,-106.7763283,2468,18,25,"""3D Fix-F0""",4,5.2,"3D","yes",2005,"yes","no",346492.207462,4334278.12866,194,28,"Pre-Hyperphagia","yes"
"38",38,38,5,580,43,38546.85436,"7/13/2005","20:30",39.1437447,-106.7740414,2474,49,20,"""3D Fix-F0""",4,4,"3D","yes",2005,"yes","no",346688.924085,4334226.84909,194,28,"Pre-Hyperphagia","yes"
"40",40,40,5,580,45,38546.87576,"7/13/2005","21:01",39.1430836,-106.7725747,2489,58,21,"""3D Fix-F1""",6,2.9,"3D","yes",2005,"yes","no",346814.249908,4334150.99971,194,28,"Pre-Hyperphagia","yes"
"42",42,42,5,580,47,38546.89616,"7/13/2005","21:30",39.1430997,-106.7725161,2475,20,26.5,"""3D Fix-F1""",7,2.4,"3D","yes",2005,"yes","no",346819.349353,4334152.68763,194,28,"Pre-Hyperphagia","yes"
"44",44,44,5,580,49,38546.91688,"7/13/2005","22:00",39.14303,-106.7726953,2505,19,29,"""3D Fix-F4""",5,7.4,"3D","yes",2005,"yes","no",346803.710763,4334145.25455,194,28,"Pre-Hyperphagia","yes"
"46",46,46,5,580,51,38546.93804,"7/13/2005","22:30",39.1430908,-106.7725711,2483,40,30.5,"""3D Fix-F1""",6,2.9,"3D","yes",2005,"yes","no",346814.576651,4334151.79272,194,28,"Pre-Hyperphagia","yes"
"48",48,48,5,580,53,38546.95866,"7/13/2005","23:00",39.1431117,-106.7725386,2478,20,32,"""3D Fix-F1""",6,4,"3D","yes",2005,"yes","no",346817.430796,4334154.05743,194,28,"Pre-Hyperphagia","yes"
"50",50,50,5,580,55,38546.97948,"7/13/2005","23:30",39.1430494,-106.7725811,2496,19,33.5,"""3D Fix-F1""",6,4.1,"3D","yes",2005,"yes","no",346813.622633,4334147.21484,194,28,"Pre-Hyperphagia","yes"
"53",53,53,5,580,59,38547.02103,"7/14/2005","00:30",39.1430169,-106.7727217,2514,20,34,"""3D Fix-F0""",5,5.7,"3D","yes",2005,"yes","no",346801.400721,4334143.84523,195,28,"Pre-Hyperphagia","yes"
"55",55,55,5,580,61,38547.04211,"7/14/2005","01:00",39.1431533,-106.7725356,2484,30,35,"""2D Fix-F0""",3,2.3,"2D","yes",2005,"yes","no",346817.780266,4334158.66933,195,28,"Pre-Hyperphagia","yes"
"57",57,57,5,580,63,38547.06293,"7/14/2005","01:30",39.1431228,-106.7725642,2484,29,35.5,"""2D Fix-F0""",3,3,"2D","yes",2005,"yes","no",346815.242368,4334155.33258,195,28,"Pre-Hyperphagia","yes"
"60",60,60,5,580,67,38547.10459,"7/14/2005","02:30",39.14319,-106.7730831,2487,29,33,"""2D Fix-F11""",4,1.6,"2D","yes",2005,"yes","no",346770.541906,4334163.66698,195,28,"Pre-Hyperphagia","yes"
"62",62,62,5,580,69,38547.12543,"7/14/2005","03:00",39.1433508,-106.7725506,2487,29,32.5,"""2D Fix-F0""",3,3.4,"2D","yes",2005,"yes","no",346816.912092,4334180.61413,195,28,"Pre-Hyperphagia","yes"
"64",64,64,5,580,73,38547.16711,"7/14/2005","04:00",39.1428622,-106.7716825,2487,30,29.5,"""2D Fix-F0""",3,3.3,"2D","yes",2005,"yes","no",346890.87901,4334124.9217,195,28,"Pre-Hyperphagia","yes"
"66",66,66,5,580,75,38547.18806,"7/14/2005","04:30",39.1430297,-106.7724158,2486,40,32,"""3D Fix-F5""",5,4.5,"3D","yes",2005,"yes","no",346827.866078,4334144.74936,195,28,"Pre-Hyperphagia","yes"
