SPP,SEX,AGE,BIOYR,CALYR,MMDD,x,y,SAMPLE_MET,ANYPOSNO,Id
MD,F,>=2,2004,2004,0918,409314.000000,4538412.000000,Harvest,NEG,13043
MD,M,>=2,2004,2004,1111,409314.000000,4538412.000000,Harvest,NEG,13043
MD,M,>=2,2004,2004,1108,409314.000000,4538412.000000,Harvest,NEG,13043
MD,M,>=2,2004,2004,1108,409314.000000,4538412.000000,Harvest,NEG,13043
MD,M,>=2,2004,2004,1108,410785.000000,4533986.000000,Harvest,NEG,13190
MD,M,1,2004,2004,1105,412271.000000,4537219.000000,Harvest,NEG,13191
MD,M,>=2,2004,2004,1102,412526.000000,4538364.000000,Harvest,NEG,13192
MD,M,>=2,2004,2004,1102,412526.000000,4538364.000000,Harvest,NEG,13192
MD,F,>=2,2004,2004,1102,412526.000000,4538364.000000,Harvest,POS,13192
MD,M,>=2,2004,2004,1106,414077.000000,4535545.000000,Harvest,NEG,13340
MD,F,>=2,2004,2004,0915,415537.000000,4530624.000000,Harvest,NEG,13338
MD,F,<1,2004,2004,0912,415591.000000,4532241.000000,Harvest,NEG,13339
MD,F,<1,2004,2004,1110,420432.000000,4533690.000000,Harvest,NEG,13637
MD,F,<1,2004,2004,1020,422129.000000,4533753.000000,Harvest,NEG,13786
MD,F,>=2,2004,2004,1020,422129.000000,4533753.000000,Harvest,NEG,13786
MD,M,>=2,2004,2004,1022,422129.000000,4533753.000000,Harvest,NEG,13786
MD,F,>=2,2004,2004,0915,423612.000000,4520764.000000,Harvest,NEG,13782
MD,M,>=2,2004,2004,0914,423612.000000,4520764.000000,Harvest,NEG,13782
MD,M,>=2,2004,2004,1109,423690.000000,4536978.000000,Harvest,NEG,13787
MD,M,>=2,2004,2004,1109,423690.000000,4536978.000000,Harvest,NEG,13787
MD,F,>=2,2004,2004,1112,423781.000000,4532135.000000,Harvest,NEG,13786
MD,F,1,2004,2004,0917,425273.000000,4525587.000000,Harvest,NEG,13932
MD,M,>=2,2004,2004,1101,425433.000000,4532102.000000,Harvest,NEG,13935
MD,M,>=2,2004,2004,1022,425454.000000,4533744.000000,Harvest,NEG,13935
MD,F,>=2,2004,2004,1111,428716.000000,4535268.000000,Harvest,NEG,14085
MD,F,>=2,2004,2005,0103,431816.000000,4531927.000000,Harvest,NEG,14232
MD,M,1,2004,2004,1110,431951.000000,4536789.000000,Harvest,NEG,14234
