"","SPP","SEX","AGE","BIOYR","CALYR","MMDD","SAMPLE_MET","ANYPOSNO","Id","x","y"
"1","MD","F",">=2",2004,2004,918,"Harvest","NEG",13043,409585.473046578,4538586.75178223
"2","MD","M",">=2",2004,2004,1111,"Harvest","NEG",13043,409237.18743635,4538541.93697133
"3","MD","M",">=2",2004,2004,1108,"Harvest","NEG",13043,409563.723144248,4538059.9385782
"4","MD","M",">=2",2004,2004,1108,"Harvest","NEG",13043,408929.425481647,4538298.52765434
"5","MD","M",">=2",2004,2004,1108,"Harvest","NEG",13190,410430.692854188,4533907.46364264
"6","MD","M","1",2004,2004,1105,"Harvest","NEG",13191,412500.854582436,4537175.40744399
"7","MD","M",">=2",2004,2004,1102,"Harvest","NEG",13192,412457.988892891,4538284.68900522
"8","MD","M",">=2",2004,2004,1102,"Harvest","NEG",13192,412719.344496563,4538465.73794962
"9","MD","F",">=2",2004,2004,1102,"Harvest","POS",13192,412697.549229324,4538622.40891432
"10","MD","M",">=2",2004,2004,1106,"Harvest","NEG",13340,413996.276720658,4535412.58531928
"11","MD","F",">=2",2004,2004,915,"Harvest","NEG",13338,415289.592641674,4530251.80514546
"12","MD","F","<1",2004,2004,912,"Harvest","NEG",13339,415411.192662068,4532167.19421165
"13","MD","F","<1",2004,2004,1110,"Harvest","NEG",13637,420813.162815541,4533329.50818349
"14","MD","F","<1",2004,2004,1020,"Harvest","NEG",13786,421843.350420423,4533629.00516025
"15","MD","F",">=2",2004,2004,1020,"Harvest","NEG",13786,421885.612012535,4534137.53515656
"16","MD","M",">=2",2004,2004,1022,"Harvest","NEG",13786,422217.451930322,4533798.35122085
"17","MD","F",">=2",2004,2004,915,"Harvest","NEG",13782,423239.144890465,4520854.78056794
"18","MD","M",">=2",2004,2004,914,"Harvest","NEG",13782,423886.981953576,4520464.24137627
"19","MD","M",">=2",2004,2004,1109,"Harvest","NEG",13787,423956.396548413,4536977.83714558
"20","MD","M",">=2",2004,2004,1109,"Harvest","NEG",13787,423304.293192886,4537112.65136327
"21","MD","F",">=2",2004,2004,1112,"Harvest","NEG",13786,423972.869354993,4532499.08043355
"22","MD","F","1",2004,2004,917,"Harvest","NEG",13932,425021.19770027,4525456.36664339
"23","MD","M",">=2",2004,2004,1101,"Harvest","NEG",13935,425249.563776322,4531910.9282101
"24","MD","M",">=2",2004,2004,1022,"Harvest","NEG",13935,425730.677599177,4533489.04468497
"25","MD","F",">=2",2004,2004,1111,"Harvest","NEG",14085,428425.897037409,4535276.72311406
"26","MD","F",">=2",2004,2005,103,"Harvest","NEG",14232,431863.97275532,4531783.54895958
"27","MD","M","1",2004,2004,1110,"Harvest","NEG",14234,431955.678725637,4537114.50211456
"28","MD","M",">=2",2004,2004,1105,"Harvest","NEG",14380,436584.108693071,4527342.09402905
"29","MD","M",">=2",2004,2004,1023,"Harvest","NEG",14381,436875.514027625,4532172.92475796
"30","MD","M","1",2004,2004,918,"Harvest","NEG",14678,440759.36131224,4527095.8596625
"31","MD","M","1",2004,2004,916,"Harvest","NEG",14679,442995.256362952,4530625.97128008
"32","MD","M",">=2",2004,2004,1020,"Harvest","NEG",14830,443506.346499659,4536849.92781363
"33","MD","F",">=2",2004,2004,1022,"Harvest","NEG",14979,446152.207773127,4536393.21425322
"34","MD","F",">=2",2004,2004,920,"Harvest","NEG",14976,447395.431933172,4526547.26628922
"35","MD","M",">=2",2004,2004,1018,"Harvest","NEG",14976,447427.835732259,4528678.67032249
