STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00300085	ALFRED	19950101	9999	50	-89	NA	50	-89	520.0	42.249	-77.758
USC00300085	ALFRED	19950102	9999	-39	-133	NA	-39	-133	520.0	42.249	-77.758
USC00300085	ALFRED	19950103	9999	-39	-144	NA	-39	-144	520.0	42.249	-77.758
USC00300085	ALFRED	19950104	9999	-83	-183	NA	-83	-183	520.0	42.249	-77.758
USC00300085	ALFRED	19950105	9999	-83	-150	NA	-83	-150	520.0	42.249	-77.758
USC00300085	ALFRED	19950106	9999	17	-122	NA	17	-122	520.0	42.249	-77.758
USC00300085	ALFRED	19950107	9999	-17	-111	NA	-17	-111	520.0	42.249	-77.758
USC00300085	ALFRED	19950108	9999	-22	-94	NA	-22	-94	520.0	42.249	-77.758
USC00300085	ALFRED	19950109	9999	-33	-167	NA	-33	-167	520.0	42.249	-77.758
USC00300085	ALFRED	19950110	9999	-33	-111	NA	-33	-111	520.0	42.249	-77.758
USC00300085	ALFRED	19950111	9999	39	-67	NA	39	-67	520.0	42.249	-77.758
USC00300085	ALFRED	19950112	9999	56	17	NA	56	17	520.0	42.249	-77.758
USC00300085	ALFRED	19950113	9999	167	11	NA	167	11	520.0	42.249	-77.758
USC00300085	ALFRED	19950114	9999	161	100	NA	161	100	520.0	42.249	-77.758
USC00300085	ALFRED	19950115	9999	172	39	NA	172	39	520.0	42.249	-77.758
USC00300085	ALFRED	19950116	9999	72	-28	NA	72	-28	520.0	42.249	-77.758
USC00300085	ALFRED	19950117	9999	67	-39	NA	67	-39	520.0	42.249	-77.758
USC00300085	ALFRED	19950118	9999	94	11	NA	94	11	520.0	42.249	-77.758
USC00300085	ALFRED	19950119	9999	78	17	NA	78	17	520.0	42.249	-77.758
USC00300085	ALFRED	19950120	9999	67	-22	NA	67	-22	520.0	42.249	-77.758
USC00300085	ALFRED	19950121	9999	17	-83	NA	17	-83	520.0	42.249	-77.758
USC00300085	ALFRED	19950122	9999	-28	-106	NA	-28	-106	520.0	42.249	-77.758
USC00300085	ALFRED	19950123	9999	-11	-83	NA	-11	-83	520.0	42.249	-77.758
USC00300085	ALFRED	19950124	9999	-11	-61	NA	-11	-61	520.0	42.249	-77.758
USC00300085	ALFRED	19950125	9999	-6	-56	NA	-6	-56	520.0	42.249	-77.758
USC00300085	ALFRED	19950126	9999	-17	-78	NA	-17	-78	520.0	42.249	-77.758
USC00300085	ALFRED	19950127	9999	-22	-167	NA	-22	-167	520.0	42.249	-77.758
USC00300085	ALFRED	19950128	9999	-28	-217	NA	-28	-217	520.0	42.249	-77.758
USC00300085	ALFRED	19950129	9999	17	-183	NA	17	-183	520.0	42.249	-77.758
USC00300085	ALFRED	19950130	9999	28	-89	NA	28	-89	520.0	42.249	-77.758
USC00300085	ALFRED	19950131	9999	33	-22	NA	33	-22	520.0	42.249	-77.758
USC00300085	ALFRED	19960101	9999	11	-106	NA	11	-106	520.0	42.249	-77.758
USC00300085	ALFRED	19960102	9999	-72	-139	NA	-72	-139	520.0	42.249	-77.758
USC00300085	ALFRED	19960103	9999	-83	-261	NA	-83	-261	520.0	42.249	-77.758
USC00300085	ALFRED	19960104	9999	-78	-228	NA	-78	-228	520.0	42.249	-77.758
USC00300085	ALFRED	19960105	9999	-72	-278	NA	-72	-278	520.0	42.249	-77.758
USC00300085	ALFRED	19960106	9999	-89	-233	NA	-89	-233	520.0	42.249	-77.758
USC00300085	ALFRED	19960107	9999	-94	-189	NA	-94	-189	520.0	42.249	-77.758
USC00300085	ALFRED	19960108	9999	-67	-183	NA	-67	-183	520.0	42.249	-77.758
USC00300085	ALFRED	19960109	9999	-61	-228	NA	-61	-228	520.0	42.249	-77.758
