STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00300093	ALLEGANYSP	19950101	0	44	-33	0	44	-33	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950102	76	39	-67	76	39	-67	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950103	51	-67	-106	51	-67	-106	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950104	51	-44	-122	51	-44	-122	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950105	76	-100	-156	76	-100	-156	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950106	76	-94	-156	76	-94	-156	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950107	102	11	-139	102	11	-139	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950108	102	-28	-83	102	-28	-83	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950109	102	-50	-78	102	-50	-78	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950110	102	-61	-128	102	-61	-128	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950111	102	-50	-128	102	-50	-128	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950112	76	22	-50	76	22	-50	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950113	0	117	17	0	117	17	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950114	0	156	44	0	156	44	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950115	0	172	106	0	172	106	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950116	0	167	22	0	167	22	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950117	0	28	0	0	28	0	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950118	0	33	6	0	33	6	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950119	0	111	17	0	111	17	457.2	42.100	-78.749
USC00300093	ALLEGANYSP	19950120	0	83	39	0	83	39	457.2	42.100	-78.749
