STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00300183	ANGELICA	19950101	0	50	-17	0	50	-17	452.0	42.303	-78.018
USC00300183	ANGELICA	19950102	0	-44	-56	0	-44	-56	452.0	42.303	-78.018
USC00300183	ANGELICA	19950103	0	-33	-117	0	-33	-117	452.0	42.303	-78.018
USC00300183	ANGELICA	19950104	0	-94	-117	0	-94	-117	452.0	42.303	-78.018
USC00300183	ANGELICA	19950105	0	-78	-189	0	-78	-189	452.0	42.303	-78.018
USC00300183	ANGELICA	19950106	0	11	-150	0	11	-150	452.0	42.303	-78.018
USC00300183	ANGELICA	19950107	25	-17	-83	25	-17	-83	452.0	42.303	-78.018
USC00300183	ANGELICA	19950108	25	-33	-83	25	-33	-83	452.0	42.303	-78.018
USC00300183	ANGELICA	19950109	25	-56	-72	25	-56	-72	452.0	42.303	-78.018
USC00300183	ANGELICA	19950110	25	-39	-150	25	-39	-150	452.0	42.303	-78.018
USC00300183	ANGELICA	19950111	25	33	-156	25	33	-156	452.0	42.303	-78.018
USC00300183	ANGELICA	19950112	0	128	-50	0	128	-50	452.0	42.303	-78.018
USC00300183	ANGELICA	19950113	0	172	28	0	172	28	452.0	42.303	-78.018
USC00300183	ANGELICA	19950114	0	172	17	0	172	17	452.0	42.303	-78.018
USC00300183	ANGELICA	19950115	0	178	83	0	178	83	452.0	42.303	-78.018
USC00300183	ANGELICA	19950116	0	61	50	0	61	50	452.0	42.303	-78.018
USC00300183	ANGELICA	19950117	0	11	-6	0	11	-6	452.0	42.303	-78.018
USC00300183	ANGELICA	19950118	0	117	-11	0	117	-11	452.0	42.303	-78.018
USC00300183	ANGELICA	19950119	0	83	-11	0	83	-11	452.0	42.303	-78.018
USC00300183	ANGELICA	19950120	0	67	39	0	67	39	452.0	42.303	-78.018
USC00300183	ANGELICA	19950121	51	11	-6	51	11	-6	452.0	42.303	-78.018
USC00300183	ANGELICA	19950122	25	-39	-56	25	-39	-56	452.0	42.303	-78.018
USC00300183	ANGELICA	19950123	25	-17	-78	25	-17	-78	452.0	42.303	-78.018
USC00300183	ANGELICA	19950124	25	-11	-67	25	-11	-67	452.0	42.303	-78.018
USC00300183	ANGELICA	19950125	76	-11	-39	76	-11	-39	452.0	42.303	-78.018
USC00300183	ANGELICA	19950126	102	-22	-56	102	-22	-56	452.0	42.303	-78.018
USC00300183	ANGELICA	19950127	127	-22	-61	127	-22	-61	452.0	42.303	-78.018
USC00300183	ANGELICA	19950128	127	-56	-161	127	-56	-161	452.0	42.303	-78.018
USC00300183	ANGELICA	19950129	127	11	-239	127	11	-239	452.0	42.303	-78.018
USC00300183	ANGELICA	19950130	102	22	-239	102	22	-239	452.0	42.303	-78.018
USC00300183	ANGELICA	19950131	76	28	-206	76	28	-206	452.0	42.303	-78.018
USC00300183	ANGELICA	19960101	254	0	-56	254	0	-56	452.0	42.303	-78.018
USC00300183	ANGELICA	19960102	203	-83	-89	203	-83	-89	452.0	42.303	-78.018
