STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00300448	BATH	19950101	0	33	-22	0	33	-22	341.4	42.348	-77.347
USC00300448	BATH	19950102	0	67	-39	0	67	-39	341.4	42.348	-77.347
USC00300448	BATH	19950103	0	67	-89	0	67	-89	341.4	42.348	-77.347
USC00300448	BATH	19950104	0	-22	-89	0	-22	-89	341.4	42.348	-77.347
USC00300448	BATH	19950105	0	-78	-144	0	-78	-144	341.4	42.348	-77.347
USC00300448	BATH	19950106	0	-72	-144	0	-72	-144	341.4	42.348	-77.347
USC00300448	BATH	19950107	0	11	-139	0	11	-139	341.4	42.348	-77.347
USC00300448	BATH	19950108	0	11	-139	0	11	-139	341.4	42.348	-77.347
USC00300448	BATH	19950109	0	-11	-67	0	-11	-67	341.4	42.348	-77.347
USC00300448	BATH	19950110	25	-39	-133	25	-39	-133	341.4	42.348	-77.347
USC00300448	BATH	19950111	0	-44	-133	0	-44	-133	341.4	42.348	-77.347
USC00300448	BATH	19950112	0	33	-44	0	33	-44	341.4	42.348	-77.347
USC00300448	BATH	19950113	0	89	28	0	89	28	341.4	42.348	-77.347
USC00300448	BATH	19950114	0	178	6	0	178	6	341.4	42.348	-77.347
USC00300448	BATH	19950115	0	167	6	0	167	6	341.4	42.348	-77.347
USC00300448	BATH	19950116	0	178	67	0	178	67	341.4	42.348	-77.347
USC00300448	BATH	19950117	0	67	0	0	67	0	341.4	42.348	-77.347
USC00300448	BATH	19950118	0	22	-11	0	22	-11	341.4	42.348	-77.347
USC00300448	BATH	19950119	0	78	-6	0	78	-6	341.4	42.348	-77.347
USC00300448	BATH	19950120	0	72	44	0	72	44	341.4	42.348	-77.347
USC00300448	BATH	19950122	0	67	-39	0	67	-39	341.4	42.348	-77.347
USC00300448	BATH	19950123	25	17	-78	25	17	-78	341.4	42.348	-77.347
USC00300448	BATH	19950124	25	-22	-67	25	-22	-67	341.4	42.348	-77.347
USC00300448	BATH	19950125	25	0	-28	25	0	-28	341.4	42.348	-77.347
USC00300448	BATH	19950126	76	6	-44	76	6	-44	341.4	42.348	-77.347
USC00300448	BATH	19950127	76	-17	-44	76	-17	-44	341.4	42.348	-77.347
USC00300448	BATH	19950128	76	-17	-161	76	-17	-161	341.4	42.348	-77.347
USC00300448	BATH	19950129	51	-61	-194	51	-61	-194	341.4	42.348	-77.347
USC00300448	BATH	19950130	51	-11	-194	51	-11	-194	341.4	42.348	-77.347
USC00300448	BATH	19950131	25	17	-194	25	17	-194	341.4	42.348	-77.347
USC00300448	BATH	19960101	0	22	-50	0	22	-50	341.4	42.348	-77.347
USC00300448	BATH	19960102	229	0	-72	229	0	-72	341.4	42.348	-77.347
USC00300448	BATH	19960103	584	-72	-111	584	-72	-111	341.4	42.348	-77.347
USC00300448	BATH	19960104	559	-89	-222	559	-89	-222	341.4	42.348	-77.347
USC00300448	BATH	19960105	559	-94	-233	559	-94	-233	341.4	42.348	-77.347
USC00300448	BATH	19960106	559	-89	-306	559	-89	-306	341.4	42.348	-77.347
USC00300448	BATH	19960107	559	-106	-306	559	-106	-306	341.4	42.348	-77.347
USC00300448	BATH	19960108	483	-111	-172	483	-111	-172	341.4	42.348	-77.347
USC00300448	BATH	19960109	483	-89	-156	483	-89	-156	341.4	42.348	-77.347
USC00300448	BATH	19960110	559	-61	-156	559	-61	-156	341.4	42.348	-77.347
USC00300448	BATH	19960111	533	-78	-206	533	-78	-206	341.4	42.348	-77.347
USC00300448	BATH	19960112	508	-72	-222	508	-72	-222	341.4	42.348	-77.347
USC00300448	BATH	19960113	508	-44	-94	508	-44	-94	341.4	42.348	-77.347
USC00300448	BATH	19960114	508	-11	-78	508	-11	-78	341.4	42.348	-77.347
USC00300448	BATH	19960115	457	67	-67	457	67	-67	341.4	42.348	-77.347
USC00300448	BATH	19960116	381	-67	-167	381	-67	-167	341.4	42.348	-77.347
USC00300448	BATH	19960117	305	33	-161	305	33	-161	341.4	42.348	-77.347
USC00300448	BATH	19960118	254	67	0	254	67	0	341.4	42.348	-77.347
USC00300448	BATH	19960119	102	150	11	102	150	11	341.4	42.348	-77.347
