STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USW00004725	BINGHAMTON	19950101	0	56	6	0	56	6	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950102	25	17	-83	25	17	-83	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950103	51	-50	-106	51	-50	-106	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950104	25	-50	-144	25	-50	-144	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950105	25	-78	-150	25	-78	-150	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950106	25	-28	-122	25	-28	-122	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950107	25	11	-61	25	11	-61	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950108	51	-17	-83	51	-17	-83	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950109	25	-44	-111	25	-44	-111	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950110	25	-61	-117	25	-61	-117	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950111	25	-11	-111	25	-11	-111	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950112	0	78	-11	0	78	-11	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950113	0	161	67	0	161	67	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950114	0	167	72	0	167	72	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950115	0	150	139	0	150	139	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950116	0	144	17	0	144	17	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950117	0	17	-11	0	17	-11	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950118	0	50	-11	0	50	-11	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950119	0	50	28	0	50	28	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950120	0	83	39	0	83	39	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950121	0	44	-17	0	44	-17	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950122	25	-17	-61	25	-17	-61	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950123	51	-28	-83	51	-28	-83	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950124	51	-17	-44	51	-17	-44	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950125	51	-17	-39	51	-17	-39	486.2	42.206	-75.980
USW00004725	BINGHAMTON	19950126	76	-28	-61	76	-28	-61	486.2	42.206	-75.980
