STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG				
USC00360868	BRADFORD 4 SW RES 5	19950101	51	50	-78	51	50	-78	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950102	51	-78	-106	51	-78	-106	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950103	51	-56	-133	51	-56	-133	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950104	25	-111	-172	25	-111	-172	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950105	25	-94	-172	25	-94	-172	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950106	76	0	-100	76	0	-100	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950107	76	-28	-78	76	-28	-78	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950108	76	-56	-78	76	-56	-78	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950109	76	-61	-156	76	-61	-156	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950110	76	-56	-150	76	-56	-150	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950111	25	22	-56	25	22	-56	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950112	0	111	11	0	111	11	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950113	0	150	22	0	150	22	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950114	0	161	83	0	161	83	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950115	0	156	28	0	156	28	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950116	0	28	-6	0	28	-6	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950117	0	44	0	0	44	0	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950118	0	111	6	0	111	6	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950119	0	72	39	0	72	39	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950120	25	56	-6	25	56	-6	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950121	76	-6	-67	76	-6	-67	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950122	102	-50	-83	102	-50	-83	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950123	102	-44	-61	102	-44	-61	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950124	102	-17	-50	102	-17	-50	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950125	152	-39	-61	152	-39	-61	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950126	152	-39	-67	152	-39	-67	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950127	152	-33	-122	152	-33	-122	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950128	152	-50	-217	152	-50	-217	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950129	152	6	-217	152	6	-217	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950130	127	22	-183	127	22	-183	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19950131	102	6	-67	102	6	-67	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960101	305	6	-61	305	6	-61	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960102	508	-61	-111	508	-61	-111	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960103	381	-94	-228	381	-94	-228	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960104	381	-100	-189	381	-100	-189	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960105	381	-94	-283	381	-94	-283	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960106	381	-111	-283	381	-111	-283	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960107	356	-117	-156	356	-117	-156	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960108	356	-72	-161	356	-72	-161	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960109	432	-61	-117	432	-61	-117	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960110	406	-94	-261	406	-94	-261	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960111	381	-83	-261	381	-83	-261	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960112	381	-50	-100	381	-50	-100	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960113	381	-28	-89	381	-28	-89	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960114	381	33	-89	381	33	-89	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960115	381	-67	-178	381	-67	-178	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960116	330	61	-106	330	61	-106	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960117	254	78	-17	254	78	-17	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960118	51	122	61	51	122	61	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960119	76	61	-122	76	61	-122	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960120	76	-56	-144	76	-56	-144	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960121	76	-11	-144	76	-11	-144	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960122	76	39	-61	76	39	-61	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960123	25	44	11	25	44	11	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960124	25	61	-100	25	61	-100	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960125	25	-56	-100	25	-56	-100	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960126	25	67	-94	25	67	-94	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960127	51	72	-94	51	72	-94	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960128	51	-44	-139	51	-44	-139	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960129	51	0	-72	51	0	-72	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960130	51	-44	-156	51	-44	-156	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19960131	51	-106	-222	51	-106	-222	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970101	0	39	-117	0	39	-117	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970102	0	106	28	0	106	28	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970103	0	111	28	0	111	28	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970104	0	144	28	0	144	28	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970105	0	144	-39	0	144	-39	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970106	51	-39	-83	51	-39	-83	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970107	76	-67	-89	76	-67	-89	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970108	76	-50	-133	76	-50	-133	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970109	76	-17	-83	76	-17	-83	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970110	102	-39	-156	102	-39	-156	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970111	102	-117	-156	102	-117	-156	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970112	102	-111	-150	102	-111	-150	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970113	102	-94	-139	102	-94	-139	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970114	76	-72	-183	76	-72	-183	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970115	127	28	-183	127	28	-183	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970116	127	-22	-194	127	-22	-194	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970117	127	-172	-194	127	-172	-194	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970118	127	-150	-250	127	-150	-250	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970119	127	-67	-222	127	-67	-222	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970120	152	-33	-111	152	-33	-111	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970121	76	50	-117	76	50	-117	506.0	41.8975	-78.7144				
USC00360868	BRADFORD 4 SW RES 5	19970122	0	67	-6	0	67	-6	506.0	41.8975	-78.7144				
