STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00280734	BELVIDERE	19950101	9999	28	-106	NA	28	-106	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950102	9999	67	0	NA	67	0	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950103	9999	22	-83	NA	22	-83	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950104	9999	-22	-83	NA	-22	-83	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950105	9999	-17	-122	NA	-17	-122	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950106	9999	-44	-117	NA	-44	-117	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950107	9999	0	-106	NA	0	-106	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950108	9999	44	-39	NA	44	-39	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950109	9999	22	-83	NA	22	-83	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950110	9999	-28	-100	NA	-28	-100	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950111	9999	0	-39	NA	0	-39	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950112	9999	-17	-33	NA	-17	-33	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950113	9999	11	-17	NA	11	-17	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950114	9999	78	6	NA	78	6	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950115	9999	178	33	NA	178	33	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950116	9999	183	128	NA	183	128	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950117	9999	144	44	NA	144	44	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950118	9999	22	11	NA	22	11	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950119	9999	56	28	NA	56	28	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950120	9999	61	6	NA	61	6	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950121	9999	83	6	NA	83	6	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950122	9999	44	-44	NA	44	-44	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950123	9999	6	-50	NA	6	-50	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950124	9999	33	-44	NA	33	-44	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950125	9999	17	-61	NA	17	-61	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950126	9999	6	-17	NA	6	-17	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950127	9999	11	-39	NA	11	-39	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950128	9999	22	-72	NA	22	-72	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950129	9999	0	-106	NA	0	-106	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950130	9999	17	-106	NA	17	-106	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19950131	9999	9999	9999	NA	NA	NA	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960101	9999	61	-67	NA	61	-67	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960102	9999	39	-6	NA	39	-6	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960103	9999	-6	-83	NA	-6	-83	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960104	9999	-56	-117	NA	-56	-117	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960105	9999	-44	-150	NA	-44	-150	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960106	9999	-33	-172	NA	-33	-172	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960107	9999	-72	-167	NA	-72	-167	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960108	9999	-67	-156	NA	-67	-156	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960109	9999	-67	-178	NA	-67	-178	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960110	9999	-61	-172	NA	-61	-172	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960111	9999	-39	-150	NA	-39	-150	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960112	9999	-61	-156	NA	-61	-156	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960113	9999	-11	-89	NA	-11	-89	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960114	9999	6	-94	NA	6	-94	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960115	9999	33	-28	NA	33	-28	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960116	9999	22	-156	NA	22	-156	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960117	9999	-39	-156	NA	-39	-156	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960118	9999	39	-39	NA	39	-39	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960119	9999	44	-28	NA	44	-28	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960120	9999	144	-78	NA	144	-78	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960121	9999	-17	-111	NA	-17	-111	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960122	9999	-17	-83	NA	-17	-83	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960123	9999	28	-33	NA	28	-33	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960124	9999	22	-17	NA	22	-17	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960125	9999	94	-39	NA	94	-39	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960126	9999	-6	-94	NA	-6	-94	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960127	9999	89	-94	NA	89	-94	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960128	9999	117	-28	NA	117	-28	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960129	9999	11	-72	NA	11	-72	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960130	9999	17	-61	NA	17	-61	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19960131	9999	44	-56	NA	44	-56	80.2	40.83333	-75.08333
USC00280734	BELVIDERE	19970101	9999	0	-133	NA	0	-133	80.2	40.83333	-75.08333
