STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00361485	CLARION	19950101	9999	39	-56	NA	39	-56	317	41.1922	-79.4361
USC00361485	CLARION	19950102	9999	67	-67	NA	67	-67	317	41.1922	-79.4361
USC00361485	CLARION	19950103	9999	-61	-94	NA	-61	-94	317	41.1922	-79.4361
USC00361485	CLARION	19950104	9999	-33	-122	NA	-33	-122	317	41.1922	-79.4361
USC00361485	CLARION	19950105	9999	-94	-167	NA	-94	-167	317	41.1922	-79.4361
USC00361485	CLARION	19950106	9999	-94	-156	NA	-94	-156	317	41.1922	-79.4361
USC00361485	CLARION	19950107	9999	6	-156	NA	6	-156	317	41.1922	-79.4361
USC00361485	CLARION	19950108	9999	39	-61	NA	39	-61	317	41.1922	-79.4361
USC00361485	CLARION	19950109	9999	-17	-61	NA	-17	-61	317	41.1922	-79.4361
USC00361485	CLARION	19950110	9999	-22	-128	NA	-22	-128	317	41.1922	-79.4361
USC00361485	CLARION	19950111	9999	-22	-106	NA	-22	-106	317	41.1922	-79.4361
USC00361485	CLARION	19950112	9999	17	-39	NA	17	-39	317	41.1922	-79.4361
USC00361485	CLARION	19950113	9999	67	-39	NA	67	-39	317	41.1922	-79.4361
USC00361485	CLARION	19950114	9999	167	0	NA	167	0	317	41.1922	-79.4361
USC00361485	CLARION	19950115	9999	172	6	NA	172	6	317	41.1922	-79.4361
USC00361485	CLARION	19950116	9999	172	6	NA	172	6	317	41.1922	-79.4361
USC00361485	CLARION	19950117	9999	17	6	NA	17	6	317	41.1922	-79.4361
USC00361485	CLARION	19950118	9999	28	6	NA	28	6	317	41.1922	-79.4361
USC00361485	CLARION	19950119	9999	128	-17	NA	128	-17	317	41.1922	-79.4361
USC00361485	CLARION	19950120	9999	106	39	NA	106	39	317	41.1922	-79.4361
USC00361485	CLARION	19950121	9999	56	0	NA	56	0	317	41.1922	-79.4361
USC00361485	CLARION	19950122	9999	6	-61	NA	6	-61	317	41.1922	-79.4361
USC00361485	CLARION	19950123	9999	-39	-83	NA	-39	-83	317	41.1922	-79.4361
USC00361485	CLARION	19950124	9999	-44	-83	NA	-44	-83	317	41.1922	-79.4361
USC00361485	CLARION	19950125	9999	-6	-50	NA	-6	-50	317	41.1922	-79.4361
USC00361485	CLARION	19950126	9999	-50	-67	NA	-50	-67	317	41.1922	-79.4361
USC00361485	CLARION	19950127	9999	-22	-100	NA	-22	-100	317	41.1922	-79.4361
USC00361485	CLARION	19950128	9999	0	-94	NA	0	-94	317	41.1922	-79.4361
USC00361485	CLARION	19950129	9999	-6	-122	NA	-6	-122	317	41.1922	-79.4361
