STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00361705	CONFLUENCE	19950101	0	61	-11	0	61	-11	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950102	25	89	-122	25	89	-122	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950103	25	-50	-117	25	-50	-117	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950104	25	-22	-161	25	-22	-161	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950105	25	-67	-211	25	-67	-211	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950106	25	-67	-217	25	-67	-217	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950107	0	56	-183	0	56	-183	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950108	25	39	-94	25	39	-94	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950109	25	0	-111	25	0	-111	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950110	25	28	-100	25	28	-100	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950111	76	0	-100	76	0	-100	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950112	51	22	-67	51	22	-67	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950113	0	61	-17	0	61	-17	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950114	0	172	-44	0	172	-44	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950115	0	178	17	0	178	17	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950116	0	178	-39	0	178	-39	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950117	0	28	-50	0	28	-50	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950118	0	28	-61	0	28	-61	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950119	0	133	-56	0	133	-56	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950120	0	94	-61	0	94	-61	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950121	0	39	-72	0	39	-72	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950122	102	-6	-117	102	-6	-117	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950123	152	-22	-111	152	-22	-111	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950124	178	-11	-117	178	-11	-117	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950125	152	-33	-128	152	-33	-128	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950126	127	-6	-144	127	-6	-144	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950127	127	-22	-133	127	-22	-133	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950128	102	11	-72	102	11	-72	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950129	102	11	-161	102	11	-161	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950130	102	39	-167	102	39	-167	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19950131	102	28	-111	102	28	-111	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960101	51	50	-44	51	50	-44	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960102	51	50	-167	51	50	-167	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960103	51	44	-22	51	44	-22	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960104	76	28	-117	76	28	-117	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960105	76	-44	-117	76	-44	-117	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960106	76	-44	-139	76	-44	-139	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960107	203	-28	-133	203	-28	-133	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960108	508	-89	-144	508	-89	-144	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960109	457	-50	-144	457	-50	-144	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960110	533	-28	-122	533	-28	-122	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960111	533	-44	-267	533	-44	-267	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960112	483	-33	-239	483	-33	-239	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960113	533	-28	-111	533	-28	-111	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960114	457	0	-89	457	0	-89	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960115	305	117	-78	305	117	-78	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960116	305	22	-122	305	22	-122	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960117	254	83	-106	254	83	-106	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960118	152	89	-22	152	89	-22	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960119	51	150	-11	51	150	-11	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960120	25	83	-161	25	83	-161	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960121	25	-11	-133	25	-11	-133	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960122	25	17	-156	25	17	-156	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960123	25	78	-122	25	78	-122	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960124	0	50	-50	0	50	-50	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960125	76	100	-100	76	100	-100	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960126	51	-11	-144	51	-11	-144	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960127	0	94	-144	0	94	-144	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960128	25	106	-94	25	106	-94	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960129	25	-11	-106	25	-11	-106	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960130	0	56	-50	0	56	-50	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19960131	51	50	-122	51	50	-122	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970101	0	122	6	0	122	6	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970102	0	100	6	0	100	6	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970103	0	139	89	0	139	89	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970104	0	150	83	0	150	83	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970105	0	206	94	0	206	94	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970106	0	167	11	0	167	11	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970107	0	50	-61	0	50	-61	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970108	0	-6	-94	0	-6	-94	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970109	25	-6	-89	25	-6	-89	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970110	51	22	-39	51	22	-39	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970111	76	-6	-133	76	-6	-133	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970112	76	-89	-144	76	-89	-144	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970113	76	-100	-161	76	-100	-161	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970114	76	-61	-161	76	-61	-161	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970115	76	-11	-150	76	-11	-150	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970116	51	61	-150	51	61	-150	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970117	76	33	-189	76	33	-189	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970118	76	-128	-189	76	-128	-189	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970119	102	-128	-211	102	-128	-211	454.2	39.7994	-79.3665
USC00361705	CONFLUENCE	19970120	102	-33	-217	102	-33	-217	454.2	39.7994	-79.3665
