STATION	STATION_NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00301787	CORNING	19950101	0	67	0	0	67	0	349.6	42.134	-77.069
USC00301787	CORNING	19950102	0	33	-56	0	33	-56	349.6	42.134	-77.069
USC00301787	CORNING	19950103	0	-28	-111	0	-28	-111	349.6	42.134	-77.069
USC00301787	CORNING	19950104	0	-44	-139	0	-44	-139	349.6	42.134	-77.069
USC00301787	CORNING	19950105	0	-67	-150	0	-67	-150	349.6	42.134	-77.069
USC00301787	CORNING	19950106	0	0	-139	0	0	-139	349.6	42.134	-77.069
USC00301787	CORNING	19950107	25	-11	-44	25	-11	-44	349.6	42.134	-77.069
USC00301787	CORNING	19950108	0	-6	-78	0	-6	-78	349.6	42.134	-77.069
USC00301787	CORNING	19950109	0	-17	-83	0	-17	-83	349.6	42.134	-77.069
USC00301787	CORNING	19950110	0	-39	-117	0	-39	-117	349.6	42.134	-77.069
USC00301787	CORNING	19950111	0	11	-100	0	11	-100	349.6	42.134	-77.069
USC00301787	CORNING	19950112	0	72	6	0	72	6	349.6	42.134	-77.069
USC00301787	CORNING	19950113	0	172	39	0	172	39	349.6	42.134	-77.069
USC00301787	CORNING	19950114	0	167	28	0	167	28	349.6	42.134	-77.069
USC00301787	CORNING	19950115	0	189	128	0	189	128	349.6	42.134	-77.069
USC00301787	CORNING	19950116	0	139	17	0	139	17	349.6	42.134	-77.069
USC00301787	CORNING	19950117	0	22	-11	0	22	-11	349.6	42.134	-77.069
USC00301787	CORNING	19950118	0	67	-11	0	67	-11	349.6	42.134	-77.069
USC00301787	CORNING	19950119	0	67	39	0	67	39	349.6	42.134	-77.069
USC00301787	CORNING	19950120	0	67	33	0	67	33	349.6	42.134	-77.069
USC00301787	CORNING	19950121	0	44	-17	0	44	-17	349.6	42.134	-77.069
USC00301787	CORNING	19950122	25	-11	-72	25	-11	-72	349.6	42.134	-77.069
USC00301787	CORNING	19950123	51	-17	-89	51	-17	-89	349.6	42.134	-77.069
USC00301787	CORNING	19950124	51	0	-39	51	0	-39	349.6	42.134	-77.069
USC00301787	CORNING	19950125	51	6	-33	51	6	-33	349.6	42.134	-77.069
USC00301787	CORNING	19950126	76	-6	-44	76	-6	-44	349.6	42.134	-77.069
USC00301787	CORNING	19950127	51	-17	-67	51	-17	-67	349.6	42.134	-77.069
USC00301787	CORNING	19950128	51	-44	-150	51	-44	-150	349.6	42.134	-77.069
USC00301787	CORNING	19950129	25	-11	-178	25	-11	-178	349.6	42.134	-77.069
USC00301787	CORNING	19950130	25	17	-150	25	17	-150	349.6	42.134	-77.069
USC00301787	CORNING	19950131	25	44	-72	25	44	-72	349.6	42.134	-77.069
USC00301787	CORNING	19960101	203	6	-33	203	6	-33	349.6	42.134	-77.069
USC00301787	CORNING	19960102	203	-22	-100	203	-22	-100	349.6	42.134	-77.069
USC00301787	CORNING	19960103	457	-83	-133	457	-83	-133	349.6	42.134	-77.069
USC00301787	CORNING	19960104	432	-83	-200	432	-83	-200	349.6	42.134	-77.069
USC00301787	CORNING	19960105	432	-72	-222	432	-72	-222	349.6	42.134	-77.069
USC00301787	CORNING	19960106	406	-111	-278	406	-111	-278	349.6	42.134	-77.069
USC00301787	CORNING	19960107	381	-117	-183	381	-117	-183	349.6	42.134	-77.069
USC00301787	CORNING	19960108	381	-72	-133	381	-72	-133	349.6	42.134	-77.069
USC00301787	CORNING	19960109	381	-61	-167	381	-61	-167	349.6	42.134	-77.069
USC00301787	CORNING	19960110	406	-67	-122	406	-67	-122	349.6	42.134	-77.069
USC00301787	CORNING	19960111	406	-67	-211	406	-67	-211	349.6	42.134	-77.069
USC00301787	CORNING	19960112	381	-50	-100	381	-50	-100	349.6	42.134	-77.069
USC00301787	CORNING	19960113	381	0	-117	381	0	-117	349.6	42.134	-77.069
USC00301787	CORNING	19960114	381	50	-56	381	50	-56	349.6	42.134	-77.069
USC00301787	CORNING	19960115	356	28	-161	356	28	-161	349.6	42.134	-77.069
USC00301787	CORNING	19960116	356	6	-183	356	6	-183	349.6	42.134	-77.069
USC00301787	CORNING	19960117	330	72	-17	330	72	-17	349.6	42.134	-77.069
USC00301787	CORNING	19960118	305	111	0	305	111	0	349.6	42.134	-77.069
USC00301787	CORNING	19960119	76	144	-94	76	144	-94	349.6	42.134	-77.069
USC00301787	CORNING	19960120	25	-39	-106	25	-39	-106	349.6	42.134	-77.069
USC00301787	CORNING	19960121	25	-6	-106	25	-6	-106	349.6	42.134	-77.069
USC00301787	CORNING	19960122	25	33	-111	25	33	-111	349.6	42.134	-77.069
USC00301787	CORNING	19960123	0	33	-39	0	33	-39	349.6	42.134	-77.069
USC00301787	CORNING	19960124	0	44	-39	0	44	-39	349.6	42.134	-77.069
USC00301787	CORNING	19960125	0	-28	-94	0	-28	-94	349.6	42.134	-77.069
USC00301787	CORNING	19960126	0	11	-83	0	11	-83	349.6	42.134	-77.069
USC00301787	CORNING	19960127	0	100	-44	0	100	-44	349.6	42.134	-77.069
USC00301787	CORNING	19960128	0	-28	-94	0	-28	-94	349.6	42.134	-77.069
USC00301787	CORNING	19960129	0	-11	-100	0	-11	-100	349.6	42.134	-77.069
USC00301787	CORNING	19960130	0	22	-89	0	22	-89	349.6	42.134	-77.069
USC00301787	CORNING	19960131	0	-67	-139	0	-67	-139	349.6	42.134	-77.069
USC00301787	CORNING	19970101	0	-39	-144	0	-39	-144	349.6	42.134	-77.069
USC00301787	CORNING	19970102	0	22	-39	0	22	-39	349.6	42.134	-77.069
USC00301787	CORNING	19970103	0	133	17	0	133	17	349.6	42.134	-77.069
USC00301787	CORNING	19970104	0	72	6	0	72	6	349.6	42.134	-77.069
USC00301787	CORNING	19970105	0	122	28	0	122	28	349.6	42.134	-77.069
USC00301787	CORNING	19970106	0	28	-44	0	28	-44	349.6	42.134	-77.069
USC00301787	CORNING	19970107	0	-28	-78	0	-28	-78	349.6	42.134	-77.069
USC00301787	CORNING	19970108	0	-28	-94	0	-28	-94	349.6	42.134	-77.069
USC00301787	CORNING	19970109	0	-11	-111	0	-11	-111	349.6	42.134	-77.069
USC00301787	CORNING	19970110	51	-6	-72	51	-6	-72	349.6	42.134	-77.069
USC00301787	CORNING	19970111	25	-61	-117	25	-61	-117	349.6	42.134	-77.069
USC00301787	CORNING	19970112	25	-61	-122	25	-61	-122	349.6	42.134	-77.069
USC00301787	CORNING	19970113	25	-39	-100	25	-39	-100	349.6	42.134	-77.069
USC00301787	CORNING	19970114	25	-33	-117	25	-33	-117	349.6	42.134	-77.069
USC00301787	CORNING	19970115	25	17	-156	25	17	-156	349.6	42.134	-77.069
USC00301787	CORNING	19970116	0	17	-122	0	17	-122	349.6	42.134	-77.069
USC00301787	CORNING	19970117	25	-122	-178	25	-122	-178	349.6	42.134	-77.069
USC00301787	CORNING	19970118	25	-128	-222	25	-128	-222	349.6	42.134	-77.069
USC00301787	CORNING	19970119	25	-83	-239	25	-83	-239	349.6	42.134	-77.069
USC00301787	CORNING	19970120	25	0	-128	25	0	-128	349.6	42.134	-77.069
USC00301787	CORNING	19970121	51	11	-122	51	11	-122	349.6	42.134	-77.069
USC00301787	CORNING	19970122	25	56	-22	25	56	-22	349.6	42.134	-77.069
USC00301787	CORNING	19970123	0	56	-128	0	56	-128	349.6	42.134	-77.069
USC00301787	CORNING	19970124	0	33	-133	0	33	-133	349.6	42.134	-77.069
USC00301787	CORNING	19970125	0	78	-33	0	78	-33	349.6	42.134	-77.069
USC00301787	CORNING	19970126	25	-33	-133	25	-33	-133	349.6	42.134	-77.069
USC00301787	CORNING	19970127	25	-17	-133	25	-17	-133	349.6	42.134	-77.069
USC00301787	CORNING	19970128	25	11	-89	25	11	-89	349.6	42.134	-77.069
USC00301787	CORNING	19970129	25	-61	-139	25	-61	-139	349.6	42.134	-77.069
