STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00361838	COWANESQUE	19950101	9999	50	9999	NA	50	NA	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950102	9999	-17	-61	NA	-17	-61	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950103	9999	-22	-122	NA	-22	-122	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950104	9999	-56	-133	NA	-56	-133	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950105	9999	-44	-167	NA	-44	-167	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950106	9999	0	-161	NA	0	-161	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950107	9999	-6	-111	NA	-6	-111	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950108	9999	-6	-100	NA	-6	-100	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950109	9999	-11	-89	NA	-11	-89	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950110	9999	-28	-139	NA	-28	-139	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950111	9999	33	-133	NA	33	-133	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950112	9999	94	-67	NA	94	-67	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950113	9999	178	0	NA	178	0	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950114	9999	172	-11	NA	172	-11	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950115	9999	189	11	NA	189	11	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950116	9999	144	6	NA	144	6	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950117	9999	78	-17	NA	78	-17	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950118	9999	72	-33	NA	72	-33	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950119	9999	67	-22	NA	67	-22	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950120	9999	67	17	NA	67	17	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950121	9999	33	-22	NA	33	-22	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950122	9999	-11	-72	NA	-11	-72	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950123	9999	-17	-100	NA	-17	-100	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950124	9999	6	-100	NA	6	-100	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950125	9999	11	-56	NA	11	-56	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950126	9999	0	-72	NA	0	-72	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950127	9999	-6	-83	NA	-6	-83	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950128	9999	-39	-161	NA	-39	-161	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950129	9999	-11	-211	NA	-11	-211	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950130	9999	28	-194	NA	28	-194	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19950131	9999	61	-172	NA	61	-172	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960101	9999	39	-89	NA	39	-89	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960102	9999	17	-78	NA	17	-78	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960103	9999	-50	-133	NA	-50	-133	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960104	9999	-78	-256	NA	-78	-256	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960105	9999	-56	-267	NA	-56	-267	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960106	9999	-78	-328	NA	-78	-328	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960107	9999	-111	-322	NA	-111	-322	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960108	9999	-111	-183	NA	-111	-183	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960109	9999	-72	-206	NA	-72	-206	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960110	9999	-56	-206	NA	-56	-206	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960111	9999	-56	-250	NA	-56	-250	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960112	9999	-78	-239	NA	-78	-239	350.5	41.9903	-77.1567
USC00361838	COWANESQUE	19960113	9999	-39	-161	NA	-39	-161	350.5	41.9903	-77.1567
