STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00461324	CACAPON	19950101	9999	6	-33	NA	6	-33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950102	9999	122	-33	NA	122	-33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950103	9999	-17	-78	NA	-17	-78	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950104	9999	-6	-83	NA	-6	-83	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950105	9999	-33	-139	NA	-33	-139	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950106	9999	-44	-144	NA	-44	-144	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950107	9999	72	-22	NA	72	-22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950108	9999	78	-22	NA	78	-22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950109	9999	28	-28	NA	28	-28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950110	9999	61	-50	NA	61	-50	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950111	9999	-6	-44	NA	-6	-44	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950112	9999	6	-22	NA	6	-22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950113	9999	89	0	NA	89	0	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950114	9999	183	17	NA	183	17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950115	9999	189	50	NA	189	50	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950116	9999	161	33	NA	161	33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950117	9999	67	11	NA	67	11	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950118	9999	56	33	NA	56	33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950119	9999	89	50	NA	89	50	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950120	9999	61	39	NA	61	39	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950121	9999	61	-94	NA	61	-94	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950122	9999	28	-56	NA	28	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950123	9999	0	-56	NA	0	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950124	9999	28	-56	NA	28	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950125	9999	6	-89	NA	6	-89	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950126	9999	28	-56	NA	28	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950127	9999	0	-83	NA	0	-83	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950128	9999	33	-50	NA	33	-50	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950129	9999	-6	-122	NA	-6	-122	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950130	9999	28	-22	NA	28	-22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19950131	9999	17	-17	NA	17	-17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960101	9999	83	-22	NA	83	-22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960102	9999	33	6	NA	33	6	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960103	9999	17	0	NA	17	0	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960104	9999	50	-133	NA	50	-133	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960105	9999	-28	-78	NA	-28	-78	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960106	9999	-17	-94	NA	-17	-94	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960108	9999	9999	9999	NA	NA	NA	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960111	9999	-61	-167	NA	-61	-167	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960112	9999	-39	-139	NA	-39	-139	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960113	9999	-11	-122	NA	-11	-122	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960114	9999	39	-72	NA	39	-72	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960115	9999	128	-67	NA	128	-67	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960116	9999	61	-72	NA	61	-72	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960117	9999	28	-44	NA	28	-44	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960118	9999	67	-11	NA	67	-11	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960119	9999	183	17	NA	183	17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960120	9999	128	-156	NA	128	-156	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960121	9999	-33	-111	NA	-33	-111	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960122	9999	-6	-106	NA	-6	-106	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960123	9999	61	-100	NA	61	-100	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960124	9999	33	-17	NA	33	-17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960125	9999	89	-50	NA	89	-50	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960126	9999	11	-72	NA	11	-72	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960127	9999	72	-44	NA	72	-44	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960128	9999	100	-72	NA	100	-72	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960129	9999	-6	-61	NA	-6	-61	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960130	9999	44	-28	NA	44	-28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19960131	9999	72	-44	NA	72	-44	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970101	9999	-22	-61	NA	-22	-61	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970102	9999	56	-33	NA	56	-33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970103	9999	167	39	NA	167	39	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970104	9999	172	128	NA	172	128	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970105	9999	222	117	NA	222	117	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970106	9999	189	39	NA	189	39	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970107	9999	89	-39	NA	89	-39	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970108	9999	22	-89	NA	22	-89	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970109	9999	17	-78	NA	17	-78	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970110	9999	-78	0	NA	-78	0	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970111	9999	22	-100	NA	22	-100	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970112	9999	-56	-117	NA	-56	-117	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970113	9999	-56	-189	NA	-56	-189	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970114	9999	-33	-133	NA	-33	-133	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970115	9999	0	-128	NA	0	-128	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970116	9999	56	-111	NA	56	-111	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970117	9999	33	-178	NA	33	-178	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970118	9999	-106	-150	NA	-106	-150	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970119	9999	-100	-178	NA	-100	-178	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970120	9999	-11	-161	NA	-11	-161	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970121	9999	39	-56	NA	39	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970122	9999	72	-33	NA	72	-33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970123	9999	111	17	NA	111	17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970124	9999	106	-33	NA	106	-33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970125	9999	6	-28	NA	6	-28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970126	9999	89	-67	NA	89	-67	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970127	9999	-22	-61	NA	-22	-61	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970128	9999	78	-28	NA	78	-28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970129	9999	44	-72	NA	44	-72	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970130	9999	9999	9999	NA	NA	NA	289.6	39.5000	-78.3000
USC00461324	CACAPON	19970131	9999	44	-67	NA	44	-67	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980101	9999	-22	-144	NA	-22	-144	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980102	9999	94	-72	NA	94	-72	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980103	9999	144	22	NA	144	22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980104	9999	194	56	NA	194	56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980105	9999	189	22	NA	189	22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980106	9999	172	28	NA	172	28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980107	9999	167	89	NA	167	89	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980108	9999	189	128	NA	189	128	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980109	9999	189	100	NA	189	100	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980110	9999	122	17	NA	122	17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980111	9999	100	11	NA	100	11	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980112	9999	83	-17	NA	83	-17	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980113	9999	83	11	NA	83	11	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980114	9999	117	-67	NA	117	-67	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980115	9999	111	-56	NA	111	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980116	9999	11	-28	NA	11	-28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980117	9999	33	6	NA	33	6	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980118	9999	39	0	NA	39	0	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980119	9999	39	-11	NA	39	-11	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980120	9999	39	-33	NA	39	-33	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980121	9999	33	-67	NA	33	-67	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980122	9999	17	-61	NA	17	-61	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980123	9999	33	-11	NA	33	-11	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980124	9999	39	-6	NA	39	-6	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980125	9999	9999	9999	NA	NA	NA	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980126	9999	44	-44	NA	44	-44	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980127	9999	61	-39	NA	61	-39	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980128	9999	22	-22	NA	22	-22	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980129	9999	56	-6	NA	56	-6	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980130	9999	133	28	NA	133	28	289.6	39.5000	-78.3000
USC00461324	CACAPON	19980131	9999	56	-56	NA	56	-56	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990101	9999	-28	-94	NA	-28	-94	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990102	9999	-39	-111	NA	-39	-111	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990103	9999	-11	-117	NA	-11	-117	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990104	9999	33	-89	NA	33	-89	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990105	9999	-50	-122	NA	-50	-122	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990106	9999	-72	-172	NA	-72	-172	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990107	9999	22	-67	NA	22	-67	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990108	9999	-22	-83	NA	-22	-83	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990109	9999	0	-78	NA	0	-78	289.6	39.5000	-78.3000
USC00461324	CACAPON	19990110	9999	44	-117	NA	44	-117	289.6	39.5000	-78.3000
