STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00181530	CATOCTIN	19950101	9999	128	-11	NA	128	-11	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950102	9999	-22	-61	NA	-22	-61	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950103	9999	-33	-117	NA	-33	-117	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950104	9999	-33	-94	NA	-33	-94	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950105	9999	-67	-156	NA	-67	-156	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950106	9999	-11	-111	NA	-11	-111	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950107	9999	50	-39	NA	50	-39	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950108	9999	17	-44	NA	17	-44	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950109	9999	50	-44	NA	50	-44	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950110	9999	-11	-72	NA	-11	-72	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950111	9999	-17	-61	NA	-17	-61	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950112	9999	94	-22	NA	94	-22	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950113	9999	183	78	NA	183	78	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950114	9999	183	89	NA	183	89	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950115	9999	178	83	NA	178	83	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950116	9999	144	33	NA	144	33	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950117	9999	50	11	NA	50	11	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950118	9999	61	22	NA	61	22	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950119	9999	56	17	NA	56	17	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950120	9999	61	6	NA	61	6	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950121	9999	6	-22	NA	6	-22	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950122	9999	-11	-61	NA	-11	-61	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950123	9999	0	-72	NA	0	-72	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950124	9999	6	-67	NA	6	-67	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950125	9999	11	-44	NA	11	-44	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950126	9999	22	-78	NA	22	-78	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950127	9999	11	-89	NA	11	-89	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950128	9999	0	-44	NA	0	-44	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950129	9999	33	-106	NA	33	-106	490.7	39.65	-77.48333
USC00181530	CATOCTIN	19950130	9999	6	-56	NA	6	-56	490.7	39.65	-77.48333
