STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00182282	CUMBERLAND	19950101	9999	67	-39	NA	67	-39	222.5	39.63333	-78.75
USC00182282	CUMBERLAND	19950102	9999	67	-72	NA	67	-72	222.5	39.63333	-78.75
USC00182283	CUMBERLAND	19950103	9999	-11	-78	NA	-11	-78	222.5	39.63333	-78.75
USC00182284	CUMBERLAND	19950104	9999	-11	-139	NA	-11	-139	222.5	39.63333	-78.75
USC00182285	CUMBERLAND	19950105	9999	-28	-139	NA	-28	-139	222.5	39.63333	-78.75
USC00182286	CUMBERLAND	19950106	9999	22	-111	NA	22	-111	222.5	39.63333	-78.75
USC00182287	CUMBERLAND	19950107	9999	44	-22	NA	44	-22	222.5	39.63333	-78.75
USC00182288	CUMBERLAND	19950108	9999	28	-17	NA	28	-17	222.5	39.63333	-78.75
USC00182289	CUMBERLAND	19950109	9999	72	-39	NA	72	-39	222.5	39.63333	-78.75
USC00182290	CUMBERLAND	19950110	9999	44	-39	NA	44	-39	222.5	39.63333	-78.75
USC00182291	CUMBERLAND	19950111	9999	0	-22	NA	0	-22	222.5	39.63333	-78.75
USC00182292	CUMBERLAND	19950112	9999	50	-6	NA	50	-6	222.5	39.63333	-78.75
USC00182293	CUMBERLAND	19950113	9999	144	17	NA	144	17	222.5	39.63333	-78.75
USC00182294	CUMBERLAND	19950114	9999	189	44	NA	189	44	222.5	39.63333	-78.75
USC00182295	CUMBERLAND	19950115	9999	178	50	NA	178	50	222.5	39.63333	-78.75
USC00182296	CUMBERLAND	19950116	9999	144	33	NA	144	33	222.5	39.63333	-78.75
USC00182297	CUMBERLAND	19950117	9999	61	33	NA	61	33	222.5	39.63333	-78.75
USC00182298	CUMBERLAND	19950118	9999	128	50	NA	128	50	222.5	39.63333	-78.75
USC00182299	CUMBERLAND	19950119	9999	100	56	NA	100	56	222.5	39.63333	-78.75
USC00182300	CUMBERLAND	19950120	9999	61	6	NA	61	6	222.5	39.63333	-78.75
USC00182301	CUMBERLAND	19950121	9999	33	-39	NA	33	-39	222.5	39.63333	-78.75
USC00182302	CUMBERLAND	19950122	9999	-6	-39	NA	-6	-39	222.5	39.63333	-78.75
USC00182303	CUMBERLAND	19950123	9999	11	-33	NA	11	-33	222.5	39.63333	-78.75
USC00182304	CUMBERLAND	19950124	9999	17	-44	NA	17	-44	222.5	39.63333	-78.75
USC00182305	CUMBERLAND	19950125	9999	28	-56	NA	28	-56	222.5	39.63333	-78.75
USC00182306	CUMBERLAND	19950126	9999	0	-67	NA	0	-67	222.5	39.63333	-78.75
USC00182307	CUMBERLAND	19950127	9999	44	-67	NA	44	-67	222.5	39.63333	-78.75
USC00182308	CUMBERLAND	19950128	9999	17	-94	NA	17	-94	222.5	39.63333	-78.75
USC00182309	CUMBERLAND	19950129	9999	22	-94	NA	22	-94	222.5	39.63333	-78.75
USC00182310	CUMBERLAND	19950130	9999	11	-33	NA	11	-33	222.5	39.63333	-78.75
USC00182311	CUMBERLAND	19950131	9999	67	-33	NA	67	-33	222.5	39.63333	-78.75
USC00182312	CUMBERLAND	19960101	9999	44	17	NA	44	17	222.5	39.63333	-78.75
USC00182313	CUMBERLAND	19960102	9999	28	6	NA	28	6	222.5	39.63333	-78.75
USC00182314	CUMBERLAND	19960103	9999	33	-72	NA	33	-72	222.5	39.63333	-78.75
USC00182315	CUMBERLAND	19960104	9999	-17	-72	NA	-17	-72	222.5	39.63333	-78.75
USC00182316	CUMBERLAND	19960105	9999	-11	-83	NA	-11	-83	222.5	39.63333	-78.75
USC00182317	CUMBERLAND	19960106	9999	-39	-106	NA	-39	-106	222.5	39.63333	-78.75
USC00182318	CUMBERLAND	19960107	9999	-61	-106	NA	-61	-106	222.5	39.63333	-78.75
USC00182319	CUMBERLAND	19960108	9999	-39	-94	NA	-39	-94	222.5	39.63333	-78.75
USC00182320	CUMBERLAND	19960109	9999	-6	-83	NA	-6	-83	222.5	39.63333	-78.75
USC00182321	CUMBERLAND	19960110	9999	-11	-156	NA	-11	-156	222.5	39.63333	-78.75
USC00182322	CUMBERLAND	19960111	9999	-61	-150	NA	-61	-150	222.5	39.63333	-78.75
USC00182323	CUMBERLAND	19960112	9999	-17	-83	NA	-17	-83	222.5	39.63333	-78.75
USC00182324	CUMBERLAND	19960113	9999	39	-44	NA	39	-44	222.5	39.63333	-78.75
USC00182325	CUMBERLAND	19960114	9999	139	-44	NA	139	-44	222.5	39.63333	-78.75
USC00182326	CUMBERLAND	19960115	9999	117	-39	NA	117	-39	222.5	39.63333	-78.75
USC00182327	CUMBERLAND	19960116	9999	56	-39	NA	56	-39	222.5	39.63333	-78.75
USC00182328	CUMBERLAND	19960117	9999	61	-11	NA	61	-11	222.5	39.63333	-78.75
USC00182329	CUMBERLAND	19960118	9999	128	0	NA	128	0	222.5	39.63333	-78.75
USC00182330	CUMBERLAND	19960119	9999	128	-122	NA	128	-122	222.5	39.63333	-78.75
USC00182331	CUMBERLAND	19960120	9999	-11	-117	NA	-11	-117	222.5	39.63333	-78.75
