STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00302036	DELHI	19950101	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950102	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950103	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950104	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950105	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950106	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950107	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950108	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950109	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950110	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950111	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950112	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950113	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950114	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950115	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950116	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950117	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950118	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950119	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950120	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950121	0	9999	9999	0	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950122	25	9999	9999	25	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950123	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950124	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950125	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950126	76	9999	9999	76	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950127	102	9999	9999	102	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950128	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950129	51	9999	9999	51	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950130	25	9999	9999	25	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19950131	25	9999	9999	25	NA	NA	432.8	42.255	-74.912
USC00302036	DELHI	19960101	229	33	-67	229	33	-67	432.8	42.255	-74.912
USC00302036	DELHI	19960102	178	33	-17	178	33	-17	432.8	42.255	-74.912
USC00302036	DELHI	19960103	305	-6	-117	305	-6	-117	432.8	42.255	-74.912
USC00302036	DELHI	19960104	381	-72	-206	381	-72	-206	432.8	42.255	-74.912
USC00302036	DELHI	19960105	381	-106	-233	381	-106	-233	432.8	42.255	-74.912
USC00302036	DELHI	19960106	381	-106	-322	381	-106	-322	432.8	42.255	-74.912
USC00302036	DELHI	19960107	381	-122	-244	381	-122	-244	432.8	42.255	-74.912
USC00302036	DELHI	19960108	406	-111	-183	406	-111	-183	432.8	42.255	-74.912
USC00302036	DELHI	19960109	406	-72	-183	406	-72	-183	432.8	42.255	-74.912
USC00302036	DELHI	19960110	406	-44	-111	406	-44	-111	432.8	42.255	-74.912
USC00302036	DELHI	19960111	406	-56	-239	406	-56	-239	432.8	42.255	-74.912
USC00302036	DELHI	19960112	406	-61	-239	406	-61	-239	432.8	42.255	-74.912
USC00302036	DELHI	19960113	584	-22	-67	584	-22	-67	432.8	42.255	-74.912
USC00302036	DELHI	19960114	559	-28	-61	559	-28	-61	432.8	42.255	-74.912
USC00302036	DELHI	19960115	457	50	-56	457	50	-56	432.8	42.255	-74.912
USC00302036	DELHI	19960116	457	-56	-239	457	-56	-239	432.8	42.255	-74.912
USC00302036	DELHI	19960117	381	50	-233	381	50	-233	432.8	42.255	-74.912
USC00302036	DELHI	19960118	254	83	17	254	83	17	432.8	42.255	-74.912
USC00302036	DELHI	19960119	9999	128	67	NA	128	67	432.8	42.255	-74.912
USC00302036	DELHI	19960120	0	133	-106	0	133	-106	432.8	42.255	-74.912
USC00302036	DELHI	19960121	0	-33	-111	0	-33	-111	432.8	42.255	-74.912
USC00302036	DELHI	19960122	0	-28	-100	0	-28	-100	432.8	42.255	-74.912
USC00302036	DELHI	19960123	0	28	-94	0	28	-94	432.8	42.255	-74.912
USC00302036	DELHI	19960124	0	33	-17	0	33	-17	432.8	42.255	-74.912
USC00302036	DELHI	19960125	0	83	-94	0	83	-94	432.8	42.255	-74.912
USC00302036	DELHI	19960126	0	-50	-122	0	-50	-122	432.8	42.255	-74.912
USC00302036	DELHI	19960127	0	72	-72	0	72	-72	432.8	42.255	-74.912
USC00302036	DELHI	19960128	0	106	-89	0	106	-89	432.8	42.255	-74.912
