STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00302060	DEPOSIT	19950101	9999	39	-6	NA	39	-6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950102	9999	28	-50	NA	28	-50	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950103	9999	-39	-122	NA	-39	-122	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950104	9999	-50	-133	NA	-50	-133	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950105	9999	-67	-161	NA	-67	-161	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950106	9999	-33	-172	NA	-33	-172	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950107	9999	6	-44	NA	6	-44	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950108	9999	0	-78	NA	0	-78	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950109	9999	-28	-67	NA	-28	-67	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950110	9999	-50	-161	NA	-50	-161	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950111	9999	-56	-122	NA	-56	-122	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950112	9999	17	-61	NA	17	-61	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950113	9999	94	6	NA	94	6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950114	9999	144	6	NA	144	6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950115	9999	161	133	NA	161	133	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950116	9999	167	72	NA	167	72	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950117	9999	72	17	NA	72	17	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950118	9999	44	11	NA	44	11	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950119	9999	39	17	NA	39	17	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950120	9999	94	33	NA	94	33	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950121	9999	56	0	NA	56	0	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950122	9999	0	-33	NA	0	-33	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950123	9999	-11	-83	NA	-11	-83	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950124	9999	-6	-44	NA	-6	-44	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950125	9999	-6	-28	NA	-6	-28	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950126	9999	-11	-28	NA	-11	-28	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950127	9999	-17	-67	NA	-17	-67	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950128	9999	-39	-178	NA	-39	-178	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950129	9999	6	-194	NA	6	-194	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950130	9999	22	-167	NA	22	-167	304.8	42.062	-75.426
USC00302060	DEPOSIT	19950131	9999	28	-72	NA	28	-72	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960101	9999	33	-44	NA	33	-44	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960102	9999	11	-44	NA	11	-44	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960103	9999	-44	-94	NA	-44	-94	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960104	9999	-83	-183	NA	-83	-183	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960105	9999	-78	-194	NA	-78	-194	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960106	9999	-122	-294	NA	-122	-294	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960107	9999	-106	-222	NA	-106	-222	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960108	9999	-67	-128	NA	-67	-128	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960109	9999	-56	-200	NA	-56	-200	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960110	9999	-56	-106	NA	-56	-106	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960111	9999	-111	-217	NA	-111	-217	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960112	9999	-33	-117	NA	-33	-117	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960113	9999	-33	-67	NA	-33	-67	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960114	9999	44	-72	NA	44	-72	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960115	9999	28	-100	NA	28	-100	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960116	9999	-72	-222	NA	-72	-222	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960117	9999	67	-72	NA	67	-72	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960118	9999	100	-6	NA	100	-6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960119	9999	122	61	NA	122	61	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960120	9999	-33	-106	NA	-33	-106	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960121	9999	-28	-128	NA	-28	-128	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960122	9999	28	-89	NA	28	-89	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960123	9999	11	-61	NA	11	-61	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960124	9999	72	0	NA	72	0	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960125	9999	50	-117	NA	50	-117	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960126	9999	0	-117	NA	0	-117	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960127	9999	94	-6	NA	94	-6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960128	9999	6	-78	NA	6	-78	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960129	9999	-33	-111	NA	-33	-111	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960130	9999	39	-111	NA	39	-111	304.8	42.062	-75.426
USC00302060	DEPOSIT	19960131	9999	-28	-111	NA	-28	-111	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970101	9999	-67	-11	NA	-67	-11	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970102	9999	-11	-78	NA	-11	-78	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970103	9999	56	-11	NA	56	-11	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970104	9999	44	6	NA	44	6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970105	9999	83	33	NA	83	33	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970106	9999	83	6	NA	83	6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970107	9999	-17	-50	NA	-17	-50	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970108	9999	-33	-83	NA	-33	-83	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970109	9999	-22	-122	NA	-22	-122	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970110	9999	0	-22	NA	0	-22	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970111	9999	-22	-94	NA	-22	-94	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970112	9999	-61	-117	NA	-61	-117	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970113	9999	-56	-89	NA	-56	-89	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970114	9999	17	-161	NA	17	-161	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970115	9999	0	-28	NA	0	-28	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970116	9999	11	-100	NA	11	-100	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970117	9999	-122	-156	NA	-122	-156	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970118	9999	-122	-200	NA	-122	-200	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970119	9999	-100	-267	NA	-100	-267	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970120	9999	-67	-194	NA	-67	-194	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970121	9999	-17	-144	NA	-17	-144	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970122	9999	61	-72	NA	61	-72	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970123	9999	67	6	NA	67	6	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970124	9999	-50	-117	NA	-50	-117	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970125	9999	72	-106	NA	72	-106	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970126	9999	0	-83	NA	0	-83	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970127	9999	-56	-161	NA	-56	-161	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970128	9999	22	-67	NA	22	-67	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970129	9999	-67	-144	NA	-67	-144	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970130	9999	-44	-156	NA	-44	-156	304.8	42.062	-75.426
USC00302060	DEPOSIT	19970131	9999	-6	-67	NA	-6	-67	304.8	42.062	-75.426
USC00302060	DEPOSIT	19980101	9999	-72	-233	NA	-72	-233	304.8	42.062	-75.426
USC00302060	DEPOSIT	19980102	9999	56	-67	NA	56	-67	304.8	42.062	-75.426
USC00302060	DEPOSIT	19980103	9999	117	6	NA	117	6	304.8	42.062	-75.426
