STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00332251	DORSET	19950101	0	56	6	0	56	6	298.7	41.68333	-80.66667
USC00332251	DORSET	19950102	0	56	-83	0	56	-83	298.7	41.68333	-80.66667
USC00332251	DORSET	19950103	0	-56	-100	0	-56	-100	298.7	41.68333	-80.66667
USC00332251	DORSET	19950104	0	-39	-122	0	-39	-122	298.7	41.68333	-80.66667
USC00332251	DORSET	19950105	102	-39	-178	102	-39	-178	298.7	41.68333	-80.66667
USC00332251	DORSET	19950106	51	-83	-172	51	-83	-172	298.7	41.68333	-80.66667
USC00332251	DORSET	19950107	127	0	-89	127	0	-89	298.7	41.68333	-80.66667
USC00332251	DORSET	19950108	102	-11	-89	102	-11	-89	298.7	41.68333	-80.66667
USC00332251	DORSET	19950109	102	-33	-72	102	-33	-72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950110	102	-44	-100	102	-44	-100	298.7	41.68333	-80.66667
USC00332251	DORSET	19950111	76	-22	-89	76	-22	-89	298.7	41.68333	-80.66667
USC00332251	DORSET	19950112	0	72	-22	0	72	-22	298.7	41.68333	-80.66667
USC00332251	DORSET	19950113	0	133	72	0	133	72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950114	0	178	56	0	178	56	298.7	41.68333	-80.66667
USC00332251	DORSET	19950115	0	194	61	0	194	61	298.7	41.68333	-80.66667
USC00332251	DORSET	19950116	0	56	17	0	56	17	298.7	41.68333	-80.66667
USC00332251	DORSET	19950117	0	28	-11	0	28	-11	298.7	41.68333	-80.66667
USC00332251	DORSET	19950118	0	28	-11	0	28	-11	298.7	41.68333	-80.66667
USC00332251	DORSET	19950119	0	67	-11	0	67	-11	298.7	41.68333	-80.66667
USC00332251	DORSET	19950120	0	128	39	0	128	39	298.7	41.68333	-80.66667
USC00332251	DORSET	19950121	25	128	0	25	128	0	298.7	41.68333	-80.66667
USC00332251	DORSET	19950122	51	0	-72	51	0	-72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950123	51	-44	-72	51	-44	-72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950124	51	-39	-72	51	-39	-72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950125	76	0	-72	76	0	-72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950126	76	-28	-72	76	-28	-72	298.7	41.68333	-80.66667
USC00332251	DORSET	19950127	76	-28	-117	76	-28	-117	298.7	41.68333	-80.66667
USC00332251	DORSET	19950128	25	6	-78	25	6	-78	298.7	41.68333	-80.66667
USC00332251	DORSET	19950129	25	-28	-167	25	-28	-167	298.7	41.68333	-80.66667
USC00332251	DORSET	19950130	25	17	-144	25	17	-144	298.7	41.68333	-80.66667
USC00332251	DORSET	19950131	25	6	-83	25	6	-83	298.7	41.68333	-80.66667
USC00332251	DORSET	19960101	152	33	-11	152	33	-11	298.7	41.68333	-80.66667
USC00332251	DORSET	19960102	127	33	-44	127	33	-44	298.7	41.68333	-80.66667
USC00332251	DORSET	19960103	254	33	-100	254	33	-100	298.7	41.68333	-80.66667
USC00332251	DORSET	19960104	254	-72	-283	254	-72	-283	298.7	41.68333	-80.66667
