STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00302610	ELMIRA	19950101	0	39	-33	0	39	-33	288.6	42.099	-76.835
USC00302610	ELMIRA	19950102	0	83	-17	0	83	-17	288.6	42.099	-76.835
USC00302610	ELMIRA	19950103	0	-17	-78	0	-17	-78	288.6	42.099	-76.835
USC00302610	ELMIRA	19950104	0	-22	-83	0	-22	-83	288.6	42.099	-76.835
USC00302610	ELMIRA	19950105	0	-56	-133	0	-56	-133	288.6	42.099	-76.835
USC00302610	ELMIRA	19950106	0	-56	-128	0	-56	-128	288.6	42.099	-76.835
USC00302610	ELMIRA	19950107	0	0	-106	0	0	-106	288.6	42.099	-76.835
USC00302610	ELMIRA	19950108	0	6	-56	0	6	-56	288.6	42.099	-76.835
USC00302610	ELMIRA	19950109	0	11	-56	0	11	-56	288.6	42.099	-76.835
USC00302610	ELMIRA	19950110	0	-6	-94	0	-6	-94	288.6	42.099	-76.835
USC00302610	ELMIRA	19950111	0	-28	-89	0	-28	-89	288.6	42.099	-76.835
USC00302610	ELMIRA	19950112	0	44	-44	0	44	-44	288.6	42.099	-76.835
USC00302610	ELMIRA	19950113	0	83	39	0	83	39	288.6	42.099	-76.835
USC00302610	ELMIRA	19950114	0	189	44	0	189	44	288.6	42.099	-76.835
USC00302610	ELMIRA	19950115	0	172	61	0	172	61	288.6	42.099	-76.835
USC00302610	ELMIRA	19950116	0	178	128	0	178	128	288.6	42.099	-76.835
USC00302610	ELMIRA	19950117	0	133	11	0	133	11	288.6	42.099	-76.835
USC00302610	ELMIRA	19950118	0	17	0	0	17	0	288.6	42.099	-76.835
USC00302610	ELMIRA	19950119	0	67	6	0	67	6	288.6	42.099	-76.835
USC00302610	ELMIRA	19950120	0	67	50	0	67	50	288.6	42.099	-76.835
USC00302610	ELMIRA	19950121	0	78	22	0	78	22	288.6	42.099	-76.835
USC00302610	ELMIRA	19950122	25	28	-28	25	28	-28	288.6	42.099	-76.835
USC00302610	ELMIRA	19950123	25	-6	-61	25	-6	-61	288.6	42.099	-76.835
USC00302610	ELMIRA	19950124	25	-11	-61	25	-11	-61	288.6	42.099	-76.835
USC00302610	ELMIRA	19950125	25	11	-22	25	11	-22	288.6	42.099	-76.835
