STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00362574	EMSWORTH	19950101	9999	111	44	NA	111	44	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950102	9999	17	-33	NA	17	-33	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950103	9999	0	-61	NA	0	-61	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950104	9999	-39	-150	NA	-39	-150	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950105	9999	-78	-133	NA	-78	-133	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950106	9999	-67	-144	NA	-67	-144	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950107	9999	44	-17	NA	44	-17	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950108	9999	44	-17	NA	44	-17	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950109	9999	44	-44	NA	44	-44	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950110	9999	0	-67	NA	0	-67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950111	9999	61	-11	NA	61	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950112	9999	133	67	NA	133	67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950113	9999	194	94	NA	194	94	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950114	9999	200	72	NA	200	72	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950115	9999	167	72	NA	167	72	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950116	9999	61	22	NA	61	22	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950117	9999	44	-11	NA	44	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950118	9999	117	0	NA	117	0	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950119	9999	161	39	NA	161	39	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950120	9999	78	44	NA	78	44	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950121	9999	11	-11	NA	11	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950122	9999	6	-67	NA	6	-67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950123	9999	-17	-67	NA	-17	-67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950124	9999	6	-44	NA	6	-44	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950125	9999	22	-61	NA	22	-61	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950126	9999	0	-61	NA	0	-61	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950127	9999	50	-39	NA	50	-39	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950128	9999	28	-11	NA	28	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950129	9999	61	-50	NA	61	-50	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950130	9999	78	-11	NA	78	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19950131	9999	0	-28	NA	0	-28	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960101	9999	44	33	NA	44	33	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960102	9999	44	11	NA	44	11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960103	9999	28	-72	NA	28	-72	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960104	9999	-44	-72	NA	-44	-72	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960105	9999	-50	-78	NA	-50	-78	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960106	9999	-56	-106	NA	-56	-106	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960107	9999	-78	-122	NA	-78	-122	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960108	9999	-11	-111	NA	-11	-111	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960109	9999	-22	-94	NA	-22	-94	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960110	9999	-22	-89	NA	-22	-89	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960111	9999	-61	-139	NA	-61	-139	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960112	9999	-17	-78	NA	-17	-78	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960113	9999	6	-67	NA	6	-67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960114	9999	100	-39	NA	100	-39	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960115	9999	22	-22	NA	22	-22	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960116	9999	89	-100	NA	89	-100	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960117	9999	111	0	NA	111	0	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960118	9999	167	-67	NA	167	-67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960119	9999	161	-117	NA	161	-117	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960120	9999	-111	-117	NA	-111	-117	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960121	9999	33	-44	NA	33	-44	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960122	9999	128	-22	NA	128	-22	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960123	9999	61	-44	NA	61	-44	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960124	9999	100	-122	NA	100	-122	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960125	9999	-11	-67	NA	-11	-67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960126	9999	0	-78	NA	0	-78	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960127	9999	78	-17	NA	78	-17	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960128	9999	44	-56	NA	44	-56	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960129	9999	44	-11	NA	44	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960130	9999	28	-50	NA	28	-50	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19960131	9999	-28	-111	NA	-28	-111	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970101	9999	72	0	NA	72	0	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970102	9999	122	100	NA	122	100	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970103	9999	156	128	NA	156	128	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970104	9999	200	100	NA	200	100	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970105	9999	183	67	NA	183	67	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970106	9999	56	-11	NA	56	-11	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970107	9999	11	-94	NA	11	-94	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970108	9999	-11	-89	NA	-11	-89	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970109	9999	33	-56	NA	33	-56	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970110	9999	17	-61	NA	17	-61	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970111	9999	-56	-100	NA	-56	-100	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970112	9999	-78	-128	NA	-78	-128	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970113	9999	-78	-139	NA	-78	-139	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970114	9999	-11	-100	NA	-11	-100	218.5	40.5019	-80.0833
USC00362574	EMSWORTH	19970115	9999	67	-89	NA	67	-89	218.5	40.5019	-80.0833
