STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00362721	EVERETT	19950101	9999	6	-89	NA	6	-89	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950102	9999	94	-50	NA	94	-50	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950103	9999	-39	-89	NA	-39	-89	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950104	9999	-22	-89	NA	-22	-89	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950105	9999	-61	-144	NA	-61	-144	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950106	9999	-61	-156	NA	-61	-156	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950107	9999	28	-117	NA	28	-117	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950108	9999	33	-33	NA	33	-33	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950109	9999	6	-28	NA	6	-28	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950110	9999	33	-72	NA	33	-72	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950111	9999	-22	-61	NA	-22	-61	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950112	9999	0	-22	NA	0	-22	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950113	0	44	0	0	44	0	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950114	0	167	-11	0	167	-11	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950115	0	172	33	0	172	33	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950116	0	161	44	0	161	44	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950117	0	50	22	0	50	22	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950118	0	50	28	0	50	28	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950119	0	94	44	0	94	44	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950120	0	56	44	0	56	44	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950121	0	56	6	0	56	6	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950122	0	6	-44	0	6	-44	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950123	0	-17	-61	0	-17	-61	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950124	0	0	-61	0	0	-61	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950125	0	0	-44	0	0	-44	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950126	0	6	-56	0	6	-56	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950127	0	-17	-56	0	-17	-56	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950128	0	22	-50	0	22	-50	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950129	0	-6	-106	0	-6	-106	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950130	0	33	-111	0	33	-111	304.8	40.0136	-78.3653
USC00362721	EVERETT	19950131	0	39	-44	0	39	-44	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970101	0	100	-33	0	100	-33	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970102	0	6	-33	0	6	-33	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970103	0	156	6	0	156	6	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970104	0	172	89	0	172	89	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970105	0	211	67	0	211	67	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970106	0	178	22	0	178	22	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970107	0	61	-50	0	61	-50	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970108	0	-6	-72	0	-6	-72	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970109	25	0	-67	25	0	-67	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970110	102	11	-50	102	11	-50	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970111	102	6	-117	102	6	-117	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970112	102	-78	-122	102	-78	-122	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970113	102	-83	-122	102	-83	-122	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970114	102	-61	-122	102	-61	-122	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970115	102	-33	-172	102	-33	-172	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970116	102	28	-144	102	28	-144	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970117	102	28	-172	102	28	-172	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970118	102	-128	-172	102	-128	-172	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970119	102	-128	-200	102	-128	-200	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970120	9999	9999	-178	NA	NA	-178	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970121	76	22	-83	76	22	-83	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970122	76	50	-83	76	50	-83	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970123	51	83	-33	51	83	-33	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970124	25	50	-39	25	50	-39	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970125	152	11	-33	152	11	-33	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970126	102	67	-83	102	67	-83	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970127	102	-33	-78	102	-33	-78	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970128	102	56	-39	102	56	-39	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970129	76	11	-100	76	11	-100	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970130	76	-6	-117	76	-6	-117	304.8	40.0136	-78.3653
USC00362721	EVERETT	19970131	76	6	-117	76	6	-117	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980101	127	-44	-167	127	-44	-167	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980102	102	83	-167	102	83	-167	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980103	25	50	17	25	50	17	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980104	0	156	17	0	156	17	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980105	0	189	-17	0	189	-17	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980106	0	183	-11	0	183	-11	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980107	0	161	-11	0	161	-11	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980108	0	178	106	0	178	106	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980109	0	167	94	0	167	94	304.8	40.0136	-78.3653
USC00362721	EVERETT	19980110	0	111	17	0	111	17	304.8	40.0136	-78.3653
