STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00362942	FORDCITY	19950101	9999	89	-67	NA	89	-67	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950102	9999	-39	-100	NA	-39	-100	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950103	9999	-22	-111	NA	-22	-111	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950104	9999	-67	-150	NA	-67	-150	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950105	9999	-67	-144	NA	-67	-144	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950106	9999	44	-122	NA	44	-122	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950107	9999	28	-22	NA	28	-22	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950108	9999	11	-28	NA	11	-28	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950109	9999	-11	-100	NA	-11	-100	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950110	9999	0	-72	NA	0	-72	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950111	9999	61	0	NA	61	0	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950112	9999	156	56	NA	156	56	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950113	9999	211	39	NA	211	39	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950114	9999	206	144	NA	206	144	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950115	9999	189	39	NA	189	39	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950116	9999	44	11	NA	44	11	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950117	9999	44	-11	NA	44	-11	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950118	9999	150	-6	NA	150	-6	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950119	9999	156	50	NA	156	50	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950120	9999	67	11	NA	67	11	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950121	9999	11	-50	NA	11	-50	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950122	9999	-17	-89	NA	-17	-89	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950123	9999	-11	-67	NA	-11	-67	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950124	9999	-11	-44	NA	-11	-44	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950125	9999	-11	-78	NA	-11	-78	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950126	9999	-11	-67	NA	-11	-67	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950127	9999	22	-56	NA	22	-56	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950128	9999	39	-128	NA	39	-128	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950129	9999	44	-117	NA	44	-117	283.5	40.7131	-79.5145
USC00362942	FORDCITY	19950130	9999	56	-94	NA	56	-94	283.5	40.7131	-79.5145
