STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00363028	FRANKLIN	19950101	0	50	-44	0	50	-44	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950102	25	67	-72	25	67	-72	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950103	0	-50	-106	0	-50	-106	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950104	25	-22	-122	25	-22	-122	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950105	51	-67	-161	51	-67	-161	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950106	25	-72	-161	25	-72	-161	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950107	25	11	-106	25	11	-106	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950108	25	0	-61	25	0	-61	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950109	25	-11	-67	25	-11	-67	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950110	25	-33	-122	25	-33	-122	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950111	25	-22	-94	25	-22	-94	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950112	0	28	-28	0	28	-28	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950113	0	94	17	0	94	17	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950114	0	178	-6	0	178	-6	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950115	0	183	22	0	183	22	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950116	0	144	17	0	144	17	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950117	0	33	0	0	33	0	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950118	0	44	6	0	44	6	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950119	0	122	17	0	122	17	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950120	0	117	22	0	117	22	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950121	0	72	0	0	72	0	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950122	51	11	-61	51	11	-61	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950123	51	-22	-78	51	-22	-78	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950124	25	-33	-72	25	-33	-72	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950125	25	6	-50	25	6	-50	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950126	25	0	-78	25	0	-78	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950127	0	0	-72	0	0	-72	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950128	0	0	-128	0	0	-128	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950129	0	28	-122	0	28	-122	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950130	0	22	-122	0	22	-122	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19950131	9999	9999	9999	NA	NA	NA	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960101	178	28	-50	178	28	-50	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960102	127	39	0	127	39	0	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960103	254	17	-67	254	17	-67	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960104	254	-56	-206	254	-56	-206	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960105	229	-56	-200	229	-56	-200	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960106	229	-61	-200	229	-61	-200	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960107	229	-67	-200	229	-67	-200	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960108	305	-78	-122	305	-78	-122	309.4	41.4004	-79.8305
USC00363028	FRANKLIN	19960109	279	-50	-117	279	-50	-117	309.4	41.4004	-79.8305
