STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00303025	FRANKLINVILLE	19950101	0	39	-28	0	39	-28	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950102	51	44	-72	51	44	-72	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950103	76	-67	-100	76	-67	-100	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950104	76	-50	-117	76	-50	-117	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950105	102	-111	-161	102	-111	-161	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950106	102	-94	-161	102	-94	-161	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950107	127	6	-133	127	6	-133	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950108	127	-28	-83	127	-28	-83	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950109	127	-44	-72	127	-44	-72	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950110	127	-67	-150	127	-67	-150	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950111	127	-50	-150	127	-50	-150	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950112	76	28	-50	76	28	-50	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950113	0	128	17	0	128	17	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950114	0	156	6	0	156	6	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950115	0	167	61	0	167	61	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950116	0	167	28	0	167	28	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950117	0	28	-6	0	28	-6	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950118	0	17	-6	0	17	-6	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950119	0	106	17	0	106	17	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950120	0	78	39	0	78	39	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950121	0	72	0	0	72	0	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950122	25	6	-67	25	6	-67	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950123	51	-50	-78	51	-50	-78	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950124	51	-28	-72	51	-28	-72	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950125	76	-17	-39	76	-17	-39	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950126	203	-22	-56	203	-22	-56	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950127	254	-33	-61	254	-33	-61	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950128	279	-28	-172	279	-28	-172	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950129	279	-56	-239	279	-56	-239	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950130	254	6	-239	254	6	-239	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19950131	254	11	-217	254	11	-217	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960101	178	33	-44	178	33	-44	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960102	203	0	-78	203	0	-78	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960103	381	-78	-117	381	-78	-117	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960104	432	-100	-272	432	-100	-272	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960105	457	-100	-272	457	-100	-272	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960106	457	-94	-333	457	-94	-333	484.6	42.329	-78.463
USC00303025	FRANKLINVILLE	19960107	432	-94	-317	432	-94	-317	484.6	42.329	-78.463
