STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00303065	FRIENDSHIP	19950101	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950102	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950103	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950104	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950105	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950106	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950107	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950108	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950109	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950110	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950111	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950112	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950113	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950114	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950115	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950116	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950117	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950118	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950119	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950120	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950121	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950122	76	9999	9999	76	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950123	76	9999	9999	76	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950124	76	9999	9999	76	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950125	102	9999	9999	102	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950126	152	9999	9999	152	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950127	178	9999	9999	178	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950128	178	9999	9999	178	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950129	127	9999	9999	127	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950130	102	9999	9999	102	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19950131	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960101	229	9999	9999	229	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960102	229	9999	9999	229	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960103	584	9999	9999	584	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960104	610	9999	9999	610	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960105	610	9999	9999	610	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960106	559	9999	9999	559	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960107	508	9999	9999	508	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960108	457	9999	9999	457	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960109	356	9999	9999	356	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960110	432	9999	9999	432	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960111	406	9999	9999	406	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960112	381	9999	9999	381	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960113	381	9999	9999	381	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960114	356	9999	9999	356	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960115	330	9999	9999	330	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960116	305	9999	9999	305	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960117	279	9999	9999	279	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960118	254	9999	9999	254	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960119	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960120	76	9999	9999	76	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960121	76	9999	9999	76	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960122	51	9999	9999	51	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960123	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960124	0	9999	9999	0	NA	NA	499.9	42.137	-78.237
USC00303065	FRIENDSHIP	19960125	25	9999	9999	25	NA	NA	499.9	42.137	-78.237
