STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00283029	FLEMINGTON	19950101	9999	56	-111	NA	56	-111	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950102	9999	94	6	NA	94	6	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950103	9999	28	-61	NA	28	-61	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950104	9999	28	-67	NA	28	-67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950105	9999	28	-111	NA	28	-111	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950106	9999	-56	-117	NA	-56	-117	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950107	9999	17	-117	NA	17	-117	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950108	9999	50	-33	NA	50	-33	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950109	9999	17	-61	NA	17	-61	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950110	9999	33	-89	NA	33	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950111	9999	0	-89	NA	0	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950112	9999	0	-39	NA	0	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950113	9999	33	0	NA	33	0	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950114	9999	106	11	NA	106	11	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950115	9999	178	11	NA	178	11	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950116	9999	183	133	NA	183	133	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950117	9999	161	56	NA	161	56	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950118	9999	161	39	NA	161	39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950119	9999	61	28	NA	61	28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950120	9999	56	28	NA	56	28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950121	9999	78	22	NA	78	22	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950122	9999	56	-17	NA	56	-17	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950123	9999	17	-39	NA	17	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950124	9999	22	-44	NA	22	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950125	9999	28	-17	NA	28	-17	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950126	9999	39	-22	NA	39	-22	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950127	9999	28	-22	NA	28	-22	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950128	9999	28	-67	NA	28	-67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950129	9999	-6	-100	NA	-6	-100	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950130	9999	28	-111	NA	28	-111	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19950131	9999	33	-83	NA	33	-83	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960101	9999	78	-100	NA	78	-100	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960102	9999	61	6	NA	61	6	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960103	9999	17	-28	NA	17	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960104	9999	-22	-106	NA	-22	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960105	9999	-61	-117	NA	-61	-117	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960106	9999	-44	-183	NA	-44	-183	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960107	9999	-78	-183	NA	-78	-183	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960108	9999	-67	-122	NA	-67	-122	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960109	9999	-56	-178	NA	-56	-178	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960110	9999	-39	-167	NA	-39	-167	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960111	9999	-11	-106	NA	-11	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960112	9999	-39	-128	NA	-39	-128	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960113	9999	11	-83	NA	11	-83	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960114	9999	6	-61	NA	6	-61	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960115	9999	61	-67	NA	61	-67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960116	9999	39	-122	NA	39	-122	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960117	9999	-6	-133	NA	-6	-133	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960118	9999	56	-33	NA	56	-33	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960119	9999	111	-28	NA	111	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960120	9999	133	-78	NA	133	-78	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960121	9999	-17	-122	NA	-17	-122	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960122	9999	-11	-83	NA	-11	-83	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960123	9999	28	-83	NA	28	-83	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960124	9999	44	0	NA	44	0	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960125	9999	106	-28	NA	106	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960126	9999	-6	-89	NA	-6	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960127	9999	72	-100	NA	72	-100	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960128	9999	117	-28	NA	117	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960129	9999	11	-72	NA	11	-72	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960130	9999	22	-67	NA	22	-67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19960131	9999	67	-39	NA	67	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970101	9999	0	-117	NA	0	-117	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970102	9999	-39	-100	NA	-39	-100	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970103	9999	33	-39	NA	33	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970104	9999	172	28	NA	172	28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970105	9999	89	56	NA	89	56	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970106	9999	117	50	NA	117	50	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970107	9999	78	-22	NA	78	-22	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970108	9999	11	-44	NA	11	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970109	9999	17	-44	NA	17	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970110	9999	22	-44	NA	22	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970111	9999	28	-44	NA	28	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970112	9999	-39	-100	NA	-39	-100	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970113	9999	-44	-94	NA	-44	-94	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970114	9999	-28	-89	NA	-28	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970115	9999	-22	-106	NA	-22	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970116	9999	28	-106	NA	28	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970117	9999	50	-117	NA	50	-117	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970118	9999	-111	-161	NA	-111	-161	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970119	9999	-100	-183	NA	-100	-183	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970120	9999	-78	-150	NA	-78	-150	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970121	9999	0	-117	NA	0	-117	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970122	9999	22	-83	NA	22	-83	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970123	9999	83	-50	NA	83	-50	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970124	9999	100	-56	NA	100	-56	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970125	9999	83	-61	NA	83	-61	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970126	9999	83	-89	NA	83	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970127	9999	-6	-72	NA	-6	-72	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970128	9999	22	-67	NA	22	-67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970129	9999	56	-61	NA	56	-61	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970130	9999	-22	-89	NA	-22	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19970131	9999	-6	-89	NA	-6	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980101	9999	-17	-106	NA	-17	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980102	9999	6	-67	NA	6	-67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980103	9999	89	6	NA	89	6	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980104	9999	161	44	NA	161	44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980105	9999	167	50	NA	167	50	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980106	9999	83	50	NA	83	50	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980107	9999	161	56	NA	161	56	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980108	9999	156	67	NA	156	67	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980109	9999	183	106	NA	183	106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980110	9999	183	17	NA	183	17	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980111	9999	78	-28	NA	78	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980112	9999	83	-33	NA	83	-33	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980113	9999	56	-39	NA	56	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980114	9999	83	-44	NA	83	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980115	9999	6	-78	NA	6	-78	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980116	9999	39	-44	NA	39	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980117	9999	28	-6	NA	28	-6	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980118	9999	61	-11	NA	61	-11	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980119	9999	61	-11	NA	61	-11	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980120	9999	33	-28	NA	33	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980121	9999	22	-28	NA	22	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980122	9999	28	-33	NA	28	-33	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980123	9999	39	-39	NA	39	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980124	9999	50	6	NA	50	6	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980125	9999	78	6	NA	78	6	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980126	9999	33	-28	NA	33	-28	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980127	9999	44	-44	NA	44	-44	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980128	9999	50	-22	NA	50	-22	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980129	9999	22	-17	NA	22	-17	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980130	9999	100	-11	NA	100	-11	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19980131	9999	78	-11	NA	78	-11	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990101	9999	-44	-89	NA	-44	-89	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990102	9999	-33	-150	NA	-33	-150	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990103	9999	67	-150	NA	67	-150	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990104	9999	89	-61	NA	89	-61	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990105	9999	-33	-106	NA	-33	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990106	9999	-33	-144	NA	-33	-144	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990107	9999	6	-139	NA	6	-139	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990108	9999	-6	-78	NA	-6	-78	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990109	9999	0	-72	NA	0	-72	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990110	9999	44	-78	NA	44	-78	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990111	9999	-28	-94	NA	-28	-94	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990112	9999	-39	-106	NA	-39	-106	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990113	9999	61	-39	NA	61	-39	79.2	40.56667	-74.88333
USC00283029	FLEMINGTON	19990114	9999	89	-111	NA	89	-111	79.2	40.56667	-74.88333
