STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00183415	FROSTBURG	19950101	0	28	-61	0	28	-61	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950102	25	72	-50	25	72	-50	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950103	25	-50	-100	25	-50	-100	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950104	25	-39	-117	25	-39	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950105	25	-72	-194	25	-72	-194	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950106	25	-83	-183	25	-83	-183	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950107	25	56	-106	25	56	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950108	25	50	-61	25	50	-61	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950109	25	-17	-61	25	-17	-61	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950110	0	6	-50	0	6	-50	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950111	25	-50	-67	25	-50	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950112	25	-17	-61	25	-17	-61	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950113	0	111	-22	0	111	-22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950114	0	150	67	0	150	67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950115	0	144	89	0	144	89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950116	0	139	39	0	139	39	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950117	0	39	-6	0	39	-6	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950118	0	44	-11	0	44	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950119	0	89	17	0	89	17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950120	0	39	22	0	39	22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950121	0	33	-28	0	33	-28	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950122	0	-28	-78	0	-28	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950123	25	-56	-83	25	-56	-83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950124	25	-28	-78	25	-28	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950125	25	-50	-83	25	-50	-83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950126	25	-28	-89	25	-28	-89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950127	25	-50	-89	25	-50	-89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950128	25	-6	-89	25	-6	-89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950129	51	-33	-117	51	-33	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950130	25	-22	-122	25	-22	-122	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19950131	25	0	-67	25	0	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960101	203	56	-17	203	56	-17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960102	178	6	-6	178	6	-6	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960103	203	-6	-17	203	-6	-17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960104	229	11	-111	229	11	-111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960105	229	-72	-111	229	-72	-111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960106	229	-72	-117	229	-72	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960107	406	-83	-133	406	-83	-133	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960108	787	-83	-139	787	-83	-139	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960109	914	-83	-133	914	-83	-133	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960110	965	-50	-106	965	-50	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960111	1016	-61	-172	1016	-61	-172	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960112	1041	-83	-167	1041	-83	-167	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960113	1245	-44	-117	1245	-44	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960114	1270	-28	-78	1270	-28	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960115	1143	106	-39	1143	106	-39	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960116	1016	28	-67	1016	28	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960117	914	6	-72	914	6	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960118	813	128	83	813	128	83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960119	610	117	39	610	117	39	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960120	508	78	-156	508	78	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960121	508	-44	-156	508	-44	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960122	483	-33	-156	483	-33	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960123	406	39	-72	406	39	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960124	305	33	-28	305	33	-28	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960125	356	72	-78	356	72	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960126	356	-39	-94	356	-39	-94	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960127	305	50	-89	305	50	-89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960128	356	78	-89	356	78	-89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960129	305	-44	-94	305	-44	-94	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960130	305	17	-67	305	17	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19960131	305	39	-67	305	39	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970101	0	106	-39	0	106	-39	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970102	0	72	-56	0	72	-56	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970103	0	117	72	0	117	72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970104	0	133	111	0	133	111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970105	0	189	111	0	189	111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970106	0	144	11	0	144	11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970107	0	28	-72	0	28	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970108	0	-33	-106	0	-33	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970109	0	-22	-106	0	-22	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970110	127	-11	-78	127	-11	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970111	178	-33	-139	178	-33	-139	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970112	178	-111	-150	178	-111	-150	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970113	178	-106	-156	178	-106	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970114	178	-89	-161	178	-89	-161	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970115	178	-44	-117	178	-44	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970116	178	22	-111	178	22	-111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970117	254	33	-200	254	33	-200	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970118	254	-156	-211	254	-156	-211	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970119	254	-161	-189	254	-161	-189	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970120	254	-61	-200	254	-61	-200	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970121	229	-6	-61	229	-6	-61	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970122	152	28	-78	152	28	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970123	76	83	11	76	83	11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970124	51	56	-44	51	56	-44	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970125	178	0	-50	178	0	-50	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970126	229	56	-100	229	56	-100	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970127	203	-56	-111	203	-56	-111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970128	178	56	-72	178	56	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970129	178	28	-100	178	28	-100	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970130	152	-22	-106	152	-22	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19970131	152	-17	-100	152	-17	-100	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980101	254	-61	-161	254	-61	-161	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980102	203	50	-161	203	50	-161	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980103	76	89	33	76	89	33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980104	0	133	67	0	133	67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980105	0	150	28	0	150	28	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980106	0	167	28	0	167	28	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980107	0	156	94	0	156	94	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980108	0	161	94	0	161	94	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980109	0	161	72	0	161	72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980110	0	72	-11	0	72	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980111	0	44	-11	0	44	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980112	0	44	-22	0	44	-22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980113	0	44	-17	0	44	-17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980114	0	72	-100	0	72	-100	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980115	0	72	-106	0	72	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980116	0	11	-50	0	11	-50	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980117	0	28	0	0	28	0	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980118	25	6	-33	25	6	-33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980119	25	6	-33	25	6	-33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980120	25	22	-56	25	22	-56	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980121	25	-17	-78	25	-17	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980122	25	-6	-83	25	-6	-83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980123	102	6	-44	102	6	-44	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980124	102	17	-17	102	17	-17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980125	102	-6	-44	102	-6	-44	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980126	102	-11	-72	102	-11	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980127	76	28	-67	76	28	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980128	381	0	-28	381	0	-28	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980129	305	22	0	305	22	0	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980130	229	94	-11	229	94	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19980131	203	94	-39	203	94	-39	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990101	76	-61	-122	76	-61	-122	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990102	51	-83	-144	51	-83	-144	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990103	178	-22	-133	178	-22	-133	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990104	178	11	-128	178	11	-128	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990105	178	-94	-167	178	-94	-167	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990106	178	-117	-183	178	-117	-183	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990107	254	-11	-156	254	-11	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990108	305	-78	-133	305	-78	-133	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990109	305	44	-106	305	44	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990110	305	56	-156	305	56	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990111	279	-56	-150	279	-56	-150	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990112	279	39	-144	279	39	-144	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990113	152	78	22	152	78	22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990114	102	89	-61	102	89	-61	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990115	178	-22	-72	178	-22	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990116	178	-33	-78	178	-33	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990117	152	72	-56	152	72	-56	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990118	127	94	-6	127	94	-6	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990119	127	67	-6	127	67	-6	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990120	127	39	-11	127	39	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990121	102	61	-11	102	61	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990122	102	11	-6	102	11	-6	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990123	76	56	6	76	56	6	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990124	25	117	56	25	117	56	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990125	25	67	-17	25	67	-17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990126	25	17	-22	25	17	-22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990127	25	44	-33	25	44	-33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990128	0	144	-22	0	144	-22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990129	0	133	-11	0	133	-11	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990130	0	28	-33	0	28	-33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	19990131	0	61	-78	0	61	-78	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000101	0	72	-22	0	72	-22	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000102	0	117	-17	0	117	-17	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000103	0	178	50	0	178	50	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000104	0	144	89	0	144	89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000105	25	144	-39	25	144	-39	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000106	0	-11	-83	0	-11	-83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000107	0	50	-83	0	50	-83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000108	0	33	-72	0	33	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000109	0	44	-72	0	44	-72	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000110	0	56	0	0	56	0	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000111	0	89	0	0	89	0	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000112	0	56	-33	0	56	-33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000113	0	89	-33	0	89	-33	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000114	0	89	-122	0	89	-122	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000115	0	-72	-122	0	-72	-122	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000116	0	61	-117	0	61	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000117	0	89	-144	0	89	-144	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000118	0	-72	-150	0	-72	-150	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000119	51	-61	-111	51	-61	-111	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000120	127	-33	-67	127	-33	-67	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000121	178	-39	-150	178	-39	-150	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000122	152	-122	-167	152	-122	-167	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000123	152	-72	-167	152	-72	-167	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000124	127	-28	-106	127	-28	-106	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000125	127	-17	-89	127	-17	-89	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000126	127	-72	-117	127	-72	-117	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000127	127	-61	-156	127	-61	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000128	127	-117	-156	127	-117	-156	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000129	102	-72	-133	102	-72	-133	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000130	152	-6	-139	152	-6	-139	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20000131	203	-22	-83	203	-22	-83	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20010101	102	-61	-94	102	-61	-94	660.8	39.66667	-78.93333
USC00183415	FROSTBURG	20010102	102	-50	-106	102	-50	-106	660.8	39.66667	-78.93333
