STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00363437	GRATERFORD	19950101	9999	33	9999	NA	33	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950102	9999	106	9999	NA	106	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950103	9999	28	9999	NA	28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950104	9999	-11	9999	NA	-11	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950105	9999	-6	9999	NA	-6	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950106	9999	-44	9999	NA	-44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950107	9999	33	9999	NA	33	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950108	9999	67	9999	NA	67	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950109	9999	33	9999	NA	33	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950110	9999	50	9999	NA	50	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950111	9999	-6	9999	NA	-6	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950112	9999	11	9999	NA	11	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950113	9999	72	9999	NA	72	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950114	9999	122	9999	NA	122	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950115	9999	206	9999	NA	206	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950116	9999	194	9999	NA	194	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950117	9999	150	9999	NA	150	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950118	9999	111	9999	NA	111	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950119	9999	67	9999	NA	67	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950120	9999	83	9999	NA	83	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950121	9999	106	9999	NA	106	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950122	9999	56	9999	NA	56	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950123	9999	28	9999	NA	28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950124	9999	28	9999	NA	28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950125	9999	28	9999	NA	28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950126	9999	67	9999	NA	67	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950127	9999	33	9999	NA	33	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950128	9999	33	9999	NA	33	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950129	9999	-6	9999	NA	-6	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950130	9999	28	9999	NA	28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19950131	9999	39	9999	NA	39	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960101	9999	44	9999	NA	44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960102	9999	61	9999	NA	61	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960103	9999	22	9999	NA	22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960104	9999	0	9999	NA	0	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960105	9999	-22	9999	NA	-22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960106	9999	-44	9999	NA	-44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960107	9999	-56	9999	NA	-56	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960108	9999	-61	9999	NA	-61	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960109	9999	-61	9999	NA	-61	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960110	9999	-44	9999	NA	-44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960111	9999	-28	9999	NA	-28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960112	9999	-17	9999	NA	-17	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960113	9999	-6	9999	NA	-6	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960114	9999	22	9999	NA	22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960115	9999	28	9999	NA	28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960116	9999	44	9999	NA	44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960117	9999	39	9999	NA	39	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960118	9999	39	9999	NA	39	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960119	9999	144	9999	NA	144	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960120	9999	-28	9999	NA	-28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960121	9999	-28	9999	NA	-28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960122	9999	0	9999	NA	0	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960123	9999	17	9999	NA	17	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960124	9999	33	9999	NA	33	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960125	9999	100	9999	NA	100	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960126	9999	17	9999	NA	17	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960127	9999	72	9999	NA	72	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960128	9999	144	9999	NA	144	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960129	9999	61	9999	NA	61	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960130	9999	44	9999	NA	44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19960131	9999	44	9999	NA	44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970101	9999	72	9999	NA	72	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970102	9999	61	9999	NA	61	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970103	9999	156	9999	NA	156	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970104	9999	144	9999	NA	144	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970105	9999	128	9999	NA	128	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970106	9999	89	9999	NA	89	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970107	9999	139	9999	NA	139	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970108	9999	178	9999	NA	178	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970109	9999	72	9999	NA	72	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970110	9999	67	9999	NA	67	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970111	9999	128	9999	NA	128	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970112	9999	156	9999	NA	156	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970113	9999	22	9999	NA	22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970114	9999	-50	9999	NA	-50	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970115	9999	-28	9999	NA	-28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970116	9999	39	9999	NA	39	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970117	9999	-44	9999	NA	-44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970118	9999	67	9999	NA	67	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970119	9999	44	9999	NA	44	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970120	9999	117	9999	NA	117	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970121	9999	11	9999	NA	11	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970122	9999	50	9999	NA	50	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970123	9999	94	9999	NA	94	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970124	9999	72	9999	NA	72	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970125	9999	111	9999	NA	111	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970126	9999	78	9999	NA	78	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970127	9999	72	9999	NA	72	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970128	9999	67	9999	NA	67	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970129	9999	50	9999	NA	50	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970130	9999	-11	9999	NA	-11	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19970131	9999	6	9999	NA	6	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990101	9999	-22	9999	NA	-22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990102	9999	-22	9999	NA	-22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990103	9999	117	9999	NA	117	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990104	9999	172	9999	NA	172	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990105	9999	-22	9999	NA	-22	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990106	9999	-28	9999	NA	-28	NA	73.2	40.2305	-75.4354
USC00363437	GRATERFORD	19990107	9999	11	9999	NA	11	NA	73.2	40.2305	-75.4354
