STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00363758	HAWLEY	19950101	0	56	-11	0	56	-11	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950102	25	83	0	25	83	0	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950103	25	6	-94	25	6	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950104	0	-33	-89	0	-33	-89	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950105	0	-39	-139	0	-39	-139	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950106	0	-72	-133	0	-72	-133	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950107	0	28	-117	0	28	-117	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950108	0	33	-50	0	33	-50	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950109	0	0	-44	0	0	-44	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950110	0	-6	-133	0	-6	-133	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950111	0	-28	-117	0	-28	-117	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950112	0	-33	-117	0	-33	-117	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950113	0	17	-6	0	17	-6	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950114	0	178	0	0	178	0	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950115	0	167	128	0	167	128	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950116	0	161	117	0	161	117	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950117	0	156	28	0	156	28	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950118	0	67	22	0	67	22	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950119	0	44	17	0	44	17	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950120	0	56	17	0	56	17	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950121	0	67	17	0	67	17	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950122	0	33	-22	0	33	-22	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950123	25	-6	-89	25	-6	-89	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950124	25	-6	-67	25	-6	-67	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950125	25	11	-22	25	11	-22	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950126	0	28	-28	0	28	-28	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950127	0	0	-44	0	0	-44	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950128	0	0	-128	0	0	-128	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950129	0	-28	-150	0	-28	-150	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950130	0	11	-144	0	11	-144	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19950131	0	33	-139	0	33	-139	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960101	127	78	-44	127	78	-44	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960102	127	50	-11	127	50	-11	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960103	279	11	-67	279	11	-67	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960104	279	-33	-167	279	-33	-167	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960105	254	-100	-133	254	-100	-133	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960106	254	-67	-256	254	-67	-256	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960107	254	-111	-200	254	-111	-200	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960108	737	-61	-139	737	-61	-139	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960109	686	-89	-217	686	-89	-217	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960110	610	-67	-150	610	-67	-150	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960111	610	-39	-133	610	-39	-133	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960112	610	-44	-111	610	-44	-111	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960113	660	-22	-78	660	-22	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960114	610	-22	-100	610	-22	-100	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960115	584	89	-100	584	89	-100	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960116	533	-11	-189	533	-11	-189	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960117	508	-33	-189	508	-33	-189	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960118	483	122	-178	483	122	-178	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960119	152	128	11	152	128	11	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960120	76	133	-100	76	133	-100	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960121	51	-22	-133	51	-22	-133	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960122	25	-22	-111	25	-22	-111	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960123	0	44	-89	0	44	-89	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960124	0	33	-67	0	33	-67	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960125	0	67	-72	0	67	-72	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960126	0	-39	-128	0	-39	-128	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960127	0	89	-111	0	89	-111	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960128	0	100	-56	0	100	-56	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960129	0	-22	-106	0	-22	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960130	0	-11	-106	0	-11	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19960131	51	22	-106	51	22	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970101	0	-33	-144	0	-33	-144	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970102	25	-44	-78	25	-44	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970103	9999	-11	-44	NA	-11	-44	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970104	9999	144	11	NA	144	11	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970105	9999	67	33	NA	67	33	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970106	0	9999	6	0	NA	6	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970107	0	28	-39	0	28	-39	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970108	0	-17	-72	0	-17	-72	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970109	0	-17	-94	0	-17	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970110	25	-11	-78	25	-11	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970111	25	0	-78	25	0	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970112	25	-56	-117	25	-56	-117	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970113	25	-61	-100	25	-61	-100	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970114	25	-44	-94	25	-44	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970115	25	-39	-144	25	-39	-144	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970116	25	28	-150	25	28	-150	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970117	25	39	-144	25	39	-144	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970118	25	-128	-172	25	-128	-172	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970119	25	-122	-222	25	-122	-222	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970120	25	-94	-156	25	-94	-156	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970121	25	-17	-122	25	-17	-122	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970122	25	0	-94	25	0	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970123	9999	72	-61	NA	72	-61	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970124	9999	56	-94	NA	56	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970125	25	67	-94	25	67	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970126	25	56	-72	25	56	-72	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970127	25	-50	-122	25	-50	-122	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970128	76	33	-100	76	33	-100	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970129	51	28	-106	51	28	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970130	51	-72	-144	51	-72	-144	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19970131	51	-56	-133	51	-56	-133	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980101	178	-11	-194	178	-11	-194	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980102	178	-39	-156	178	-39	-156	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980103	178	72	-61	178	72	-61	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980104	127	111	-61	127	111	-61	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980105	127	72	6	127	72	6	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980106	76	50	6	76	50	6	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980107	51	133	11	51	133	11	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980108	0	94	33	0	94	33	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980109	0	128	44	0	128	44	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980110	0	167	-28	0	167	-28	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980111	0	56	-44	0	56	-44	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980112	0	61	-72	0	61	-72	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980113	0	33	-78	0	33	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980114	0	56	-94	0	56	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980115	0	-39	-94	0	-39	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980116	0	-6	-78	0	-6	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980117	0	6	-17	0	6	-17	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980118	76	11	-33	76	11	-33	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980119	102	-6	-33	102	-6	-33	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980120	102	22	-61	102	22	-61	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980121	102	-6	-78	102	-6	-78	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980122	76	-17	-89	76	-17	-89	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980123	102	-28	-89	102	-28	-89	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980124	127	11	-39	127	11	-39	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980125	178	17	-22	178	17	-22	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980126	152	0	-100	152	0	-100	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980127	127	17	-94	127	17	-94	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980128	127	-6	-89	127	-6	-89	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980129	127	22	-106	127	22	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980130	102	78	-106	102	78	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19980131	102	33	-11	102	33	-11	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19990101	76	-61	-161	76	-61	-161	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19990102	76	-61	-217	76	-61	-217	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19990103	76	0	-106	76	0	-106	271.3	41.4764	-75.1652
USC00363758	HAWLEY	19990104	76	17	-94	76	17	-94	271.3	41.4764	-75.1652
