STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00304207	JAMESTOWN	19950101	9999	33	-17	NA	33	-17	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950102	9999	39	-72	NA	39	-72	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950103	9999	-72	-100	NA	-72	-100	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950104	9999	-56	-117	NA	-56	-117	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950105	9999	-122	-150	NA	-122	-150	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950106	9999	-100	-156	NA	-100	-156	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950107	9999	-11	-106	NA	-11	-106	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950108	9999	-28	-78	NA	-28	-78	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950109	9999	-50	-78	NA	-50	-78	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950110	9999	-72	-106	NA	-72	-106	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950111	9999	-50	-106	NA	-50	-106	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950112	9999	22	-50	NA	22	-50	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950113	9999	111	22	NA	111	22	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950114	9999	156	94	NA	156	94	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950115	9999	156	100	NA	156	100	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950116	9999	117	11	NA	117	11	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950117	9999	11	-11	NA	11	-11	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950118	9999	33	-11	NA	33	-11	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950119	9999	89	28	NA	89	28	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950120	9999	83	33	NA	83	33	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950121	9999	44	-6	NA	44	-6	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950122	9999	-6	-67	NA	-6	-67	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950123	9999	-56	-78	NA	-56	-78	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950124	9999	-44	-78	NA	-44	-78	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950125	9999	-17	-50	NA	-17	-50	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950126	9999	-44	-61	NA	-44	-61	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950127	9999	-39	-61	NA	-39	-61	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950128	9999	-22	-94	NA	-22	-94	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950129	9999	-61	-144	NA	-61	-144	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950130	9999	-11	-144	NA	-11	-144	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19950131	9999	-22	-133	NA	-22	-133	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960101	9999	17	-39	NA	17	-39	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960102	9999	11	-56	NA	11	-56	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960103	9999	-50	-106	NA	-50	-106	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960104	9999	-83	-161	NA	-83	-161	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960105	9999	-94	-161	NA	-94	-161	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960106	9999	-89	-206	NA	-89	-206	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960107	9999	-100	-206	NA	-100	-206	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960108	9999	-111	-133	NA	-111	-133	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960109	9999	-83	-139	NA	-83	-139	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960110	9999	-67	-111	NA	-67	-111	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960111	9999	-94	-206	NA	-94	-206	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960112	9999	-78	-206	NA	-78	-206	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960113	9999	-44	-89	NA	-44	-89	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960114	9999	-28	-83	NA	-28	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960115	9999	28	-94	NA	28	-94	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960116	9999	-83	-128	NA	-83	-128	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960117	9999	50	-83	NA	50	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960118	9999	72	50	NA	72	50	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960119	9999	122	56	NA	122	56	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960120	9999	56	-117	NA	56	-117	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960121	9999	-61	-122	NA	-61	-122	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960122	9999	-11	-72	NA	-11	-72	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960123	9999	33	-67	NA	33	-67	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960124	9999	39	-6	NA	39	-6	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960125	9999	44	-94	NA	44	-94	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960126	9999	-44	-100	NA	-44	-100	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960127	9999	44	-44	NA	44	-44	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960128	9999	50	-78	NA	50	-78	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960129	9999	-44	-94	NA	-44	-94	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960130	9999	28	-72	NA	28	-72	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19960131	9999	-67	-128	NA	-67	-128	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970101	9999	0	-89	NA	0	-89	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970102	9999	11	-83	NA	11	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970103	9999	94	11	NA	94	11	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970104	9999	94	17	NA	94	17	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970105	9999	139	17	NA	139	17	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970106	9999	100	-50	NA	100	-50	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970107	9999	-50	-83	NA	-50	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970108	9999	-72	-83	NA	-72	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970109	9999	-50	-83	NA	-50	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970110	9999	-17	-83	NA	-17	-83	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970111	9999	-39	-150	NA	-39	-150	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970112	9999	-122	-150	NA	-122	-150	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970113	9999	-117	-150	NA	-117	-150	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970114	9999	-106	-139	NA	-106	-139	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970115	9999	-89	-122	NA	-89	-122	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970116	9999	11	-117	NA	11	-117	424.0	42.100	-79.250
USC00304207	JAMESTOWN	19970117	9999	-39	-183	NA	-39	-183	424.0	42.100	-79.250
