STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00364432	KANE	19950101	0	28	-61	0	28	-61	533.4	41.6767	-78.8036
USC00364432	KANE	19950102	25	50	-78	25	50	-78	533.4	41.6767	-78.8036
USC00364432	KANE	19950103	25	-72	-111	25	-72	-111	533.4	41.6767	-78.8036
USC00364432	KANE	19950104	25	-56	-183	25	-56	-183	533.4	41.6767	-78.8036
USC00364432	KANE	19950105	51	-111	-211	51	-111	-211	533.4	41.6767	-78.8036
USC00364432	KANE	19950106	51	-100	-189	51	-100	-189	533.4	41.6767	-78.8036
USC00364432	KANE	19950107	102	0	-150	102	0	-150	533.4	41.6767	-78.8036
USC00364432	KANE	19950108	76	-17	-78	76	-17	-78	533.4	41.6767	-78.8036
USC00364432	KANE	19950109	76	-50	-111	76	-50	-111	533.4	41.6767	-78.8036
USC00364432	KANE	19950110	76	-72	-172	76	-72	-172	533.4	41.6767	-78.8036
USC00364432	KANE	19950111	76	-61	-150	76	-61	-150	533.4	41.6767	-78.8036
USC00364432	KANE	19950112	51	11	-61	51	11	-61	533.4	41.6767	-78.8036
USC00364432	KANE	19950113	25	89	11	25	89	11	533.4	41.6767	-78.8036
USC00364432	KANE	19950114	0	156	17	0	156	17	533.4	41.6767	-78.8036
USC00364432	KANE	19950115	0	156	56	0	156	56	533.4	41.6767	-78.8036
USC00364432	KANE	19950116	0	150	28	0	150	28	533.4	41.6767	-78.8036
USC00364432	KANE	19950117	0	33	-6	0	33	-6	533.4	41.6767	-78.8036
USC00364432	KANE	19950118	0	22	0	0	22	0	533.4	41.6767	-78.8036
USC00364432	KANE	19950119	0	111	6	0	111	6	533.4	41.6767	-78.8036
USC00364432	KANE	19950120	0	72	39	0	72	39	533.4	41.6767	-78.8036
USC00364432	KANE	19950121	127	50	-6	127	50	-6	533.4	41.6767	-78.8036
USC00364432	KANE	19950122	152	-6	-72	152	-6	-72	533.4	41.6767	-78.8036
USC00364432	KANE	19950123	152	-56	-89	152	-56	-89	533.4	41.6767	-78.8036
