STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00364763	LANCASTER	19950101	9999	94	6	NA	94	6	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950102	9999	50	-50	NA	50	-50	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950103	9999	-6	-78	NA	-6	-78	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950104	9999	-11	-94	NA	-11	-94	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950105	9999	-56	-106	NA	-56	-106	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950106	9999	22	-117	NA	22	-117	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950107	9999	50	0	NA	50	0	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950108	9999	50	-33	NA	50	-33	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950109	9999	50	-50	NA	50	-50	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950110	9999	-17	-67	NA	-17	-67	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950111	9999	17	-28	NA	17	-28	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950112	9999	89	17	NA	89	17	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950113	9999	100	17	NA	100	17	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950114	9999	200	17	NA	200	17	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950115	9999	167	150	NA	167	150	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950116	9999	178	56	NA	178	56	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950117	9999	89	17	NA	89	17	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950118	9999	67	6	NA	67	6	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950119	9999	56	39	NA	56	39	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950120	9999	106	39	NA	106	39	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950121	9999	44	0	NA	44	0	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950122	9999	17	-22	NA	17	-22	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950123	9999	17	-39	NA	17	-39	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950124	9999	22	-17	NA	22	-17	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950125	9999	44	-28	NA	44	-28	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950126	9999	22	-33	NA	22	-33	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950127	9999	28	-28	NA	28	-28	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950128	9999	-6	-61	NA	-6	-61	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950129	9999	11	-100	NA	11	-100	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950130	9999	17	-78	NA	17	-78	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19950131	9999	67	-72	NA	67	-72	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960101	9999	39	6	NA	39	6	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960102	9999	17	0	NA	17	0	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960103	9999	0	-72	NA	0	-72	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960104	9999	-50	-106	NA	-50	-106	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960105	9999	-33	-83	NA	-33	-83	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960106	9999	-78	-128	NA	-78	-128	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960107	9999	-72	-111	NA	-72	-111	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960108	9999	-56	-94	NA	-56	-94	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960109	9999	-50	-194	NA	-50	-194	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960110	9999	-22	-100	NA	-22	-100	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960111	9999	-67	-128	NA	-67	-128	82.3	40.0500	-76.2741
USC00364763	LANCASTER	19960112	9999	-6	-100	NA	-6	-100	82.3	40.0500	-76.2741
