STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00364815	LAPORTE	19950101	0	17	-44	0	17	-44	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950102	25	39	-39	25	39	-39	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950103	25	-39	-122	25	-39	-122	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950104	25	-61	-111	25	-61	-111	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950105	25	-78	-172	25	-78	-172	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950106	25	-94	-167	25	-94	-167	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950107	51	6	-94	51	6	-94	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950108	51	-72	-6	51	-72	-6	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950109	51	-6	-72	51	-6	-72	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950110	51	-22	-128	51	-22	-128	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950111	51	-56	-117	51	-56	-117	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950112	25	28	-67	25	28	-67	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950113	0	83	-67	0	83	-67	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950114	0	139	67	0	139	67	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950115	0	144	67	0	144	67	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950116	0	144	67	0	144	67	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950117	0	106	-6	0	106	-6	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950118	0	17	-22	0	17	-22	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950119	0	50	11	0	50	11	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950120	0	94	11	0	94	11	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950121	127	56	-11	127	56	-11	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950122	178	0	-67	178	0	-67	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950123	178	-50	-122	178	-50	-122	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950124	178	-44	-117	178	-44	-117	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950125	127	-22	-50	127	-22	-50	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950126	152	-17	-72	152	-17	-72	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950127	152	-33	-72	152	-33	-72	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950128	152	-22	-144	152	-22	-144	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950129	152	-22	-172	152	-22	-172	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950130	152	-17	-172	152	-17	-172	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19950131	127	11	-106	127	11	-106	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960101	330	33	-39	330	33	-39	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960102	279	22	-22	279	22	-22	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960103	483	-22	-100	483	-22	-100	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960104	533	-72	-189	533	-72	-189	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960105	533	-100	-183	533	-100	-183	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960106	533	-89	-206	533	-89	-206	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960107	559	-122	-200	559	-122	-200	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960108	762	-133	-167	762	-133	-167	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960109	787	-100	-156	787	-100	-156	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960110	838	-83	-139	838	-83	-139	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960111	838	-83	-183	838	-83	-183	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960112	838	-83	-172	838	-83	-172	599.2	41.4234	-76.4933
USC00364815	LAPORTE	19960113	1295	-61	-139	1295	-61	-139	599.2	41.4234	-76.4933
