STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00364992	LEWISTOWN	19950101	0	0	-89	0	0	-89	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950102	0	39	-17	0	39	-17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950103	0	-17	-67	0	-17	-67	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950104	0	-6	-72	0	-6	-72	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950105	0	-44	-122	0	-44	-122	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950106	0	-56	-133	0	-56	-133	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950107	0	-6	-128	0	-6	-128	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950108	0	28	-22	0	28	-22	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950109	0	22	-17	0	22	-17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950110	0	44	-83	0	44	-83	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950111	0	-28	-61	0	-28	-61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950112	0	11	-28	0	11	-28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950113	0	33	6	0	33	6	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950114	0	133	22	0	133	22	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950115	0	183	39	0	183	39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950116	0	178	83	0	178	83	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950117	0	83	44	0	83	44	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950118	0	78	33	0	78	33	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950119	0	67	28	0	67	28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950120	0	67	50	0	67	50	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950121	0	72	28	0	72	28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950122	0	33	-39	0	33	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950123	0	-17	-56	0	-17	-56	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950124	0	11	-56	0	11	-56	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950125	0	22	-28	0	22	-28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950126	0	22	-39	0	22	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950127	0	6	-33	0	6	-33	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950128	0	28	-33	0	28	-33	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950129	0	-6	-106	0	-6	-106	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950130	0	33	-117	0	33	-117	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19950131	0	44	-72	0	44	-72	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960101	0	56	-39	0	56	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960102	0	56	-39	0	56	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960103	76	6	-39	76	6	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960104	76	-17	-111	76	-17	-111	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960105	51	-39	-117	51	-39	-117	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960106	0	-39	-150	0	-39	-150	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960107	102	-72	-150	102	-72	-150	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960108	533	-72	-122	533	-72	-122	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960109	533	-33	-111	533	-33	-111	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960110	559	-22	-111	559	-22	-111	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960111	559	-33	-183	559	-33	-183	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960112	635	-72	-178	635	-72	-178	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960113	838	-28	-89	838	-28	-89	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960114	432	6	-44	432	6	-44	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960115	381	89	-44	381	89	-44	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960116	305	50	-122	305	50	-122	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960117	279	-22	-78	279	-22	-78	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960118	229	50	-22	229	50	-22	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960119	76	139	6	76	139	6	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960120	51	100	-106	51	100	-106	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960121	25	-39	-106	25	-39	-106	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960122	0	0	-111	0	0	-111	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960123	0	28	-111	0	28	-111	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960124	0	6	-56	0	6	-56	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960125	0	67	-44	0	67	-44	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960126	0	-6	-78	0	-6	-78	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960127	0	100	-72	0	100	-72	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960128	0	128	-39	0	128	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960129	0	-11	-61	0	-11	-61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960130	0	6	-67	0	6	-67	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19960131	76	44	-67	76	44	-67	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970101	0	44	-83	0	44	-83	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970102	0	-17	-78	0	-17	-78	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970103	0	61	-17	0	61	-17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970104	0	167	61	0	167	61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970105	0	111	72	0	111	72	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970106	0	167	28	0	167	28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970107	0	44	-39	0	44	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970108	0	-11	-44	0	-11	-44	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970109	0	28	-44	0	28	-44	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970110	102	-6	-56	102	-6	-56	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970111	76	17	-89	76	17	-89	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970112	76	-61	-100	76	-61	-100	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970113	76	-67	-117	76	-67	-117	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970114	76	-61	-122	76	-61	-122	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970115	76	-28	-128	76	-28	-128	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970116	51	28	-128	51	28	-128	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970117	51	28	-156	51	28	-156	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970118	51	-128	-156	51	-128	-156	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970119	51	-106	-172	51	-106	-172	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970120	25	-56	-172	25	-56	-172	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970121	0	22	-83	0	22	-83	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970122	0	44	-61	0	44	-61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970123	0	56	-39	0	56	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970124	51	67	-72	51	67	-72	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970125	0	6	-67	0	6	-67	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970126	0	56	-61	0	56	-61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970127	51	-33	-67	51	-33	-67	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970128	25	33	-39	25	33	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970129	25	22	-94	25	22	-94	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970130	25	-28	-100	25	-28	-100	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19970131	25	-6	-94	25	-6	-94	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980101	152	22	-128	152	22	-128	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980102	102	22	-133	102	22	-133	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980103	51	111	-56	51	111	-56	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980104	0	83	17	0	83	17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980105	0	178	17	0	178	17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980106	0	156	17	0	156	17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980107	0	133	83	0	133	83	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980108	0	200	83	0	200	83	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980109	0	183	122	0	183	122	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980110	0	122	28	0	122	28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980111	0	89	-6	0	89	-6	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980112	0	78	-39	0	78	-39	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980113	0	22	-28	0	22	-28	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980114	0	44	-61	0	44	-61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980115	0	11	-61	0	11	-61	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980116	0	6	-17	0	6	-17	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980117	0	39	6	0	39	6	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980118	0	28	0	0	28	0	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980119	0	39	-6	0	39	-6	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980120	0	11	-22	0	11	-22	140.2	40.5864	-77.5692
USC00364992	LEWISTOWN	19980121	0	22	-56	0	22	-56	140.2	40.5864	-77.5692
