STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00365050	LINESVILLE	19950101	0	44	-6	0	44	-6	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950102	0	50	-83	0	50	-83	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950103	0	-61	-89	0	-61	-89	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950104	0	-67	-122	0	-67	-122	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950105	25	-106	-167	25	-106	-167	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950106	9999	-83	-167	NA	-83	-167	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950107	25	0	-89	25	0	-89	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950108	25	-17	-83	25	-17	-83	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950109	25	-33	-72	25	-33	-72	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950110	25	-56	-111	25	-56	-111	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950111	25	-28	-94	25	-28	-94	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950112	0	56	-28	0	56	-28	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950113	0	133	50	0	133	50	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950114	0	167	50	0	167	50	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950115	0	172	111	0	172	111	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950116	9999	111	0	NA	111	0	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950117	0	11	-11	0	11	-11	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950118	0	22	-11	0	22	-11	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950119	0	83	22	0	83	22	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950120	0	111	44	0	111	44	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950121	0	61	-6	0	61	-6	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950122	25	0	-67	25	0	-67	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950123	25	-44	-72	25	-44	-72	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950124	25	-44	-72	25	-44	-72	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950125	51	-11	-67	51	-11	-67	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950126	51	-39	-72	51	-39	-72	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950127	51	-28	-100	51	-28	-100	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950128	25	-6	-106	25	-6	-106	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950129	25	-28	-150	25	-28	-150	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950130	0	17	-150	0	17	-150	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19950131	0	6	-128	0	6	-128	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19960101	152	28	-22	152	28	-22	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19960102	152	28	-39	152	28	-39	313.9	41.6500	-80.4333
USC00365050	LINESVILLE	19960103	610	-39	-100	610	-39	-100	313.9	41.6500	-80.4333
