STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00304808	LITTLEVALLEY	19950101	0	44	-22	0	44	-22	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950102	51	28	-83	51	28	-83	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950103	76	-72	-100	76	-72	-100	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950104	51	-50	-139	51	-50	-139	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950105	152	-117	-161	152	-117	-161	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950106	152	-94	-161	152	-94	-161	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950107	152	6	-106	152	6	-106	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950108	152	-39	-83	152	-39	-83	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950109	152	-50	-78	152	-50	-78	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950110	152	-67	-139	152	-67	-139	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950111	152	-56	-139	152	-56	-139	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950112	127	28	-56	127	28	-56	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950113	0	133	28	0	133	28	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950114	0	156	17	0	156	17	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950115	0	167	100	0	167	100	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950116	0	161	17	0	161	17	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950117	0	17	-11	0	17	-11	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950118	0	22	-11	0	22	-11	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950119	0	117	22	0	117	22	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950120	0	83	33	0	83	33	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950121	0	67	0	0	67	0	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950122	102	0	-67	102	0	-67	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950123	102	-50	-78	102	-50	-78	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950124	102	-39	-72	102	-39	-72	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950125	178	-17	-50	178	-17	-50	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950126	254	-33	-61	254	-33	-61	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950127	279	-39	-67	279	-39	-67	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950128	279	-28	-167	279	-28	-167	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950129	254	-56	-200	254	-56	-200	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950130	229	6	-189	229	6	-189	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19950131	178	0	-194	178	0	-194	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960101	305	28	-72	305	28	-72	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960102	305	28	-72	305	28	-72	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960103	610	-67	-117	610	-67	-117	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960104	660	-100	-256	660	-100	-256	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960105	635	-100	-233	635	-100	-233	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960106	635	-94	-317	635	-94	-317	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960107	635	-100	-322	635	-100	-322	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960108	584	-128	-161	584	-128	-161	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960109	533	-83	-161	533	-83	-161	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960110	584	-67	-111	584	-67	-111	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960111	559	-106	-256	559	-106	-256	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960112	533	-83	-211	533	-83	-211	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960113	508	-56	-100	508	-56	-100	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960114	508	-28	-89	508	-28	-89	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960115	457	39	-106	457	39	-106	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960116	457	-89	-183	457	-89	-183	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960117	406	72	-94	406	72	-94	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960118	305	89	6	305	89	6	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960119	0	133	72	0	133	72	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960120	102	72	-117	102	72	-117	495.3	42.247	-78.812
USC00304808	LITTLEVALLEY	19960121	102	-67	-144	102	-67	-144	495.3	42.247	-78.812
