STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00365109	LOCKHAVEN	19950101	0	28	-67	0	28	-67	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950102	0	33	-94	0	33	-94	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950103	0	-11	-89	0	-11	-89	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950104	0	-11	-89	0	-11	-89	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950105	0	-50	-133	0	-50	-133	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950106	0	-67	-139	0	-67	-139	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950107	0	17	-44	0	17	-44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950108	0	17	-44	0	17	-44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950109	0	22	-33	0	22	-33	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950110	0	17	-106	0	17	-106	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950111	0	-33	-94	0	-33	-94	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950112	0	11	-33	0	11	-33	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950113	0	28	6	0	28	6	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950114	0	83	17	0	83	17	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950115	0	189	17	0	189	17	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950116	0	178	78	0	178	78	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950117	0	78	33	0	78	33	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950118	0	89	22	0	89	22	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950119	0	61	22	0	61	22	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950120	0	67	50	0	67	50	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950121	0	83	17	0	83	17	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950122	0	33	-33	0	33	-33	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950123	0	-22	-61	0	-22	-61	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950124	0	0	-61	0	0	-61	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950125	0	17	-28	0	17	-28	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950126	0	11	-44	0	11	-44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950127	0	6	-44	0	6	-44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950128	0	17	-72	0	17	-72	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950129	0	-6	-133	0	-6	-133	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950130	0	17	-133	0	17	-133	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19950131	0	50	-117	0	50	-117	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960101	102	11	-56	102	11	-56	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960102	102	17	-6	102	17	-6	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960103	229	6	-67	229	6	-67	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960104	203	-33	-167	203	-33	-167	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960105	203	-44	-167	203	-44	-167	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960106	203	-39	-206	203	-39	-206	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960107	229	-83	-194	229	-83	-194	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960108	432	-78	-128	432	-78	-128	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960109	406	-22	-106	406	-22	-106	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960110	406	-33	-100	406	-33	-100	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960111	381	-39	-200	381	-39	-200	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960112	381	-83	-200	381	-83	-200	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960113	432	-33	-83	432	-33	-83	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960114	406	0	-56	406	0	-56	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960115	279	78	-78	279	78	-78	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960116	254	22	-144	254	22	-144	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960117	254	-6	-133	254	-6	-133	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960118	254	22	-17	254	22	-17	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960119	127	167	0	127	167	0	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960120	76	139	-100	76	139	-100	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960121	76	-33	-106	76	-33	-106	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960122	76	0	-100	76	0	-100	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960123	76	-6	-94	76	-6	-94	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960124	76	11	-56	76	11	-56	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960125	51	67	-61	51	67	-61	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960126	51	-11	-83	51	-11	-83	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960127	0	111	-39	0	111	-39	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960128	0	117	-39	0	117	-39	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960129	0	0	-61	0	0	-61	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960130	0	6	-67	0	6	-67	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19960131	76	33	-83	76	33	-83	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970101	0	11	-94	0	11	-94	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970102	0	-22	-89	0	-22	-89	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970103	0	17	-22	0	17	-22	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970104	0	167	17	0	167	17	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970105	0	100	44	0	100	44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970106	0	156	33	0	156	33	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970107	0	39	-44	0	39	-44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970108	0	-17	-50	0	-17	-50	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970109	0	22	-61	0	22	-61	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970110	76	-17	-56	76	-17	-56	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970111	76	11	-94	76	11	-94	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970112	76	-72	-111	76	-72	-111	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970113	25	-61	-111	25	-61	-111	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970114	25	-50	-111	25	-50	-111	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970115	25	-22	-139	25	-22	-139	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970116	25	33	-139	25	33	-139	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970117	25	28	-161	25	28	-161	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970118	0	-128	-167	0	-128	-167	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970119	0	-106	-217	0	-106	-217	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970120	51	-72	-222	51	-72	-222	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970121	0	6	-111	0	6	-111	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970122	0	28	-106	0	28	-106	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970123	0	61	-44	0	61	-44	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970124	0	50	-83	0	50	-83	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970125	51	17	-83	51	17	-83	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970126	25	56	-61	25	56	-61	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970127	0	-22	-72	0	-22	-72	172.5	41.1167	-77.4500
USC00365109	LOCKHAVEN	19970128	0	28	-67	0	28	-67	172.5	41.1167	-77.4500
