STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00304731	LIBERTY	19950101	0	17	-17	0	17	-17	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950102	51	50	-33	51	50	-33	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950103	51	-28	-106	51	-28	-106	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950104	51	-61	-117	51	-61	-117	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950105	51	-61	-172	51	-61	-172	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950106	51	-89	-172	51	-89	-172	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950107	51	22	-150	51	22	-150	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950108	51	22	-78	51	22	-78	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950109	51	-22	-72	51	-22	-72	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950110	51	-28	-128	51	-28	-128	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950111	51	-39	-122	51	-39	-122	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950112	51	-6	-122	51	-6	-122	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950113	25	78	-6	25	78	-6	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950114	25	106	72	25	106	72	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950115	0	150	83	0	150	83	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950116	0	139	111	0	139	111	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950117	0	139	22	0	139	22	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950118	0	89	6	0	89	6	472.4	41.8	-74.73333
USC00304731	LIBERTY	19950119	0	28	0	0	28	0	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950120	0	33	0	0	33	0	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950121	0	56	0	0	56	0	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950122	51	6	-39	51	6	-39	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950123	76	-28	-72	76	-28	-72	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950124	76	-17	-72	76	-17	-72	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950125	76	-6	-44	76	-6	-44	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950126	76	-6	-50	76	-6	-50	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950127	76	-28	-61	76	-28	-61	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950128	51	-22	-56	51	-22	-56	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950129	51	-22	-172	51	-22	-172	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950130	51	-17	-172	51	-17	-172	472.1	41.8	-74.73333
USC00304731	LIBERTY	19950131	25	28	-61	25	28	-61	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960101	279	28	-56	279	28	-56	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960102	254	17	-39	254	17	-39	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960103	457	-17	-94	457	-17	-94	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960104	483	-83	-167	483	-83	-167	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960105	457	-100	-194	457	-100	-194	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960106	432	-100	-222	432	-100	-222	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960107	432	-106	-217	432	-106	-217	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960108	686	-83	-167	686	-83	-167	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960109	660	-83	-117	660	-83	-117	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960110	660	-78	-111	660	-78	-111	472.1	41.8	-74.73333
USC00304731	LIBERTY	19960111	635	-50	-144	635	-50	-144	472.1	41.8	-74.73333
