STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00285003	LONGVALLEY	19950101	9999	44	-106	NA	44	-106	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950102	9999	100	-11	NA	100	-11	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950103	9999	33	-83	NA	33	-83	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950104	9999	-22	-78	NA	-22	-78	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950105	9999	0	-128	NA	0	-128	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950106	9999	-39	-133	NA	-39	-133	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950107	9999	6	-106	NA	6	-106	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950108	9999	61	-44	NA	61	-44	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950109	9999	28	-78	NA	28	-78	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950110	9999	39	-89	NA	39	-89	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950111	9999	0	-83	NA	0	-83	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950112	9999	11	-39	NA	11	-39	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950113	9999	39	0	NA	39	0	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950114	9999	122	17	NA	122	17	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950115	9999	183	44	NA	183	44	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950116	9999	178	133	NA	178	133	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950117	9999	144	39	NA	144	39	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950118	9999	128	33	NA	128	33	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950119	9999	61	17	NA	61	17	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950120	9999	56	22	NA	56	22	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950121	9999	83	11	NA	83	11	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950122	9999	44	-28	NA	44	-28	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950123	9999	11	-61	NA	11	-61	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950124	9999	28	-56	NA	28	-56	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950125	9999	22	-28	NA	22	-28	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950126	9999	50	-28	NA	50	-28	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950127	9999	33	-44	NA	33	-44	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950128	9999	39	-83	NA	39	-83	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950129	9999	0	-106	NA	0	-106	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950130	9999	28	-122	NA	28	-122	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19950131	9999	61	-117	NA	61	-117	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19960101	9999	83	-61	NA	83	-61	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19960102	9999	67	6	NA	67	6	167.6	40.78333	-74.78333
USC00285003	LONGVALLEY	19960103	9999	28	-44	NA	28	-44	167.6	40.78333	-74.78333
