STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00365902	MONTGOMERY	19950101	9999	83	28	NA	83	28	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950102	9999	33	-106	NA	33	-106	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950103	9999	-22	-72	NA	-22	-72	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950104	9999	-22	-106	NA	-22	-106	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950105	9999	-22	-150	NA	-22	-150	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950106	9999	17	-122	NA	17	-122	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950107	9999	33	-17	NA	33	-17	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950108	9999	0	-50	NA	0	-50	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950109	9999	-6	-56	NA	-6	-56	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950110	9999	-33	-89	NA	-33	-89	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950111	9999	28	-39	NA	28	-39	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950112	9999	139	28	NA	139	28	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950113	9999	189	72	NA	189	72	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950114	9999	189	39	NA	189	39	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950115	9999	189	56	NA	189	56	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950116	9999	56	6	NA	56	6	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950117	9999	17	-6	NA	17	-6	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950118	9999	89	17	NA	89	17	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950119	9999	122	6	NA	122	6	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950120	9999	100	22	NA	100	22	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950121	9999	22	-22	NA	22	-22	210.3	40.6474	-80.3861
USC00365902	MONTGOMERY	19950122	9999	-22	-50	NA	-22	-50	210.3	40.6474	-80.3861
