STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00185934	MILLERS	19950101	0	128	-6	0	128	-6	262.1	39.71667	-76.8
USC00185934	MILLERS	19950102	0	89	-44	0	89	-44	262.1	39.71667	-76.8
USC00185934	MILLERS	19950103	0	-22	-89	0	-22	-89	262.1	39.71667	-76.8
USC00185934	MILLERS	19950104	0	-17	-67	0	-17	-67	262.1	39.71667	-76.8
USC00185934	MILLERS	19950105	0	-61	-128	0	-61	-128	262.1	39.71667	-76.8
USC00185934	MILLERS	19950106	0	11	-111	0	11	-111	262.1	39.71667	-76.8
USC00185934	MILLERS	19950107	0	72	-17	0	72	-17	262.1	39.71667	-76.8
USC00185934	MILLERS	19950108	0	28	-28	0	28	-28	262.1	39.71667	-76.8
USC00185934	MILLERS	19950109	0	56	-22	0	56	-22	262.1	39.71667	-76.8
USC00185934	MILLERS	19950110	0	17	-61	0	17	-61	262.1	39.71667	-76.8
USC00185934	MILLERS	19950111	0	11	-33	0	11	-33	262.1	39.71667	-76.8
USC00185934	MILLERS	19950112	0	111	11	0	111	11	262.1	39.71667	-76.8
USC00185934	MILLERS	19950113	0	178	61	0	178	61	262.1	39.71667	-76.8
USC00185934	MILLERS	19950114	0	183	89	0	183	89	262.1	39.71667	-76.8
USC00185934	MILLERS	19950115	0	156	144	0	156	144	262.1	39.71667	-76.8
USC00185934	MILLERS	19950116	0	150	50	0	150	50	262.1	39.71667	-76.8
USC00185934	MILLERS	19950117	0	72	33	0	72	33	262.1	39.71667	-76.8
USC00185934	MILLERS	19950118	0	72	39	0	72	39	262.1	39.71667	-76.8
USC00185934	MILLERS	19950119	0	61	33	0	61	33	262.1	39.71667	-76.8
USC00185934	MILLERS	19950120	0	100	33	0	100	33	262.1	39.71667	-76.8
USC00185934	MILLERS	19950121	0	39	0	0	39	0	262.1	39.71667	-76.8
USC00185934	MILLERS	19950122	0	11	-39	0	11	-39	262.1	39.71667	-76.8
USC00185934	MILLERS	19950123	0	22	-50	0	22	-50	262.1	39.71667	-76.8
USC00185934	MILLERS	19950124	0	28	-44	0	28	-44	262.1	39.71667	-76.8
USC00185934	MILLERS	19950125	0	39	-22	0	39	-22	262.1	39.71667	-76.8
USC00185934	MILLERS	19950126	0	17	-56	0	17	-56	262.1	39.71667	-76.8
USC00185934	MILLERS	19950127	0	28	-67	0	28	-67	262.1	39.71667	-76.8
USC00185934	MILLERS	19950128	0	0	-28	0	0	-28	262.1	39.71667	-76.8
USC00185934	MILLERS	19950129	0	33	-89	0	33	-89	262.1	39.71667	-76.8
USC00185934	MILLERS	19950130	0	17	-56	0	17	-56	262.1	39.71667	-76.8
USC00185934	MILLERS	19950131	0	56	-44	0	56	-44	262.1	39.71667	-76.8
USC00185934	MILLERS	19960101	25	33	6	25	33	6	262.1	39.71667	-76.8
USC00185934	MILLERS	19960102	25	17	0	25	17	0	262.1	39.71667	-76.8
USC00185934	MILLERS	19960103	25	11	-50	25	11	-50	262.1	39.71667	-76.8
USC00185934	MILLERS	19960104	25	-33	-106	25	-33	-106	262.1	39.71667	-76.8
USC00185934	MILLERS	19960105	25	-28	-94	25	-28	-94	262.1	39.71667	-76.8
USC00185934	MILLERS	19960106	25	-56	-122	25	-56	-122	262.1	39.71667	-76.8
USC00185934	MILLERS	19960107	457	-89	-117	457	-89	-117	262.1	39.71667	-76.8
USC00185934	MILLERS	19960108	787	-33	-106	787	-33	-106	262.1	39.71667	-76.8
USC00185934	MILLERS	19960109	762	-28	-128	762	-28	-128	262.1	39.71667	-76.8
