STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00305426	MOHONK	19950101	0	72	-17	0	72	-17	379.5	41.76667	-74.15
USC00305426	MOHONK	19950102	51	67	-56	51	67	-56	379.5	41.76667	-74.15
USC00305426	MOHONK	19950103	51	-33	-89	51	-33	-89	379.5	41.76667	-74.15
USC00305426	MOHONK	19950104	51	-44	-78	51	-44	-78	379.5	41.76667	-74.15
USC00305426	MOHONK	19950105	51	-61	-144	51	-61	-144	379.5	41.76667	-74.15
USC00305426	MOHONK	19950106	25	-39	-111	25	-39	-111	379.5	41.76667	-74.15
USC00305426	MOHONK	19950107	25	33	-44	25	33	-44	379.5	41.76667	-74.15
USC00305426	MOHONK	19950108	25	0	-67	25	0	-67	379.5	41.76667	-74.15
USC00305426	MOHONK	19950109	25	-11	-56	25	-11	-56	379.5	41.76667	-74.15
USC00305426	MOHONK	19950110	25	-22	-94	25	-22	-94	379.5	41.76667	-74.15
USC00305426	MOHONK	19950111	25	-50	-111	25	-50	-111	379.5	41.76667	-74.15
USC00305426	MOHONK	19950112	51	22	-117	51	22	-117	379.5	41.76667	-74.15
USC00305426	MOHONK	19950113	0	128	6	0	128	6	379.5	41.76667	-74.15
USC00305426	MOHONK	19950114	0	122	83	0	122	83	379.5	41.76667	-74.15
USC00305426	MOHONK	19950115	0	144	100	0	144	100	379.5	41.76667	-74.15
USC00305426	MOHONK	19950116	0	144	94	0	144	94	379.5	41.76667	-74.15
USC00305426	MOHONK	19950117	0	111	22	0	111	22	379.5	41.76667	-74.15
USC00305426	MOHONK	19950118	0	33	-6	0	33	-6	379.5	41.76667	-74.15
USC00305426	MOHONK	19950119	0	33	0	0	33	0	379.5	41.76667	-74.15
USC00305426	MOHONK	19950120	0	50	17	0	50	17	379.5	41.76667	-74.15
USC00305426	MOHONK	19950121	0	50	0	0	50	0	379.5	41.76667	-74.15
