STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00285728	MOORESTOWN	19950101	9999	122	11	NA	122	11	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950102	9999	111	-17	NA	111	-17	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950103	9999	11	-67	NA	11	-67	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950104	9999	28	-33	NA	28	-33	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950105	9999	-11	-111	NA	-11	-111	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950106	9999	39	-33	NA	39	-33	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950107	9999	78	0	NA	78	0	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950108	9999	67	-33	NA	67	-33	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950109	9999	67	-61	NA	67	-61	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950110	9999	44	-83	NA	44	-83	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950111	9999	22	-28	NA	22	-28	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950112	9999	100	-6	NA	100	-6	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950113	9999	206	61	NA	206	61	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950114	9999	222	89	NA	222	89	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950115	9999	217	139	NA	217	139	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950116	9999	194	117	NA	194	117	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950117	9999	144	67	NA	144	67	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950118	9999	67	50	NA	67	50	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950119	9999	67	44	NA	67	44	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950120	9999	117	72	NA	117	72	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950121	9999	28	17	NA	28	17	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950122	9999	22	-22	NA	22	-22	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950123	9999	22	-44	NA	22	-44	13.7	39.95111	-74.96972
USC00285728	MOORESTOWN	19950124	9999	33	-39	NA	33	-39	13.7	39.95111	-74.96972
