STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USW00013736	MORGANTOWNHART	19950101	9999	89	11	NA	89	11	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950102	9999	11	-61	NA	11	-61	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950103	9999	-17	-78	NA	-17	-78	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950104	9999	-33	-117	NA	-33	-117	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950105	9999	-72	-161	NA	-72	-161	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950106	9999	100	-128	NA	100	-128	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950107	9999	89	-22	NA	89	-22	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950108	9999	6	-28	NA	6	-28	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950109	9999	33	-22	NA	33	-22	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950110	9999	-6	-44	NA	-6	-44	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950111	9999	100	-11	NA	100	-11	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950112	9999	178	100	NA	178	100	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950113	9999	206	128	NA	206	128	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950114	9999	217	106	NA	217	106	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950115	9999	194	83	NA	194	83	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950116	9999	83	17	NA	83	17	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950117	9999	28	6	NA	28	6	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950118	9999	139	0	NA	139	0	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950119	9999	139	67	NA	139	67	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950120	9999	61	6	NA	61	6	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950121	9999	6	-44	NA	6	-44	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950122	9999	-33	-56	NA	-33	-56	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950123	9999	-22	-67	NA	-22	-67	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950124	9999	-39	-61	NA	-39	-61	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950125	9999	0	-83	NA	0	-83	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950126	9999	-33	-94	NA	-33	-94	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950127	9999	6	-106	NA	6	-106	378	39.6500	-79.9167
USW00013736	MORGANTOWNHART	19950128	9999	11	-22	NA	11	-22	378	39.6500	-79.9167
