STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00466212	MORGANTOWNLOCK	19950101	9999	106	-56	NA	106	-56	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950102	9999	89	-56	NA	89	-56	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950103	9999	-22	-83	NA	-22	-83	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950104	9999	-22	-111	NA	-22	-111	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950105	9999	-78	-161	NA	-78	-161	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950106	9999	39	-133	NA	39	-133	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950107	9999	72	-17	NA	72	-17	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950108	9999	0	-33	NA	0	-33	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950109	9999	22	-44	NA	22	-44	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950110	9999	0	-44	NA	0	-44	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950111	9999	39	-17	NA	39	-17	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950112	9999	161	22	NA	161	22	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950113	9999	183	39	NA	183	39	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950114	9999	211	28	NA	211	28	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950115	9999	183	89	NA	183	89	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950116	9999	128	17	NA	128	17	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950117	9999	28	6	NA	28	6	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950118	9999	117	-11	NA	117	-11	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950119	9999	156	-11	NA	156	-11	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950120	9999	89	11	NA	89	11	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950121	9999	11	-33	NA	11	-33	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950122	9999	-28	-56	NA	-28	-56	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950123	9999	-22	-72	NA	-22	-72	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950124	9999	-22	-56	NA	-22	-56	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950125	9999	0	-78	NA	0	-78	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950126	9999	-33	-94	NA	-33	-94	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950127	9999	0	-111	NA	0	-111	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950128	9999	17	-28	NA	17	-28	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950129	9999	44	-78	NA	44	-78	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950130	9999	22	0	NA	22	0	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19950131	9999	17	-56	NA	17	-56	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960101	9999	50	11	NA	50	11	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960102	9999	33	22	NA	33	22	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960103	9999	50	-61	NA	50	-61	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960104	9999	-44	-100	NA	-44	-100	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960105	9999	-33	-67	NA	-33	-67	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960106	9999	-22	-83	NA	-22	-83	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960107	9999	-44	-100	NA	-44	-100	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960108	9999	-67	-111	NA	-67	-111	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960109	9999	-44	-111	NA	-44	-111	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960110	9999	-33	-117	NA	-33	-117	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960111	9999	-50	-172	NA	-50	-172	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960112	9999	-22	-56	NA	-22	-56	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960113	9999	-17	-50	NA	-17	-50	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960114	9999	111	-11	NA	111	-11	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960115	9999	6	-67	NA	6	-67	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960116	9999	106	-78	NA	106	-78	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960117	9999	72	11	NA	72	11	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960118	9999	183	0	NA	183	0	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960119	9999	194	-100	NA	194	-100	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960120	9999	-33	-117	NA	-33	-117	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960121	9999	17	-72	NA	17	-72	251.5	39.61667	-79.96667
USC00466212	MORGANTOWNLOCK	19960122	9999	72	-72	NA	72	-72	251.5	39.61667	-79.96667
