STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00076410	NEWARKFARM	19950101	9999	106	17	NA	106	17	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950102	9999	61	-11	NA	61	-11	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950103	9999	0	-72	NA	0	-72	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950104	9999	11	-67	NA	11	-67	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950105	9999	-17	-111	NA	-17	-111	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950106	9999	56	-106	NA	56	-106	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950107	9999	72	-6	NA	72	-6	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950108	9999	50	-22	NA	50	-22	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950109	9999	61	-39	NA	61	-39	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950110	9999	39	-50	NA	39	-50	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950111	9999	28	-17	NA	28	-17	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950112	9999	133	17	NA	133	17	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950113	9999	189	28	NA	189	28	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950114	9999	200	78	NA	200	78	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950115	9999	167	122	NA	167	122	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950116	9999	144	94	NA	144	94	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950117	9999	117	61	NA	117	61	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950118	9999	111	44	NA	111	44	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950119	9999	72	39	NA	72	39	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950120	9999	117	56	NA	117	56	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950121	9999	83	28	NA	83	28	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950122	9999	39	-22	NA	39	-22	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950123	9999	39	-39	NA	39	-39	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950124	9999	39	-39	NA	39	-39	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950125	9999	61	6	NA	61	6	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950126	9999	44	-39	NA	44	-39	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950127	9999	39	-44	NA	39	-44	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950128	9999	28	-22	NA	28	-22	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950129	9999	22	-78	NA	22	-78	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950130	9999	56	-56	NA	56	-56	27.4	39.66667	-75.73333
USC00076410	NEWARKFARM	19950131	9999	83	-61	NA	83	-61	27.4	39.66667	-75.73333
