STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00366886	PHILADELPHIA	19950101	9999	56	-33	NA	56	-33	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950102	9999	122	39	NA	122	39	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950103	9999	39	-50	NA	39	-50	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950104	9999	-6	-44	NA	-6	-44	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950105	9999	6	-100	NA	6	-100	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950106	9999	-39	-100	NA	-39	-100	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950107	9999	33	-56	NA	33	-56	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950108	9999	78	-17	NA	78	-17	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950109	9999	22	-28	NA	22	-28	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950110	9999	56	-44	NA	56	-44	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950111	9999	11	-44	NA	11	-44	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950112	9999	28	0	NA	28	0	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950113	9999	122	22	NA	122	22	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950114	9999	183	106	NA	183	106	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950115	9999	222	144	NA	222	144	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950116	9999	211	139	NA	211	139	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950117	9999	156	67	NA	156	67	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950118	9999	144	61	NA	144	61	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950119	9999	78	39	NA	78	39	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950120	9999	94	39	NA	94	39	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950121	9999	117	39	NA	117	39	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950122	9999	50	-6	NA	50	-6	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950123	9999	28	-28	NA	28	-28	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950124	9999	39	-28	NA	39	-28	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950125	9999	39	-6	NA	39	-6	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950126	9999	67	-22	NA	67	-22	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950127	9999	28	-22	NA	28	-22	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950128	9999	39	-28	NA	39	-28	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950129	9999	6	-39	NA	6	-39	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950130	9999	17	-72	NA	17	-72	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19950131	9999	61	-28	NA	61	-28	18.3	39.9576	-75.1727
USC00366886	PHILADELPHIA	19960101	9999	72	33	NA	72	33	18.3	39.9576	-75.1727
