STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00367477	RIDGWAY	19950101	0	33	-56	0	33	-56	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950102	25	61	-67	25	61	-67	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950103	25	-61	-100	25	-61	-100	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950104	51	-44	-133	51	-44	-133	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950105	51	-100	-167	51	-100	-167	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950106	25	-94	-172	25	-94	-172	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950107	51	6	-161	51	6	-161	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950108	51	6	-61	51	6	-61	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950109	25	-28	-67	25	-28	-67	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950110	25	-39	-150	25	-39	-150	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950111	25	-50	-144	25	-50	-144	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950112	25	17	-50	25	17	-50	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950113	0	133	-50	0	133	-50	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950114	0	178	6	0	178	6	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950115	0	178	28	0	178	28	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950116	0	167	33	0	167	33	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950117	0	33	0	0	33	0	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950118	0	39	6	0	39	6	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950119	0	122	28	0	122	28	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950120	0	72	44	0	72	44	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950121	25	50	-6	25	50	-6	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950122	76	0	-67	76	0	-67	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950123	51	-50	-89	51	-50	-89	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950124	51	-50	-89	51	-50	-89	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950125	51	-11	-56	51	-11	-56	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950126	76	-33	-83	76	-33	-83	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950127	51	-28	-72	51	-28	-72	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950128	51	-17	-111	51	-17	-111	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950129	25	-22	-167	25	-22	-167	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950130	25	22	-167	25	22	-167	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19950131	25	50	-156	25	50	-156	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960101	203	17	-83	203	17	-83	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960102	203	28	-11	203	28	-11	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960103	305	6	-83	305	6	-83	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960104	279	-72	-211	279	-72	-211	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960105	279	-78	-217	279	-78	-217	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960106	279	-72	-244	279	-72	-244	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960107	279	-83	-250	279	-83	-250	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960108	305	-111	-128	305	-111	-128	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960109	305	-50	-139	305	-50	-139	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960110	330	-56	-144	330	-56	-144	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960111	305	-83	-250	305	-83	-250	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960112	279	-83	-244	279	-83	-244	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960113	279	-56	-94	279	-56	-94	414.5	41.4196	-78.7493
USC00367477	RIDGWAY	19960114	254	-22	-94	254	-22	-94	414.5	41.4196	-78.7493
