STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00367730	SABINSVILLE	19950101	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950102	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950103	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950104	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950105	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950106	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950107	25	9999	9999	25	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950108	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950109	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950110	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950111	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950112	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950113	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950114	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950115	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950116	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950117	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950118	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950119	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950120	25	9999	9999	25	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950121	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950122	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950123	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950124	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950125	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950126	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950127	76	9999	9999	76	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950128	51	9999	9999	51	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950129	25	9999	9999	25	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950130	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19950131	0	9999	9999	0	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19960101	203	9999	9999	203	NA	NA	609.6	41.8422	-77.4747
USC00367730	SABINSVILLE	19960102	203	9999	9999	203	NA	NA	609.6	41.8422	-77.4747
