STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00307400	SALAMANCA	19950101	0	44	-61	0	44	-61	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950102	25	50	-78	25	50	-78	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950103	51	-56	-106	51	-56	-106	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950104	51	-39	-128	51	-39	-128	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950105	51	-89	-167	51	-89	-167	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950106	51	-72	-167	51	-72	-167	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950107	76	17	-133	76	17	-133	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950108	76	-17	-89	76	-17	-89	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950109	76	-33	-111	76	-33	-111	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950110	76	-50	-150	76	-50	-150	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950111	76	-44	-133	76	-44	-133	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950112	51	17	-56	51	17	-56	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950113	0	128	17	0	128	17	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950114	0	167	28	0	167	28	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950115	0	178	61	0	178	61	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950116	0	178	17	0	178	17	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950117	0	33	-11	0	33	-11	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950118	0	0	-28	0	0	-28	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950119	0	139	11	0	139	11	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950120	0	100	6	0	100	6	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950121	0	72	-11	0	72	-11	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950122	76	11	-67	76	11	-67	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950123	102	-39	-78	102	-39	-78	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950124	76	-11	-78	76	-11	-78	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950125	127	-11	-50	127	-11	-50	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950126	203	-28	-67	203	-28	-67	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950127	152	-22	-83	152	-22	-83	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950128	127	-6	-144	127	-6	-144	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950129	102	-28	-200	102	-28	-200	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950130	102	17	-194	102	17	-194	431.3	42.150	-78.720
USC00307400	SALAMANCA	19950131	102	33	-178	102	33	-178	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960101	229	39	-94	229	39	-94	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960102	229	11	-89	229	11	-89	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960103	483	-56	-128	483	-56	-128	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960104	483	-78	-267	483	-78	-267	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960105	457	-72	-233	457	-72	-233	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960106	457	-72	-322	457	-72	-322	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960107	432	-72	-322	432	-72	-322	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960108	432	-111	-189	432	-111	-189	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960109	406	-44	-189	406	-44	-189	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960110	432	-56	-128	432	-56	-128	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960111	432	-72	-267	432	-72	-267	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960112	406	-72	-250	406	-72	-250	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960113	406	-33	-111	406	-33	-111	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960114	381	-17	-89	381	-17	-89	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960115	356	50	-117	356	50	-117	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960116	356	-56	-189	356	-56	-189	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960117	229	67	-139	229	67	-139	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960118	203	94	-28	203	94	-28	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960119	0	139	33	0	139	33	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960120	51	83	-139	51	83	-139	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960121	51	0	-178	51	0	-178	431.3	42.150	-78.720
USC00307400	SALAMANCA	19960122	25	17	-150	25	17	-150	431.3	42.150	-78.720
