STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00367782	SALINA	19950101	9999	78	-50	NA	78	-50	338.0	40.5101	-79.5459
USC00367782	SALINA	19950102	9999	78	-83	NA	78	-83	338.0	40.5101	-79.5459
USC00367782	SALINA	19950103	9999	-56	-139	NA	-56	-139	338.0	40.5101	-79.5459
USC00367782	SALINA	19950104	9999	-22	-139	NA	-22	-139	338.0	40.5101	-79.5459
USC00367782	SALINA	19950105	9999	-72	-183	NA	-72	-183	338.0	40.5101	-79.5459
USC00367782	SALINA	19950106	9999	-89	-167	NA	-89	-167	338.0	40.5101	-79.5459
USC00367782	SALINA	19950107	9999	56	-11	NA	56	-11	338.0	40.5101	-79.5459
USC00367782	SALINA	19950108	9999	17	-72	NA	17	-72	338.0	40.5101	-79.5459
USC00367782	SALINA	19950109	9999	6	-50	NA	6	-50	338.0	40.5101	-79.5459
USC00367782	SALINA	19950110	9999	0	-106	NA	0	-106	338.0	40.5101	-79.5459
USC00367782	SALINA	19950111	9999	0	-78	NA	0	-78	338.0	40.5101	-79.5459
USC00367782	SALINA	19950112	9999	78	44	NA	78	44	338.0	40.5101	-79.5459
USC00367782	SALINA	19950113	9999	150	72	NA	150	72	338.0	40.5101	-79.5459
USC00367782	SALINA	19950114	9999	183	89	NA	183	89	338.0	40.5101	-79.5459
USC00367782	SALINA	19950115	9999	183	89	NA	183	89	338.0	40.5101	-79.5459
USC00367782	SALINA	19950116	9999	172	-11	NA	172	-11	338.0	40.5101	-79.5459
USC00367782	SALINA	19950117	9999	33	-22	NA	33	-22	338.0	40.5101	-79.5459
USC00367782	SALINA	19950118	9999	28	-39	NA	28	-39	338.0	40.5101	-79.5459
USC00367782	SALINA	19950119	9999	128	-39	NA	128	-39	338.0	40.5101	-79.5459
USC00367782	SALINA	19950120	9999	139	11	NA	139	11	338.0	40.5101	-79.5459
USC00367782	SALINA	19950121	9999	117	-28	NA	117	-28	338.0	40.5101	-79.5459
USC00367782	SALINA	19950122	9999	106	-83	NA	106	-83	338.0	40.5101	-79.5459
USC00367782	SALINA	19950123	9999	100	-117	NA	100	-117	338.0	40.5101	-79.5459
USC00367782	SALINA	19950124	9999	89	-117	NA	89	-117	338.0	40.5101	-79.5459
USC00367782	SALINA	19950125	9999	44	-89	NA	44	-89	338.0	40.5101	-79.5459
USC00367782	SALINA	19950126	9999	-44	-117	NA	-44	-117	338.0	40.5101	-79.5459
USC00367782	SALINA	19950127	9999	-22	-122	NA	-22	-122	338.0	40.5101	-79.5459
USC00367782	SALINA	19950128	9999	6	-106	NA	6	-106	338.0	40.5101	-79.5459
USC00367782	SALINA	19950129	9999	0	-122	NA	0	-122	338.0	40.5101	-79.5459
USC00367782	SALINA	19950130	9999	33	-122	NA	33	-122	338.0	40.5101	-79.5459
USC00367782	SALINA	19950131	9999	28	-83	NA	28	-83	338.0	40.5101	-79.5459
USC00367782	SALINA	19960101	9999	50	-39	NA	50	-39	338.0	40.5101	-79.5459
USC00367782	SALINA	19960102	9999	44	0	NA	44	0	338.0	40.5101	-79.5459
USC00367782	SALINA	19960103	9999	28	0	NA	28	0	338.0	40.5101	-79.5459
USC00367782	SALINA	19960104	9999	22	-144	NA	22	-144	338.0	40.5101	-79.5459
USC00367782	SALINA	19960105	9999	-44	-150	NA	-44	-150	338.0	40.5101	-79.5459
USC00367782	SALINA	19960106	9999	-61	-156	NA	-61	-156	338.0	40.5101	-79.5459
USC00367782	SALINA	19960107	9999	-61	-156	NA	-61	-156	338.0	40.5101	-79.5459
USC00367782	SALINA	19960108	9999	-89	-117	NA	-89	-117	338.0	40.5101	-79.5459
USC00367782	SALINA	19960109	9999	-56	-133	NA	-56	-133	338.0	40.5101	-79.5459
USC00367782	SALINA	19960110	9999	-33	-61	NA	-33	-61	338.0	40.5101	-79.5459
USC00367782	SALINA	19960111	9999	-56	-244	NA	-56	-244	338.0	40.5101	-79.5459
USC00367782	SALINA	19960112	9999	-50	-228	NA	-50	-228	338.0	40.5101	-79.5459
USC00367782	SALINA	19960113	9999	-28	-72	NA	-28	-72	338.0	40.5101	-79.5459
USC00367782	SALINA	19960114	9999	0	-11	NA	0	-11	338.0	40.5101	-79.5459
USC00367782	SALINA	19960115	9999	106	-22	NA	106	-22	338.0	40.5101	-79.5459
USC00367782	SALINA	19960116	9999	11	-111	NA	11	-111	338.0	40.5101	-79.5459
USC00367782	SALINA	19960117	9999	94	-44	NA	94	-44	338.0	40.5101	-79.5459
USC00367782	SALINA	19960118	9999	111	6	NA	111	6	338.0	40.5101	-79.5459
USC00367782	SALINA	19960119	9999	161	61	NA	161	61	338.0	40.5101	-79.5459
USC00367782	SALINA	19960120	9999	100	-139	NA	100	-139	338.0	40.5101	-79.5459
USC00367782	SALINA	19960121	9999	-17	-139	NA	-17	-139	338.0	40.5101	-79.5459
USC00367782	SALINA	19960122	9999	28	-78	NA	28	-78	338.0	40.5101	-79.5459
USC00367782	SALINA	19960123	9999	78	-83	NA	78	-83	338.0	40.5101	-79.5459
USC00367782	SALINA	19960124	9999	78	0	NA	78	0	338.0	40.5101	-79.5459
USC00367782	SALINA	19960125	9999	100	-83	NA	100	-83	338.0	40.5101	-79.5459
USC00367782	SALINA	19960126	9999	-11	-100	NA	-11	-100	338.0	40.5101	-79.5459
USC00367782	SALINA	19960127	9999	106	-100	NA	106	-100	338.0	40.5101	-79.5459
USC00367782	SALINA	19960128	9999	111	-67	NA	111	-67	338.0	40.5101	-79.5459
USC00367782	SALINA	19960129	9999	-22	-78	NA	-22	-78	338.0	40.5101	-79.5459
USC00367782	SALINA	19960130	9999	56	-22	NA	56	-22	338.0	40.5101	-79.5459
USC00367782	SALINA	19960131	9999	0	-106	NA	0	-106	338.0	40.5101	-79.5459
USC00367782	SALINA	19970101	9999	83	-28	NA	83	-28	338.0	40.5101	-79.5459
USC00367782	SALINA	19970102	9999	94	-17	NA	94	-17	338.0	40.5101	-79.5459
USC00367782	SALINA	19970103	9999	139	78	NA	139	78	338.0	40.5101	-79.5459
USC00367782	SALINA	19970104	9999	150	89	NA	150	89	338.0	40.5101	-79.5459
USC00367782	SALINA	19970105	9999	200	89	NA	200	89	338.0	40.5101	-79.5459
USC00367782	SALINA	19970106	9999	156	-11	NA	156	-11	338.0	40.5101	-79.5459
USC00367782	SALINA	19970107	9999	6	-72	NA	6	-72	338.0	40.5101	-79.5459
USC00367782	SALINA	19970108	9999	-17	-89	NA	-17	-89	338.0	40.5101	-79.5459
USC00367782	SALINA	19970109	9999	-11	-78	NA	-11	-78	338.0	40.5101	-79.5459
USC00367782	SALINA	19970110	9999	17	-44	NA	17	-44	338.0	40.5101	-79.5459
USC00367782	SALINA	19970111	9999	0	-133	NA	0	-133	338.0	40.5101	-79.5459
USC00367782	SALINA	19970112	9999	-89	-144	NA	-89	-144	338.0	40.5101	-79.5459
USC00367782	SALINA	19970113	9999	-89	-183	NA	-89	-183	338.0	40.5101	-79.5459
