STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00367931	SELINSGROVE	19950101	0	17	-94	0	17	-94	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950102	0	61	0	0	61	0	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950103	0	11	-89	0	11	-89	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950104	0	-17	-78	0	-17	-78	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950105	0	-44	-128	0	-44	-128	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950106	0	-56	-144	0	-56	-144	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950107	0	6	-139	0	6	-139	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950108	0	28	-39	0	28	-39	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950109	0	11	-44	0	11	-44	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950110	0	28	-83	0	28	-83	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950111	0	-28	-72	0	-28	-72	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950112	0	6	-28	0	6	-28	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950113	0	39	0	0	39	0	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950114	0	122	0	0	122	0	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950115	0	183	22	0	183	22	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950116	0	167	128	0	167	128	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950117	0	133	33	0	133	33	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950118	0	72	22	0	72	22	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950119	0	56	28	0	56	28	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950120	0	83	44	0	83	44	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950121	0	83	28	0	83	28	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950122	0	39	-33	0	39	-33	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950123	0	-17	-61	0	-17	-61	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950124	0	11	-67	0	11	-67	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950125	0	22	-22	0	22	-22	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950126	0	17	-39	0	17	-39	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950127	0	17	-39	0	17	-39	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950128	0	11	-56	0	11	-56	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950129	0	-28	-111	0	-28	-111	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950130	0	0	-111	0	0	-111	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19950131	0	28	-94	0	28	-94	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960101	152	44	-67	152	44	-67	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960102	152	22	-6	152	22	-6	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960103	279	0	-50	279	0	-50	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960104	279	-17	-133	279	-17	-133	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960105	279	-50	-144	279	-50	-144	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960106	279	-44	-172	279	-44	-172	128.0	40.7831	-76.8617
USC00367931	SELINSGROVE	19960107	279	-100	-189	279	-100	-189	128.0	40.7831	-76.8617
