STATION	STATION_NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00307713	SHERMAN	19950101	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950102	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950103	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950104	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950105	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950106	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950107	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950108	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950109	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950110	229	9999	9999	229	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950111	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950112	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950113	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950114	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950115	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950116	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950117	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950118	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950119	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950120	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950121	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950122	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950123	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950124	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950125	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950126	254	9999	9999	254	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950127	229	9999	9999	229	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950128	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950129	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950130	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19950131	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960101	406	9999	9999	406	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960102	406	9999	9999	406	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960103	508	9999	9999	508	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960104	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960105	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960106	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960107	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960108	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960109	635	9999	9999	635	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960110	610	9999	9999	610	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960111	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960112	686	9999	9999	686	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960113	635	9999	9999	635	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960114	610	9999	9999	610	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960115	559	9999	9999	559	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960116	508	9999	9999	508	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960117	356	9999	9999	356	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960118	330	9999	9999	330	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960119	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960120	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960121	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960122	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960123	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960124	25	9999	9999	25	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960125	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960126	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960127	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960128	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960129	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960130	25	9999	9999	25	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19960131	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970101	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970102	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970103	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970104	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970105	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970106	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970107	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970108	178	9999	9999	178	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970109	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970110	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970111	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970112	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970113	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970114	178	9999	9999	178	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970115	178	9999	9999	178	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970116	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970117	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970118	203	9999	9999	203	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970119	229	9999	9999	229	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970120	229	9999	9999	229	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970121	229	9999	9999	229	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970122	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970123	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970124	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970125	25	9999	9999	25	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970126	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970127	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970128	178	9999	9999	178	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970129	178	9999	9999	178	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970130	178	9999	9999	178	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19970131	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980101	406	9999	9999	406	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980102	356	9999	9999	356	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980103	152	9999	9999	152	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980104	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980105	25	9999	9999	25	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980106	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980107	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980108	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980109	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980110	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980111	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980112	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980113	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980114	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980115	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980116	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980117	0	9999	9999	0	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980118	51	9999	9999	51	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980119	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980120	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980121	127	9999	9999	127	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980122	102	9999	9999	102	NA	NA	475.5	42.157	-79.593
USC00307713	SHERMAN	19980123	76	9999	9999	76	NA	NA	475.5	42.157	-79.593
