STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368184	SLIPPERYROCK	19950101	9999	67	-117	NA	67	-117	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950102	9999	-67	-139	NA	-67	-139	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950103	9999	-33	-161	NA	-33	-161	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950104	9999	-83	-194	NA	-83	-194	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950105	9999	-78	-183	NA	-78	-183	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950106	9999	22	-128	NA	22	-128	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950107	9999	-11	-94	NA	-11	-94	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950108	9999	-11	-83	NA	-11	-83	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950109	9999	-22	-150	NA	-22	-150	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950110	9999	-22	-117	NA	-22	-117	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950111	9999	39	-50	NA	39	-50	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950112	9999	128	17	NA	128	17	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950113	9999	200	-11	NA	200	-11	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950114	9999	183	111	NA	183	111	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950115	9999	94	-22	NA	94	-22	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950116	9999	17	-33	NA	17	-33	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950117	9999	28	-33	NA	28	-33	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950118	9999	139	6	NA	139	6	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950119	9999	139	11	NA	139	11	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950120	9999	50	-22	NA	50	-22	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950121	9999	-11	-94	NA	-11	-94	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950122	9999	-39	-117	NA	-39	-117	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950123	9999	-50	-117	NA	-50	-117	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950124	9999	-11	-94	NA	-11	-94	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950125	9999	-33	-111	NA	-33	-111	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950126	9999	-17	-133	NA	-17	-133	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950127	9999	28	-133	NA	28	-133	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950128	9999	28	-139	NA	28	-139	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950129	9999	56	-150	NA	56	-150	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950130	9999	61	-150	NA	61	-150	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19950131	9999	6	-106	NA	6	-106	381.0	41.0557	-80.0601
USC00368184	SLIPPERYROCK	19960101	9999	44	11	NA	44	11	381.0	41.0557	-80.0601
