STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368244	SOMERSET	19950101	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950102	76	9999	9999	76	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950103	76	9999	9999	76	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950104	76	9999	9999	76	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950105	76	9999	9999	76	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950106	51	9999	9999	51	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950107	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950108	25	9999	9999	25	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950109	25	9999	9999	25	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950110	25	9999	9999	25	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950111	51	9999	9999	51	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950112	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950113	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950114	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950115	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950116	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950117	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950118	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950119	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950120	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950121	0	9999	9999	0	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950122	102	9999	9999	102	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950123	152	9999	9999	152	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950124	152	9999	9999	152	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950125	178	9999	9999	178	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950126	178	9999	9999	178	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950127	152	9999	9999	152	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950128	152	9999	9999	152	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950129	127	9999	9999	127	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950130	102	9999	9999	102	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19950131	102	9999	9999	102	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19960101	229	9999	9999	229	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19960102	178	9999	9999	178	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19960103	152	9999	9999	152	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19960104	152	9999	9999	152	NA	NA	640.1	39.9964	-79.0833
USC00368244	SOMERSET	19960105	178	9999	9999	178	NA	NA	640.1	39.9964	-79.0833
