STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368400	SPRINGTOWN	19950101	0	94	-6	0	94	-6	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950102	0	39	-72	0	39	-72	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950103	0	-6	-78	0	-6	-78	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950104	0	-11	-111	0	-11	-111	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950105	0	-44	-139	0	-44	-139	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950106	0	0	-111	0	0	-111	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950107	0	56	-17	0	56	-17	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950108	0	22	-50	0	22	-50	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950109	0	44	-61	0	44	-61	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950110	0	-22	-89	0	-22	-89	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950111	0	-17	-50	0	-17	-50	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950112	0	50	-17	0	50	-17	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950113	0	94	50	0	94	50	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950114	0	189	83	0	189	83	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950115	0	167	128	0	167	128	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950116	0	144	61	0	144	61	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950117	0	122	22	0	122	22	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950118	0	44	22	0	44	22	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950119	0	39	11	0	39	11	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950120	0	72	11	0	72	11	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950121	0	39	-17	0	39	-17	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950122	0	11	-50	0	11	-50	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950123	0	28	-67	0	28	-67	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950124	0	22	-39	0	22	-39	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950125	0	50	-28	0	50	-28	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950126	0	22	-50	0	22	-50	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950127	0	39	-56	0	39	-56	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950128	0	0	-89	0	0	-89	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950129	0	17	-111	0	17	-111	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950130	0	39	-72	0	39	-72	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19950131	0	67	-72	0	67	-72	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19960101	152	44	-11	152	44	-11	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19960102	254	6	-67	254	6	-67	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19960103	254	-39	-100	254	-39	-100	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19960104	254	-56	-144	254	-56	-144	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19960105	229	-39	-156	229	-39	-156	262.1	40.5711	-75.2686
USC00368400	SPRINGTOWN	19960106	229	-72	-189	229	-72	-189	262.1	40.5711	-75.2686
