STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368449	STATECOLLEGE	19950101	0	6	-44	0	6	-44	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950102	0	61	-39	0	61	-39	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950103	0	-39	-89	0	-39	-89	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950104	0	-22	-100	0	-22	-100	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950105	0	-72	-150	0	-72	-150	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950106	0	-83	-150	0	-83	-150	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950107	0	17	-111	0	17	-111	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950108	0	28	-39	0	28	-39	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950109	0	-6	-39	0	-6	-39	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950110	0	6	-106	0	6	-106	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950111	0	-33	-83	0	-33	-83	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950112	0	11	-39	0	11	-39	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950113	0	50	11	0	50	11	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950114	0	122	22	0	122	22	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950115	0	161	78	0	161	78	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950116	0	156	61	0	156	61	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950117	0	61	17	0	61	17	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950118	0	72	22	0	72	22	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950119	0	72	22	0	72	22	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950120	0	67	44	0	67	44	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950121	0	67	6	0	67	6	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950122	25	11	-50	25	11	-50	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950123	25	-28	-78	25	-28	-78	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950124	0	-17	-78	0	-17	-78	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950125	0	0	-50	0	0	-50	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950126	0	6	-61	0	6	-61	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950127	0	-11	-56	0	-11	-56	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950128	0	0	-50	0	0	-50	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950129	0	-22	-117	0	-22	-117	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950130	0	11	-122	0	11	-122	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19950131	0	28	-78	0	28	-78	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960101	127	61	-28	127	61	-28	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960102	127	22	-6	127	22	-6	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960103	305	11	-67	305	11	-67	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960104	279	-28	-128	279	-28	-128	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960105	279	-61	-133	279	-61	-133	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960106	254	-50	-144	254	-50	-144	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960107	279	-100	-144	279	-100	-144	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960108	559	-83	-128	559	-83	-128	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960109	508	-33	-106	508	-33	-106	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960110	508	-50	-106	508	-50	-106	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960111	457	-44	-194	457	-44	-194	356.6	40.7933	-77.8672
USC00368449	STATECOLLEGE	19960112	406	-78	-178	406	-78	-178	356.6	40.7933	-77.8672
