STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00368469	STEVENSONDAM	19950101	9999	-6	-106	NA	-6	-106	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950102	25	28	-61	25	28	-61	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950103	25	-61	-106	25	-61	-106	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950104	25	-56	-133	25	-56	-133	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950105	25	-106	-172	25	-106	-172	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950106	25	-100	-172	25	-100	-172	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950107	51	-22	-161	51	-22	-161	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950108	51	-11	-78	51	-11	-78	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950109	25	-44	-72	25	-44	-72	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950110	25	-44	-156	25	-44	-156	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950111	25	-67	-150	25	-67	-150	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950112	25	-22	-72	25	-22	-72	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950113	25	-11	-28	25	-11	-28	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950114	0	72	-28	0	72	-28	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950115	0	139	-28	0	139	-28	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950116	0	139	-28	0	139	-28	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950117	0	28	-6	0	28	-6	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950118	0	22	-6	0	22	-6	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950119	0	50	0	0	50	0	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950120	0	39	22	0	39	22	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950121	0	44	-28	0	44	-28	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950122	0	-11	-78	0	-11	-78	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950123	25	-11	-100	25	-11	-100	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950124	25	-50	-94	25	-50	-94	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950125	25	-28	-67	25	-28	-67	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950126	25	-33	-83	25	-33	-83	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950127	25	-39	-83	25	-39	-83	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950128	0	-33	-111	0	-33	-111	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950129	0	9999	9999	0	NA	NA	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950130	0	0	-178	0	0	-178	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19950131	0	17	-156	0	17	-156	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960101	152	22	-72	152	22	-72	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960102	127	17	-17	127	17	-17	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960103	203	6	-78	203	6	-78	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960104	229	-56	-194	229	-56	-194	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960105	229	-56	-189	229	-56	-189	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960106	229	-44	-222	229	-44	-222	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960107	254	-44	-228	254	-44	-228	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960108	305	-44	-128	305	-44	-128	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960109	305	-28	-133	305	-28	-133	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960110	381	-56	-100	381	-56	-100	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960111	381	-56	-244	381	-56	-244	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960112	381	-83	-239	381	-83	-239	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960113	356	-39	-94	356	-39	-94	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960114	356	100	-72	356	100	-72	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960115	254	89	-11	254	89	-11	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960116	254	6	-117	254	6	-117	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960117	254	17	-117	254	17	-117	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960118	229	28	-6	229	28	-6	284.1	41.4039	-78.0183
USC00368469	STEVENSONDAM	19960119	51	144	0	51	144	0	284.1	41.4039	-78.0183
