STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00287936	SEABROOKFARMS	19950101	9999	111	-39	NA	111	-39	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950102	9999	94	28	NA	94	28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950103	9999	44	-56	NA	44	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950104	9999	-6	-44	NA	-6	-44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950105	9999	22	-100	NA	22	-100	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950106	9999	-17	-94	NA	-17	-94	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950107	9999	100	-17	NA	100	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950108	9999	78	-17	NA	78	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950109	9999	28	-33	NA	28	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950110	9999	61	-50	NA	61	-50	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950111	9999	11	-50	NA	11	-50	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950112	9999	56	11	NA	56	11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950113	9999	144	56	NA	144	56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950114	9999	189	100	NA	189	100	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950115	9999	200	150	NA	200	150	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950116	9999	200	117	NA	200	117	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950117	9999	156	67	NA	156	67	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950118	9999	122	50	NA	122	50	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950119	9999	72	44	NA	72	44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950120	9999	139	44	NA	139	44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950121	9999	139	39	NA	139	39	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950122	9999	50	-17	NA	50	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950123	9999	39	-28	NA	39	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950124	9999	39	-33	NA	39	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950125	9999	44	-6	NA	44	-6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950126	9999	72	-33	NA	72	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950127	9999	33	-44	NA	33	-44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950128	9999	33	-28	NA	33	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950129	9999	-6	-72	NA	-6	-72	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950130	9999	33	-67	NA	33	-67	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19950131	9999	50	-44	NA	50	-44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960101	9999	106	6	NA	106	6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960102	9999	61	17	NA	61	17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960103	9999	56	6	NA	56	6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960104	9999	17	-89	NA	17	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960105	9999	-28	-83	NA	-28	-83	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960106	9999	-17	-117	NA	-17	-117	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960107	9999	-22	-133	NA	-22	-133	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960108	9999	-17	-117	NA	-17	-117	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960109	9999	-17	-117	NA	-17	-117	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960110	9999	-11	-61	NA	-11	-61	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960111	9999	6	-128	NA	6	-128	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960112	9999	-44	-100	NA	-44	-100	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960113	9999	61	-56	NA	61	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960114	9999	6	-33	NA	6	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960115	9999	39	-22	NA	39	-22	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960116	9999	61	-78	NA	61	-78	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960117	9999	17	-67	NA	17	-67	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960118	9999	61	-6	NA	61	-6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960119	9999	161	33	NA	161	33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960120	9999	161	-78	NA	161	-78	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960121	9999	-11	-61	NA	-11	-61	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960122	9999	11	-22	NA	11	-22	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960123	9999	44	-11	NA	44	-11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960124	9999	106	17	NA	106	17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960125	9999	133	-22	NA	133	-22	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960126	9999	11	-56	NA	11	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960127	9999	139	-33	NA	139	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960128	9999	128	-17	NA	128	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960129	9999	17	-56	NA	17	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960130	9999	33	-17	NA	33	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19960131	9999	78	-6	NA	78	-6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970101	9999	56	-89	NA	56	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970102	9999	56	-89	NA	56	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970103	9999	89	28	NA	89	28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970104	9999	144	83	NA	144	83	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970105	9999	144	78	NA	144	78	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970106	9999	172	67	NA	172	67	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970107	9999	117	-6	NA	117	-6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970108	9999	33	-39	NA	33	-39	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970109	9999	28	-28	NA	28	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970110	9999	28	-33	NA	28	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970111	9999	56	-50	NA	56	-50	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970112	9999	-22	-89	NA	-22	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970113	9999	-22	-89	NA	-22	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970114	9999	-33	-89	NA	-33	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970115	9999	-22	-106	NA	-22	-106	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970116	9999	83	-94	NA	83	-94	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970117	9999	78	-111	NA	78	-111	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970118	9999	-83	-111	NA	-83	-111	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970119	9999	-78	-139	NA	-78	-139	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970120	9999	-56	-117	NA	-56	-117	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970121	9999	17	-56	NA	17	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970122	9999	44	-22	NA	44	-22	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970123	9999	117	6	NA	117	6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970124	9999	133	-28	NA	133	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970125	9999	111	-17	NA	111	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970126	9999	111	-28	NA	111	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970127	9999	6	-56	NA	6	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970128	9999	100	-56	NA	100	-56	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970129	9999	100	-39	NA	100	-39	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970130	9999	6	-61	NA	6	-61	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19970131	9999	50	-33	NA	50	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980101	9999	17	-89	NA	17	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980102	9999	17	-72	NA	17	-72	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980103	9999	122	17	NA	122	17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980104	9999	150	39	NA	150	39	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980105	9999	183	33	NA	183	33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980106	9999	172	11	NA	172	11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980107	9999	161	128	NA	161	128	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980108	9999	172	144	NA	172	144	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980109	9999	200	139	NA	200	139	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980110	9999	200	17	NA	200	17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980111	9999	94	-6	NA	94	-6	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980112	9999	100	-17	NA	100	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980113	9999	78	-17	NA	78	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980114	9999	100	-39	NA	100	-39	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980115	9999	17	-44	NA	17	-44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980116	9999	106	-11	NA	106	-11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980117	9999	44	-11	NA	44	-11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980118	9999	67	-11	NA	67	-11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980119	9999	33	-17	NA	33	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980120	9999	39	0	NA	39	0	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980121	9999	33	-44	NA	33	-44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980122	9999	33	-33	NA	33	-33	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980123	9999	61	-28	NA	61	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980124	9999	128	-28	NA	128	-28	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980125	9999	94	0	NA	94	0	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980126	9999	44	-22	NA	44	-22	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980127	9999	56	-17	NA	56	-17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980128	9999	83	11	NA	83	11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980129	9999	28	0	NA	28	0	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980130	9999	117	11	NA	117	11	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19980131	9999	72	17	NA	72	17	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990101	9999	-33	-83	NA	-33	-83	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990102	9999	-6	-117	NA	-6	-117	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990103	9999	133	-111	NA	133	-111	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990104	9999	139	-44	NA	139	-44	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990105	9999	-11	-89	NA	-11	-89	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990106	9999	-11	-111	NA	-11	-111	27.4	39.48333	-75.21667
USC00287936	SEABROOKFARMS	19990107	9999	17	-100	NA	17	-100	27.4	39.48333	-75.21667
