STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00307799	SLIDEMOUNTAIN	19950101	0	44	-44	0	44	-44	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950102	152	39	-50	152	39	-50	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950103	152	-50	-128	152	-50	-128	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950104	152	-67	-128	152	-67	-128	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950105	127	-89	-183	127	-89	-183	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950106	127	-111	-172	127	-111	-172	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950107	102	22	-150	102	22	-150	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950108	102	6	-106	102	6	-106	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950109	102	-56	-111	102	-56	-111	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950110	102	-61	-150	102	-61	-150	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950111	102	-67	-139	102	-67	-139	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950112	102	17	-100	102	17	-100	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950113	25	56	6	25	56	6	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950114	0	106	33	0	106	33	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950115	0	117	100	0	117	100	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950116	0	122	94	0	122	94	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950117	0	100	0	0	100	0	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950118	0	44	-11	0	44	-11	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950119	0	33	0	0	33	0	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950120	0	72	11	0	72	11	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950121	127	50	-11	127	50	-11	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950122	152	-6	-56	152	-6	-56	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950123	178	-44	-83	178	-44	-83	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950124	178	-44	-83	178	-44	-83	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950125	178	-50	-67	178	-50	-67	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950126	178	-44	-83	178	-44	-83	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950127	178	-67	-100	178	-67	-100	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950128	178	-67	-189	178	-67	-189	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950129	178	-67	-189	178	-67	-189	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950130	178	-17	-144	178	-17	-144	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19950131	178	0	-122	178	0	-122	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960101	432	22	-61	432	22	-61	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960102	406	6	-44	406	6	-44	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960103	584	-28	-83	584	-28	-83	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960104	660	-72	-200	660	-72	-200	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960105	660	-133	-200	660	-133	-200	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960106	635	-128	-256	635	-128	-256	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960107	610	-144	-233	610	-144	-233	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960108	1016	-128	-156	1016	-128	-156	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960109	991	-122	-178	991	-122	-178	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960110	940	-83	-128	940	-83	-128	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960111	889	-89	-189	889	-89	-189	807.4	42.01667	-74.41667
USC00307799	SLIDEMOUNTAIN	19960112	889	-89	-183	889	-89	-183	807.4	42.01667	-74.41667
