STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00288194	SOMERVILLE	19950101	9999	44	-100	NA	44	-100	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950102	9999	100	11	NA	100	11	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950103	9999	39	-61	NA	39	-61	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950104	9999	100	-67	NA	100	-67	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950105	9999	0	-111	NA	0	-111	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950106	9999	-44	-117	NA	-44	-117	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950107	9999	22	-117	NA	22	-117	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950108	9999	61	-33	NA	61	-33	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950109	9999	28	-67	NA	28	-67	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950110	9999	33	-83	NA	33	-83	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950111	9999	6	-67	NA	6	-67	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950112	9999	6	-28	NA	6	-28	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950113	9999	33	0	NA	33	0	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950114	9999	122	11	NA	122	11	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950115	9999	200	78	NA	200	78	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950116	9999	189	122	NA	189	122	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950117	9999	156	67	NA	156	67	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950118	9999	133	44	NA	133	44	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950119	9999	67	28	NA	67	28	48.8	40.61528	-74.65306
USC00288194	SOMERVILLE	19950120	9999	61	28	NA	61	28	48.8	40.61528	-74.65306
