STATION	NAME	DATE	SNWD	TMAX	TMIN	SNWD2	TMAX2	TMIN2	ELEV	LAT	LONG
USC00338025	STEUBENVILLE	19950101	9999	83	11	NA	83	11	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950102	9999	11	-89	NA	11	-89	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950103	9999	-28	-89	NA	-28	-89	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950104	9999	-33	-133	NA	-33	-133	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950105	9999	-78	-167	NA	-78	-167	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950106	9999	17	-117	NA	17	-117	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950107	9999	39	-39	NA	39	-39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950108	9999	6	-56	NA	6	-56	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950109	9999	-6	-61	NA	-6	-61	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950110	9999	-28	-78	NA	-28	-78	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950111	9999	67	-33	NA	67	-33	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950112	9999	156	56	NA	156	56	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950113	9999	194	111	NA	194	111	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950114	9999	200	78	NA	200	78	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950115	9999	178	39	NA	178	39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950116	9999	39	0	NA	39	0	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950117	9999	11	-17	NA	11	-17	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950118	9999	89	6	NA	89	6	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950119	9999	133	-11	NA	133	-11	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950120	9999	83	6	NA	83	6	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950121	9999	11	-50	NA	11	-50	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950122	9999	-39	-67	NA	-39	-67	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950123	9999	-33	-100	NA	-33	-100	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950124	9999	-28	-61	NA	-28	-61	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950125	9999	-33	-94	NA	-33	-94	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950126	9999	-28	-83	NA	-28	-83	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950127	9999	6	-100	NA	6	-100	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950128	9999	0	-28	NA	0	-28	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950129	9999	33	-94	NA	33	-94	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950130	9999	28	-44	NA	28	-44	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19950131	9999	11	-83	NA	11	-83	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970101	9999	83	-22	NA	83	-22	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970102	9999	128	83	NA	128	83	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970103	9999	144	117	NA	144	117	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970104	9999	194	111	NA	194	111	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970105	9999	194	44	NA	194	44	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970106	9999	44	-39	NA	44	-39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970107	9999	-17	-72	NA	-17	-72	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970108	9999	-17	-94	NA	-17	-94	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970109	9999	33	-44	NA	33	-44	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970110	9999	33	-72	NA	33	-72	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970111	9999	-72	-156	NA	-72	-156	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970112	9999	-89	-150	NA	-89	-150	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970113	9999	-94	-133	NA	-94	-133	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970114	9999	11	-133	NA	11	-133	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970115	9999	56	-117	NA	56	-117	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970116	9999	67	-128	NA	67	-128	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970117	9999	-128	-189	NA	-128	-189	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970118	9999	-122	-167	NA	-122	-167	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970119	9999	-39	-183	NA	-39	-183	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970120	9999	28	-56	NA	28	-56	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970121	9999	67	-83	NA	67	-83	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970122	9999	106	0	NA	106	0	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970123	9999	83	-22	NA	83	-22	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970124	9999	89	-39	NA	89	-39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970125	9999	94	-61	NA	94	-61	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970126	9999	-44	-100	NA	-44	-100	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970127	9999	44	-50	NA	44	-50	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970128	9999	50	-56	NA	50	-56	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970129	9999	-22	-117	NA	-22	-117	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970130	9999	33	-78	NA	33	-78	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19970131	9999	100	0	NA	100	0	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980101	9999	11	-117	NA	11	-117	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980102	9999	94	6	NA	94	6	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980103	9999	133	72	NA	133	72	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980104	9999	156	100	NA	156	100	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980105	9999	178	39	NA	178	39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980106	9999	144	128	NA	144	128	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980107	9999	161	100	NA	161	100	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980108	9999	183	111	NA	183	111	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980109	9999	150	17	NA	150	17	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980110	9999	67	22	NA	67	22	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980111	9999	44	-44	NA	44	-44	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980112	9999	78	-28	NA	78	-28	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980113	9999	100	-44	NA	100	-44	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980114	9999	0	-94	NA	0	-94	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980115	9999	56	-33	NA	56	-33	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980116	9999	39	-11	NA	39	-11	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980117	9999	17	-17	NA	17	-17	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980118	9999	0	-17	NA	0	-17	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980119	9999	22	-83	NA	22	-83	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980120	9999	6	-39	NA	6	-39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980121	9999	-11	-67	NA	-11	-67	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980122	9999	61	-39	NA	61	-39	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980123	9999	72	11	NA	72	11	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980124	9999	11	-11	NA	11	-11	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980125	9999	0	-22	NA	0	-22	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980126	9999	50	-11	NA	50	-11	302.4	40.38333	-80.63333
USC00338025	STEUBENVILLE	19980127	9999	50	-17	NA	50	-17	302.4	40.38333	-80.63333
